year,month,rank_ME,rank_R11_6,nstocks,ret_vw
1969,8,2,1,187,6.6403
1969,8,2,2,205,4.3528
1969,8,2,3,231,3.6281
1969,8,2,4,228,5.3071
1969,8,2,5,223,8.9110
1969,8,3,1,203,5.1628
1969,8,3,2,332,4.0923
1969,8,3,3,357,3.6661
1969,8,3,4,351,4.7630
1969,8,3,5,228,8.8544
1969,9,1,1,494,-3.6913
1969,9,1,2,471,-4.0104
1969,9,1,3,362,-2.9049
1969,9,1,4,363,-1.7461
1969,9,1,5,396,-2.6003
1969,9,2,1,188,-0.6446
1969,9,2,2,212,-1.1990
1969,9,2,3,217,-1.1292
1969,9,2,4,233,-0.9476
1969,9,2,5,216,0.4785
1969,9,3,1,180,-2.8283
1969,9,3,2,305,-2.1718
1969,9,3,3,352,-3.0382
1969,9,3,4,373,-2.9333
1969,9,3,5,247,-3.5247
1969,10,1,1,530,13.3419
1969,10,1,2,490,9.2382
1969,10,1,3,357,9.2677
1969,10,1,4,331,7.7891
1969,10,1,5,343,9.4404
1969,10,2,1,192,10.7665
1969,10,2,2,209,7.3283
1969,10,2,3,221,7.2427
1969,10,2,4,226,6.7654
1969,10,2,5,196,6.7214
1969,10,3,1,157,8.1295
1969,10,3,2,292,5.5795
1969,10,3,3,346,4.5982
1969,10,3,4,355,4.2907
1969,10,3,5,265,4.5972
1969,11,1,1,557,-8.0809
1969,11,1,2,520,-6.9222
1969,11,1,3,361,-6.8779
1969,11,1,4,307,-5.6436
1969,11,1,5,274,-5.7297
1969,11,2,1,194,-7.0483
1969,11,2,2,222,-4.8744
1969,11,2,3,224,-4.2439
1969,11,2,4,220,-4.0084
1969,11,2,5,197,-3.1314
1969,11,3,1,139,-5.9229
1969,11,3,2,268,-3.6676
1969,11,3,3,339,-3.6700
1969,11,3,4,365,-2.9642
1969,11,3,5,284,-1.7297
1969,12,1,1,566,-10.5571
1969,12,1,2,538,-8.5518
1969,12,1,3,364,-7.5590
1969,12,1,4,309,-5.6778
1969,12,1,5,264,-5.2264
1969,12,2,1,199,-7.0564
1969,12,2,2,232,-6.6021
1969,12,2,3,221,-4.1476
1969,12,2,4,219,-3.7998
1969,12,2,5,190,-4.1531
1969,12,3,1,126,-5.9132
1969,12,3,2,258,-3.3827
1969,12,3,3,348,-1.5544
1969,12,3,4,364,-1.3580
1969,12,3,5,294,-0.8225
1970,1,1,1,608,-1.5805
1970,1,1,2,542,-1.5678
1970,1,1,3,359,-2.3990
1970,1,1,4,278,-3.4866
1970,1,1,5,226,-5.6753
1970,1,2,1,202,-7.5874
1970,1,2,2,242,-5.7878
1970,1,2,3,226,-5.6567
1970,1,2,4,219,-5.5459
1970,1,2,5,191,-6.4833
