year,month,rank_ME,rank_CM_1,nstocks,ret_vw
1982,7,3,3,16,-3.1117
1982,7,3,4,5,-5.2805
1982,7,3,5,5,-3.6968
1982,8,1,1,106,3.6084
1982,8,1,2,40,3.8428
1982,8,1,3,41,10.0733
1982,8,1,4,69,4.7164
1982,8,1,5,99,7.3093
1982,8,2,1,28,7.1579
1982,8,2,2,14,8.2656
1982,8,2,3,14,10.3542
1982,8,2,4,19,4.8647
1982,8,2,5,16,15.2387
1982,8,3,1,13,11.0043
1982,8,3,2,10,13.9987
1982,8,3,3,11,13.4836
1982,8,3,4,15,14.2704
1982,8,3,5,7,13.6994
1982,9,1,1,95,4.7022
1982,9,1,2,99,0.3339
1982,9,1,3,34,0.7205
1982,9,1,4,74,6.9159
1982,9,1,5,52,6.2272
1982,9,2,1,18,0.8289
1982,9,2,2,41,0.9913
1982,9,2,3,14,3.5517
1982,9,2,4,11,8.6577
1982,9,2,5,11,-0.4395
1982,9,3,1,10,-2.9668
1982,9,3,2,18,2.6778
1982,9,3,3,7,-1.4328
1982,9,3,4,11,1.8432
1982,9,3,5,8,3.6168
1982,10,1,1,68,12.2702
1982,10,1,2,32,12.8894
1982,10,1,3,63,15.0385
1982,10,1,4,83,15.7613
1982,10,1,5,103,17.8858
1982,10,2,1,20,13.0987
1982,10,2,2,14,15.4645
1982,10,2,3,14,14.4039
1982,10,2,4,32,17.1046
1982,10,2,5,19,9.7642
1982,10,3,1,10,11.5435
1982,10,3,2,10,7.1199
1982,10,3,3,10,8.2068
1982,10,3,4,8,13.4390
1982,10,3,5,14,13.6375
1982,11,1,1,73,3.9152
1982,11,1,2,96,6.6805
1982,11,1,3,68,11.6636
1982,11,1,4,40,8.3603
1982,11,1,5,74,12.2018
1982,11,2,1,34,4.1122
1982,11,2,2,14,4.3755
1982,11,2,3,19,4.8277
1982,11,2,4,13,8.9957
1982,11,2,5,14,11.4731
1982,11,3,1,15,1.4455
1982,11,3,2,14,0.5826
1982,11,3,3,7,7.5285
1982,11,3,4,10,10.0646
1982,11,3,5,10,6.4627
1982,12,1,1,121,1.7010
1982,12,1,2,38,-1.5543
1982,12,1,3,50,3.7419
1982,12,1,4,70,3.6246
1982,12,1,5,72,3.7905
1982,12,2,1,22,3.0534
1982,12,2,2,25,6.8039
1982,12,2,3,12,2.0362
1982,12,2,4,18,3.2612
1982,12,2,5,17,0.3904
1982,12,3,1,17,2.8337
1982,12,3,2,10,-1.9339
1982,12,3,3,11,2.7308
1982,12,3,4,9,0.5150
1982,12,3,5,10,0.3588
1983,1,1,1,99,14.9854
1983,1,1,2,77,12.6579
1983,1,1,3,53,8.7047
1983,1,1,4,47,12.4656
1983,1,1,5,71,12.8903
1983,1,2,1,24,11.8505
1983,1,2,2,28,8.5513
1983,1,2,3,16,6.0817
1983,1,2,4,15,3.8228
1983,1,2,5,12,6.1266
1983,1,3,1,9,4.0531
1983,1,3,2,9,7.9063
1983,1,3,3,16,4.4303
1983,1,3,4,11,1.1609
1983,1,3,5,12,7.6174
1983,2,1,1,80,4.6493
1983,2,1,2,45,6.4215
1983,2,1,3,59,1.8763
1983,2,1,4,59,2.6320
1983,2,1,5,96,4.9858
1983,2,2,1,19,2.3686
1983,2,2,2,20,4.1143
1983,2,2,3,12,3.5124
1983,2,2,4,14,8.9222
1983,2,2,5,30,0.3068
1983,2,3,1,12,0.5115
1983,2,3,2,12,5.4024
1983,2,3,3,9,5.5254
1983,2,3,4,12,4.9355
1983,2,3,5,13,5.4654
1983,3,1,1,90,3.5014
1983,3,1,2,43,2.5851
1983,3,1,3,59,0.1503
1983,3,1,4,55,2.0239
1983,3,1,5,99,4.8286
1983,3,2,1,25,1.1825
1983,3,2,2,15,0.0718
1983,3,2,3,12,6.4082
1983,3,2,4,19,5.3347
1983,3,2,5,17,6.8049
1983,3,3,1,10,-0.9121
1983,3,3,2,14,0.8620
1983,3,3,3,16,-0.4637
1983,3,3,4,7,7.0268
1983,3,3,5,9,4.5435
1983,4,1,1,50,5.6415
1983,4,1,2,59,4.8914
1983,4,1,3,88,7.8542
1983,4,1,4,67,6.0021
1983,4,1,5,79,10.5903
1983,4,2,1,15,8.6702
1983,4,2,2,21,9.9868
1983,4,2,3,24,5.5417
1983,4,2,4,13,9.2345
1983,4,2,5,18,7.8105
1983,4,3,1,13,5.6377
1983,4,3,2,14,9.2387
1983,4,3,3,12,5.0011
1983,4,3,4,10,8.2675
1983,4,3,5,6,13.7734
1983,5,1,1,97,11.8838
1983,5,1,2,70,16.1758
1983,5,1,3,80,10.8382
1983,5,1,4,32,5.7769
1983,5,1,5,55,13.1438
1983,5,2,1,28,9.9367
1983,5,2,2,25,5.1057
1983,5,2,3,18,5.8564
1983,5,2,4,13,5.6088
1983,5,2,5,14,5.7497
1983,5,3,1,14,7.1119
1983,5,3,2,8,5.9007
1983,5,3,3,9,2.1193
1983,5,3,4,11,6.9043
1983,5,3,5,11,4.5852
1983,6,1,1,56,2.7222
1983,6,1,2,46,5.6532
1983,6,1,3,33,2.5385
1983,6,1,4,69,7.5427
1983,6,1,5,126,4.0929
1983,6,2,1,18,4.9943
1983,6,2,2,16,10.0301
1983,6,2,3,24,4.5014
1983,6,2,4,18,1.9070
1983,6,2,5,21,3.9164
1983,6,3,1,9,4.5220
1983,6,3,2,11,12.7684
1983,6,3,3,12,1.6314
1983,6,3,4,12,4.0484
1983,6,3,5,11,4.5300
1983,7,1,1,70,-2.2617
1983,7,1,2,94,-4.8701
1983,7,1,3,73,-7.1842
1983,7,1,4,74,-1.8883
1983,7,1,5,60,0.6901
1983,7,2,1,28,-4.7609
1983,7,2,2,24,-3.6672
1983,7,2,3,15,-5.7542
1983,7,2,4,24,-0.9088
1983,7,2,5,16,1.2967
1983,7,3,1,9,-2.0580
1983,7,3,2,15,-1.4646
1983,7,3,3,13,1.3135
1983,7,3,4,13,-3.1880
1983,7,3,5,12,-8.0571
1983,8,1,1,90,-6.4874
1983,8,1,2,71,-4.5166
1983,8,1,3,74,-5.1424
1983,8,1,4,60,-3.4986
1983,8,1,5,77,-2.2680
1983,8,2,1,27,-0.9360
1983,8,2,2,25,-3.8735
1983,8,2,3,16,-2.6649
1983,8,2,4,17,-3.0124
1983,8,2,5,20,-4.6660
1983,8,3,1,14,-1.1071
1983,8,3,2,13,0.8155
1983,8,3,3,14,-0.6609
1983,8,3,4,11,-0.1759
1983,8,3,5,11,-3.4625
1983,9,1,1,83,-1.1380
1983,9,1,2,55,-0.9414
1983,9,1,3,95,2.1973
1983,9,1,4,70,-3.7544
1983,9,1,5,75,-2.3148
1983,9,2,1,21,5.2757
1983,9,2,2,17,1.8088
1983,9,2,3,20,0.2532
1983,9,2,4,19,0.2603
1983,9,2,5,23,-1.4253
1983,9,3,1,7,2.2190
1983,9,3,2,13,4.1713
1983,9,3,3,16,2.3642
1983,9,3,4,13,2.0193
1983,9,3,5,13,2.5524
1983,10,1,1,112,-10.3862
1983,10,1,2,71,-11.6166
1983,10,1,3,59,-8.6853
1983,10,1,4,63,-5.3670
1983,10,1,5,66,-8.9380
1983,10,2,1,34,-9.3974
1983,10,2,2,22,-13.1577
1983,10,2,3,18,-4.5200
1983,10,2,4,10,-9.7735
1983,10,2,5,22,-9.0698
