year,month,rank_ME,rank_Abr_12,nstocks,ret_vw
1975,7,2,4,354,-2.9084
1975,7,2,5,365,-3.7296
1975,7,3,1,371,-7.1592
1975,7,3,2,495,-6.0873
1975,7,3,3,526,-6.5570
1975,7,3,4,512,-5.7600
1975,7,3,5,439,-6.7418
1975,8,1,1,739,-7.5766
1975,8,1,2,628,-5.9643
1975,8,1,3,547,-6.2895
1975,8,1,4,566,-6.2817
1975,8,1,5,755,-6.5761
1975,8,2,1,357,-5.2735
1975,8,2,2,380,-4.3275
1975,8,2,3,364,-4.0879
1975,8,2,4,363,-4.7736
1975,8,2,5,386,-4.2540
1975,8,3,1,397,-1.9430
1975,8,3,2,526,-1.8921
1975,8,3,3,545,-1.5118
1975,8,3,4,524,-1.1965
1975,8,3,5,456,-2.0798
1975,9,1,1,758,-3.5354
1975,9,1,2,628,-3.5166
1975,9,1,3,564,-2.9886
1975,9,1,4,574,-3.2227
1975,9,1,5,761,-3.2725
1975,9,2,1,373,-4.5687
1975,9,2,2,385,-3.6414
1975,9,2,3,369,-3.0320
1975,9,2,4,372,-2.8262
1975,9,2,5,393,-2.6302
1975,9,3,1,405,-4.1182
1975,9,3,2,541,-3.3362
1975,9,3,3,554,-3.3463
1975,9,3,4,528,-3.1406
1975,9,3,5,461,-3.7381
1975,10,1,1,748,1.9935
1975,10,1,2,585,1.8047
1975,10,1,3,514,1.4182
1975,10,1,4,536,2.0353
1975,10,1,5,753,1.6809
1975,10,2,1,355,2.4160
1975,10,2,2,362,3.8998
1975,10,2,3,341,3.5641
1975,10,2,4,353,2.2360
1975,10,2,5,379,3.0785
1975,10,3,1,367,6.2284
1975,10,3,2,491,6.6919
1975,10,3,3,509,6.3844
1975,10,3,4,487,5.9303
1975,10,3,5,431,5.7751
1975,11,1,1,771,2.1738
1975,11,1,2,600,3.2261
1975,11,1,3,510,3.8339
1975,11,1,4,527,4.0376
1975,11,1,5,749,3.2272
1975,11,2,1,367,3.0870
1975,11,2,2,370,3.8239
1975,11,2,3,349,3.9260
1975,11,2,4,365,3.7494
1975,11,2,5,390,3.4889
1975,11,3,1,399,3.4150
1975,11,3,2,525,3.1604
1975,11,3,3,537,2.7661
1975,11,3,4,510,2.3095
1975,11,3,5,453,3.1537
1975,12,1,1,794,-1.8804
1975,12,1,2,605,-1.7711
1975,12,1,3,526,-1.8221
1975,12,1,4,541,-1.2106
1975,12,1,5,749,-1.8777
1975,12,2,1,377,-0.7747
1975,12,2,2,386,-0.3851
1975,12,2,3,344,-0.7488
1975,12,2,4,369,-0.8406
1975,12,2,5,386,-1.9881
1975,12,3,1,410,-1.2140
1975,12,3,2,535,-1.3516
1975,12,3,3,546,-0.9583
1975,12,3,4,523,-0.8540
1975,12,3,5,459,-1.8643
1976,1,1,1,740,25.7067
1976,1,1,2,576,23.0946
1976,1,1,3,480,23.5216
1976,1,1,4,500,25.5282
1976,1,1,5,708,24.5264
1976,1,2,1,363,21.0016
1976,1,2,2,368,18.1064
1976,1,2,3,326,18.6648
1976,1,2,4,355,19.0014
1976,1,2,5,371,19.8582
1976,1,3,1,398,13.0528
1976,1,3,2,517,11.9064
1976,1,3,3,526,11.5966
1976,1,3,4,501,12.1875
1976,1,3,5,432,12.9369
1976,2,1,1,719,13.0173
1976,2,1,2,562,12.1124
1976,2,1,3,462,12.7126
1976,2,1,4,491,13.1891
1976,2,1,5,706,12.7370
1976,2,2,1,350,7.6897
1976,2,2,2,369,7.0744
1976,2,2,3,318,5.6782
1976,2,2,4,349,6.4836
1976,2,2,5,377,7.0034
1976,2,3,1,395,0.3311
1976,2,3,2,521,-0.7711
1976,2,3,3,518,-0.3077
1976,2,3,4,504,-0.9832
1976,2,3,5,429,0.8469
1976,3,1,1,739,0.7206
1976,3,1,2,582,1.0684
1976,3,1,3,488,1.2931
1976,3,1,4,523,1.2001
1976,3,1,5,733,0.5615
1976,3,2,1,372,1.4511
1976,3,2,2,367,0.9612
1976,3,2,3,323,2.2693
1976,3,2,4,356,1.6382
1976,3,2,5,386,1.2305
1976,3,3,1,416,2.1969
1976,3,3,2,518,3.3393
1976,3,3,3,537,2.6664
1976,3,3,4,534,2.4201
1976,3,3,5,444,2.5598
1976,4,1,1,739,-3.4727
1976,4,1,2,554,-1.4769
1976,4,1,3,481,-1.3799
1976,4,1,4,511,-1.9899
1976,4,1,5,716,-2.7817
1976,4,2,1,361,-1.2177
1976,4,2,2,351,-0.2095
1976,4,2,3,304,-0.6812
1976,4,2,4,348,-1.3214
1976,4,2,5,361,-1.5083
1976,4,3,1,382,-1.7775
1976,4,3,2,499,-0.5686
1976,4,3,3,503,-0.7895
1976,4,3,4,499,-0.6961
1976,4,3,5,406,-1.1350
1976,5,1,1,762,-3.0626
1976,5,1,2,570,-3.3041
1976,5,1,3,518,-3.0288
1976,5,1,4,525,-3.1484
1976,5,1,5,741,-3.7906
1976,5,2,1,372,-1.8622
1976,5,2,2,368,-1.2245
1976,5,2,3,315,-1.6427
1976,5,2,4,366,-1.5906
1976,5,2,5,388,-1.6331
1976,5,3,1,411,-0.4021
1976,5,3,2,534,-0.7606
1976,5,3,3,533,-0.9492
1976,5,3,4,532,-0.4546
1976,5,3,5,418,-0.9491
1976,6,1,1,779,3.7275
1976,6,1,2,580,3.7751
1976,6,1,3,533,3.4078
1976,6,1,4,556,3.1141
1976,6,1,5,748,3.4254
1976,6,2,1,383,4.8881
1976,6,2,2,381,3.6315
1976,6,2,3,331,4.4935
1976,6,2,4,379,4.8393
1976,6,2,5,397,5.8197
1976,6,3,1,420,5.4892
1976,6,3,2,539,4.3317
1976,6,3,3,539,4.2334
1976,6,3,4,543,4.7385
1976,6,3,5,435,3.6763
1976,7,1,1,746,-1.1037
1976,7,1,2,552,0.7761
1976,7,1,3,514,0.4221
1976,7,1,4,534,-0.4061
1976,7,1,5,734,0.1076
1976,7,2,1,370,-0.9941
1976,7,2,2,351,0.7081
1976,7,2,3,309,0.5061
1976,7,2,4,354,-0.0491
1976,7,2,5,378,0.0201
1976,7,3,1,392,-1.5213
1976,7,3,2,506,-0.7412
1976,7,3,3,511,-0.7492
1976,7,3,4,506,-0.7516
1976,7,3,5,395,-1.2610
1976,8,1,1,612,-3.2030
1976,8,1,2,450,-1.9156
1976,8,1,3,428,-1.2637
1976,8,1,4,445,-2.1474
1976,8,1,5,613,-2.7106
1976,8,2,1,366,-2.5509
1976,8,2,2,344,-1.9238
1976,8,2,3,321,-1.3943
1976,8,2,4,358,-1.7431
1976,8,2,5,374,-2.3466
1976,8,3,1,390,-0.6432
