year,month,rank_ME,rank_NEI_1,nstocks,ret_vw
1972,10,1,1,217,-2.3705
1972,10,1,2,100,-2.6124
1972,10,1,3,149,-3.4863
1972,10,1,4,151,-2.1573
1972,10,1,5,43,-1.7593
1972,10,2,1,86,-1.9291
1972,10,2,2,28,-2.0230
1972,10,2,3,70,-0.1871
1972,10,2,4,97,-2.0988
1972,10,2,5,61,-1.4842
1972,10,3,1,82,1.3349
1972,10,3,2,50,1.9725
1972,10,3,3,109,1.5189
1972,10,3,4,163,-0.2986
1972,10,3,5,120,0.7491
1972,11,1,1,211,4.0016
1972,11,1,2,98,5.9679
1972,11,1,3,149,6.4122
1972,11,1,4,139,5.4438
1972,11,1,5,72,7.6678
1972,11,2,1,77,6.3293
1972,11,2,2,49,4.9703
1972,11,2,3,60,7.7988
1972,11,2,4,82,5.0231
1972,11,2,5,75,6.7426
1972,11,3,1,73,7.4495
1972,11,3,2,50,9.1109
1972,11,3,3,100,6.2096
1972,11,3,4,152,4.4177
1972,11,3,5,156,2.8961
1972,12,1,1,216,-4.4202
1972,12,1,2,102,-3.5137
1972,12,1,3,146,-2.0970
1972,12,1,4,138,-0.8229
1972,12,1,5,78,-1.4387
1972,12,2,1,79,-2.6758
1972,12,2,2,50,-1.9831
1972,12,2,3,59,-1.1906
1972,12,2,4,88,-1.7474
1972,12,2,5,75,0.0721
1972,12,3,1,68,-0.6436
1972,12,3,2,53,-1.5388
1972,12,3,3,97,2.2861
1972,12,3,4,142,1.9104
1972,12,3,5,171,2.4733
1973,1,1,1,219,-2.7676
1973,1,1,2,101,-0.5072
1973,1,1,3,146,-5.0042
1973,1,1,4,136,-5.7816
1973,1,1,5,82,-5.9193
1973,1,2,1,75,-3.9989
1973,1,2,2,48,-6.6642
1973,1,2,3,60,-8.3656
1973,1,2,4,88,-5.7922
1973,1,2,5,79,-6.1993
1973,1,3,1,73,-0.0897
1973,1,3,2,49,-1.2782
1973,1,3,3,95,-3.8794
1973,1,3,4,142,-4.1577
1973,1,3,5,174,-0.6664
1973,2,1,1,221,-8.2724
1973,2,1,2,94,-8.0974
1973,2,1,3,145,-8.6489
1973,2,1,4,132,-8.0530
1973,2,1,5,93,-9.2123
1973,2,2,1,73,-7.4612
1973,2,2,2,42,-8.4995
1973,2,2,3,69,-7.3765
1973,2,2,4,82,-7.9103
1973,2,2,5,84,-10.7609
1973,2,3,1,66,-4.1417
1973,2,3,2,50,-5.4644
1973,2,3,3,89,-4.8065
1973,2,3,4,143,-3.6994
1973,2,3,5,186,-3.2640
1973,3,1,1,215,-3.2932
1973,3,1,2,115,-2.3280
1973,3,1,3,148,-2.8099
1973,3,1,4,145,-1.9718
1973,3,1,5,107,-1.7618
1973,3,2,1,77,-4.0289
1973,3,2,2,40,-0.1844
1973,3,2,3,62,-1.5456
1973,3,2,4,89,-3.2835
1973,3,2,5,92,-5.4219
1973,3,3,1,68,-1.5530
1973,3,3,2,46,1.0878
1973,3,3,3,82,0.6409
1973,3,3,4,133,-0.3730
1973,3,3,5,202,-0.4778
1973,4,1,1,214,-8.4956
1973,4,1,2,134,-6.5302
1973,4,1,3,147,-5.9737
1973,4,1,4,152,-8.6020
1973,4,1,5,118,-8.0732
1973,4,2,1,69,-6.4395
1973,4,2,2,41,-8.8573
1973,4,2,3,66,-7.5956
1973,4,2,4,90,-6.5474
1973,4,2,5,94,-9.6727
1973,4,3,1,68,-3.6056
1973,4,3,2,45,-1.6794
1973,4,3,3,81,-2.7586
1973,4,3,4,138,-3.4182
1973,4,3,5,209,-5.8694
1973,5,1,1,206,-10.8232
1973,5,1,2,141,-9.6193
1973,5,1,3,170,-9.9243
1973,5,1,4,154,-9.9566
1973,5,1,5,124,-10.8087
1973,5,2,1,63,-7.0221
1973,5,2,2,52,-14.6518
1973,5,2,3,73,-7.7048
1973,5,2,4,78,-8.6981
1973,5,2,5,105,-8.7745
1973,5,3,1,51,-5.4952
1973,5,3,2,45,-2.7705
1973,5,3,3,85,-4.0004
1973,5,3,4,129,-0.6867
1973,5,3,5,225,-0.9264
1973,6,1,1,215,-4.9543
1973,6,1,2,138,-3.1495
1973,6,1,3,192,-3.9720
1973,6,1,4,154,-2.0409
1973,6,1,5,140,-4.0092
1973,6,2,1,61,-6.2404
1973,6,2,2,45,-4.8749
1973,6,2,3,75,-4.6151
1973,6,2,4,73,-2.0894
1973,6,2,5,107,-3.4039
1973,6,3,1,55,-4.2736
1973,6,3,2,45,-0.9569
1973,6,3,3,81,0.3337
1973,6,3,4,130,-2.4134
1973,6,3,5,225,-0.5572
1973,7,1,1,223,11.5237
1973,7,1,2,135,16.8131
1973,7,1,3,184,16.8169
1973,7,1,4,154,14.3957
1973,7,1,5,140,20.0958
1973,7,2,1,70,11.1817
1973,7,2,2,45,13.9941
1973,7,2,3,74,14.1726
1973,7,2,4,75,12.3055
1973,7,2,5,108,16.2554
1973,7,3,1,54,10.6949
1973,7,3,2,47,6.4962
1973,7,3,3,78,2.4177
1973,7,3,4,128,6.1580
1973,7,3,5,230,4.8166
1973,8,1,1,237,-7.9883
1973,8,1,2,117,-4.9001
1973,8,1,3,177,-5.5468
1973,8,1,4,159,-6.2965
1973,8,1,5,147,-6.5052
1973,8,2,1,57,-6.4566
1973,8,2,2,47,-6.0690
1973,8,2,3,68,-4.8196
1973,8,2,4,82,-2.1816
1973,8,2,5,117,-2.4556
1973,8,3,1,55,-4.2581
