year,month,rank_ME,rank_dEF_12,nstocks,ret_vw
1979,11,1,5,284,10.6287
1979,11,2,1,372,8.2318
1979,11,2,2,301,8.3066
1979,11,2,3,234,7.7079
1979,11,2,4,315,8.1735
1979,11,2,5,366,9.2221
1979,11,3,1,285,6.5997
1979,11,3,2,466,5.8249
1979,11,3,3,509,5.3068
1979,11,3,4,477,5.1302
1979,11,3,5,345,6.2615
1979,12,1,1,352,6.0750
1979,12,1,2,119,5.3122
1979,12,1,3,80,7.3238
1979,12,1,4,113,6.1129
1979,12,1,5,277,7.8928
1979,12,2,1,374,7.2065
1979,12,2,2,302,5.1621
1979,12,2,3,244,4.1666
1979,12,2,4,311,4.5941
1979,12,2,5,360,7.5160
1979,12,3,1,290,2.7820
1979,12,3,2,464,1.3014
1979,12,3,3,510,1.6864
1979,12,3,4,481,2.8964
1979,12,3,5,354,4.8560
1980,1,1,1,361,8.2542
1980,1,1,2,124,8.4454
1980,1,1,3,77,6.8111
1980,1,1,4,115,8.6627
1980,1,1,5,278,10.9030
1980,1,2,1,368,7.1337
1980,1,2,2,298,6.3052
1980,1,2,3,252,5.1653
1980,1,2,4,319,6.0760
1980,1,2,5,362,8.6005
1980,1,3,1,298,7.1348
1980,1,3,2,461,4.9876
1980,1,3,3,508,3.8271
1980,1,3,4,476,8.5685
1980,1,3,5,357,11.1090
1980,2,1,1,362,-2.1022
1980,2,1,2,120,-1.5852
1980,2,1,3,79,-2.3442
1980,2,1,4,108,-0.6000
1980,2,1,5,285,-2.6136
1980,2,2,1,357,-2.8421
1980,2,2,2,291,-3.3430
1980,2,2,3,248,-3.1344
1980,2,2,4,311,-3.5895
1980,2,2,5,360,-2.3798
1980,2,3,1,290,-3.4877
1980,2,3,2,455,-2.8012
1980,2,3,3,506,-3.0956
1980,2,3,4,464,0.5656
1980,2,3,5,345,3.0801
1980,3,1,1,358,-19.2239
1980,3,1,2,115,-16.4954
1980,3,1,3,76,-16.5197
1980,3,1,4,104,-16.2777
1980,3,1,5,276,-17.4009
1980,3,2,1,352,-17.7889
1980,3,2,2,283,-15.2654
1980,3,2,3,251,-14.1134
1980,3,2,4,309,-14.3504
1980,3,2,5,358,-17.3106
1980,3,3,1,283,-11.7455
1980,3,3,2,451,-8.9841
1980,3,3,3,502,-7.2452
1980,3,3,4,460,-12.0433
1980,3,3,5,335,-15.5760
1980,4,1,1,360,5.9194
1980,4,1,2,118,6.1810
1980,4,1,3,85,4.4207
1980,4,1,4,111,3.9441
1980,4,1,5,279,7.6299
1980,4,2,1,358,4.5588
1980,4,2,2,291,5.7961
1980,4,2,3,259,4.9399
1980,4,2,4,321,5.2984
1980,4,2,5,359,5.4821
1980,4,3,1,286,4.0234
1980,4,3,2,463,5.0212
1980,4,3,3,510,4.3293
1980,4,3,4,473,4.0909
1980,4,3,5,345,4.5825
1980,5,1,1,362,7.3299
1980,5,1,2,118,7.4770
1980,5,1,3,84,6.6692
1980,5,1,4,107,7.5945
1980,5,1,5,275,6.8646
1980,5,2,1,360,9.1188
1980,5,2,2,301,9.5358
1980,5,2,3,249,8.7378
1980,5,2,4,308,8.4600
1980,5,2,5,362,8.1951
1980,5,3,1,284,4.9993
1980,5,3,2,464,5.6174
1980,5,3,3,509,5.7118
1980,5,3,4,483,5.3210
1980,5,3,5,344,5.4667
1980,6,1,1,357,3.3999
1980,6,1,2,116,3.3449
1980,6,1,3,86,3.8645
1980,6,1,4,104,3.9624
1980,6,1,5,279,3.5245
1980,6,2,1,357,3.9171
1980,6,2,2,309,3.2044
1980,6,2,3,248,3.5167
1980,6,2,4,309,3.7173
1980,6,2,5,376,3.8367
1980,6,3,1,281,3.6124
1980,6,3,2,466,3.3504
1980,6,3,3,499,1.8636
1980,6,3,4,485,3.1955
1980,6,3,5,346,3.7167
1980,7,1,1,368,11.6172
1980,7,1,2,131,12.7257
1980,7,1,3,83,12.5035
1980,7,1,4,101,13.3605
1980,7,1,5,276,14.2713
1980,7,2,1,347,12.1230
1980,7,2,2,319,12.6271
1980,7,2,3,248,10.0670
1980,7,2,4,316,13.6089
1980,7,2,5,378,13.4836
1980,7,3,1,271,10.2876
1980,7,3,2,456,7.4544
1980,7,3,3,505,7.4399
1980,7,3,4,494,8.5710
1980,7,3,5,354,6.2219
1980,8,1,1,369,7.9511
1980,8,1,2,130,6.2533
1980,8,1,3,86,7.2339
1980,8,1,4,100,8.8532
1980,8,1,5,270,7.3251
1980,8,2,1,346,5.2330
1980,8,2,2,322,4.3166
1980,8,2,3,245,4.3672
1980,8,2,4,312,4.8384
1980,8,2,5,377,6.2198
1980,8,3,1,269,1.7181
1980,8,3,2,450,1.0399
1980,8,3,3,510,1.0365
1980,8,3,4,503,1.9032
1980,8,3,5,352,2.6255
1980,9,1,1,364,2.6350
1980,9,1,2,127,0.7948
1980,9,1,3,84,1.2332
1980,9,1,4,89,0.7813
1980,9,1,5,265,3.1660
1980,9,2,1,342,2.3731
1980,9,2,2,330,3.0655
1980,9,2,3,257,4.6059
1980,9,2,4,295,3.8521
1980,9,2,5,377,4.4287
1980,9,3,1,256,0.0275
1980,9,3,2,449,0.9539
1980,9,3,3,510,1.3339
1980,9,3,4,503,4.1110
1980,9,3,5,355,5.4620
1980,10,1,1,362,3.3609
1980,10,1,2,134,3.0884
1980,10,1,3,80,3.7915
1980,10,1,4,87,5.2816
1980,10,1,5,266,5.0340
1980,10,2,1,341,1.0685
1980,10,2,2,330,1.4698
1980,10,2,3,261,1.2280
1980,10,2,4,286,2.8789
1980,10,2,5,382,4.2183
1980,10,3,1,254,-1.4191
1980,10,3,2,450,0.5450
1980,10,3,3,506,-0.1789
1980,10,3,4,506,2.5806
1980,10,3,5,359,4.5024
1980,11,1,1,366,3.7420
1980,11,1,2,138,5.1532
1980,11,1,3,78,7.6159
1980,11,1,4,82,7.3970
1980,11,1,5,271,3.8941
1980,11,2,1,347,5.7263
