year,month,rank_ME,rank_ILR_12,nstocks,ret_vw
1971,3,2,2,463,6.0922
1971,3,2,3,507,6.2886
1971,3,2,4,516,6.5847
1971,3,2,5,474,5.3361
1971,3,3,1,543,4.5470
1971,3,3,2,524,4.7964
1971,3,3,3,596,4.8181
1971,3,3,4,629,4.9412
1971,3,3,5,598,4.5449
1971,4,1,1,856,1.4225
1971,4,1,2,1035,1.6059
1971,4,1,3,961,2.4906
1971,4,1,4,1020,1.5655
1971,4,1,5,988,1.8990
1971,4,2,1,422,2.1647
1971,4,2,2,509,2.2642
1971,4,2,3,504,2.7980
1971,4,2,4,512,2.5603
1971,4,2,5,485,2.4680
1971,4,3,1,550,4.5441
1971,4,3,2,624,5.1134
1971,4,3,3,592,4.7037
1971,4,3,4,637,4.3528
1971,4,3,5,605,6.0300
1971,5,1,1,799,-6.2207
1971,5,1,2,939,-6.0644
1971,5,1,3,966,-5.7231
1971,5,1,4,1039,-5.6595
1971,5,1,5,941,-6.6140
1971,5,2,1,404,-4.9727
1971,5,2,2,483,-4.8242
1971,5,2,3,513,-4.7636
1971,5,2,4,524,-4.4642
1971,5,2,5,470,-6.3814
1971,5,3,1,531,-2.7670
1971,5,3,2,598,-3.0575
1971,5,3,3,593,-2.6321
1971,5,3,4,647,-2.6233
1971,5,3,5,579,-2.6492
1971,6,1,1,827,-2.3147
1971,6,1,2,1009,-2.8358
1971,6,1,3,957,-2.8598
1971,6,1,4,1055,-2.5736
1971,6,1,5,972,-2.5754
1971,6,2,1,416,-1.1364
1971,6,2,2,503,-0.8249
1971,6,2,3,517,-0.5776
1971,6,2,4,536,-1.5098
1971,6,2,5,477,-1.2230
1971,6,3,1,536,0.2143
1971,6,3,2,619,0.3677
1971,6,3,3,593,0.2226
1971,6,3,4,632,0.5152
1971,6,3,5,586,0.6110
1971,7,1,1,822,-6.4917
1971,7,1,2,1012,-6.0784
1971,7,1,3,976,-5.7978
1971,7,1,4,1048,-6.0318
1971,7,1,5,943,-6.7367
1971,7,2,1,416,-5.9018
1971,7,2,2,515,-5.6142
1971,7,2,3,534,-6.3722
1971,7,2,4,531,-5.9924
1971,7,2,5,470,-5.7099
1971,7,3,1,535,-5.7422
1971,7,3,2,625,-5.1903
1971,7,3,3,631,-4.9895
1971,7,3,4,654,-5.1066
1971,7,3,5,561,-6.9809
1971,8,1,1,835,2.0286
1971,8,1,2,970,2.9794
1971,8,1,3,1015,3.3948
1971,8,1,4,1059,2.3159
1971,8,1,5,972,2.2971
1971,8,2,1,415,3.4903
1971,8,2,2,498,4.9121
1971,8,2,3,543,5.3142
1971,8,2,4,542,3.6232
1971,8,2,5,491,5.0479
1971,8,3,1,534,4.8434
1971,8,3,2,601,5.2953
1971,8,3,3,633,5.4874
1971,8,3,4,655,4.7419
1971,8,3,5,589,5.9474
1971,9,1,1,842,-1.0566
