year,month,rank_ME,rank_CIM_6,nstocks,ret_vw
1971,5,2,3,286,-3.8445
1971,5,2,4,295,-3.7851
1971,5,2,5,233,-4.8131
1971,5,3,1,345,-2.5954
1971,5,3,2,439,-3.1158
1971,5,3,3,367,-3.3100
1971,5,3,4,396,-2.9853
1971,5,3,5,322,-2.8689
1971,6,1,1,426,-3.8742
1971,6,1,2,520,-3.4145
1971,6,1,3,678,-2.7476
1971,6,1,4,669,-3.1303
1971,6,1,5,478,-3.1806
1971,6,2,1,238,-0.2699
1971,6,2,2,266,-0.9087
1971,6,2,3,302,-0.5607
1971,6,2,4,295,0.2466
1971,6,2,5,194,-2.2878
1971,6,3,1,361,1.1864
1971,6,3,2,405,1.8053
1971,6,3,3,377,0.5792
1971,6,3,4,401,1.2244
1971,6,3,5,226,0.1993
1971,7,1,1,419,-5.0086
1971,7,1,2,475,-4.9608
1971,7,1,3,691,-7.0026
1971,7,1,4,704,-6.4862
1971,7,1,5,480,-7.2903
1971,7,2,1,238,-4.0654
1971,7,2,2,244,-4.0505
1971,7,2,3,307,-6.1462
1971,7,2,4,341,-5.8927
1971,7,2,5,193,-4.4611
1971,7,3,1,361,-2.7839
1971,7,3,2,394,-3.6652
1971,7,3,3,378,-3.4319
1971,7,3,4,492,-4.5599
1971,7,3,5,237,-5.0160
1971,8,1,1,511,2.6663
1971,8,1,2,536,4.5576
1971,8,1,3,691,4.0070
1971,8,1,4,738,4.9062
1971,8,1,5,521,4.5819
1971,8,2,1,257,3.3691
1971,8,2,2,260,4.8404
1971,8,2,3,298,4.5478
1971,8,2,4,356,5.7438
1971,8,2,5,253,4.3350
1971,8,3,1,376,2.6953
1971,8,3,2,400,3.2011
1971,8,3,3,360,4.0766
1971,8,3,4,473,5.0737
1971,8,3,5,376,4.7486
1971,9,1,1,476,0.6187
1971,9,1,2,611,-1.0996
1971,9,1,3,637,-0.8629
