year,month,rank_ME,rank_SM_1,nstocks,ret_vw
1980,7,2,3,61,12.0947
1980,7,2,4,65,9.9936
1980,7,2,5,78,8.5485
1980,7,3,1,80,9.8188
1980,7,3,2,66,10.8363
1980,7,3,3,72,5.8382
1980,7,3,4,71,7.4522
1980,7,3,5,108,4.7998
1980,8,1,1,95,6.9760
1980,8,1,2,97,7.1482
1980,8,1,3,171,7.0239
1980,8,1,4,160,9.3633
1980,8,1,5,193,10.8514
1980,8,2,1,63,5.2540
1980,8,2,2,58,5.2286
1980,8,2,3,55,7.0343
1980,8,2,4,67,5.7556
1980,8,2,5,65,7.8029
1980,8,3,1,116,2.2068
1980,8,3,2,88,0.9966
1980,8,3,3,59,0.9089
1980,8,3,4,74,2.9168
1980,8,3,5,61,1.4864
1980,9,1,1,137,4.2503
1980,9,1,2,122,2.1529
1980,9,1,3,129,2.4645
1980,9,1,4,137,5.1318
1980,9,1,5,187,4.3769
1980,9,2,1,58,3.7956
1980,9,2,2,52,2.5920
1980,9,2,3,56,2.0727
1980,9,2,4,66,7.0834
1980,9,2,5,77,3.4772
1980,9,3,1,80,2.8051
1980,9,3,2,72,1.7679
1980,9,3,3,78,2.8329
1980,9,3,4,80,5.1908
1980,9,3,5,89,7.9012
1980,10,1,1,113,6.0730
1980,10,1,2,98,2.2707
1980,10,1,3,123,6.8872
1980,10,1,4,178,6.3224
1980,10,1,5,187,7.1105
1980,10,2,1,48,3.0557
1980,10,2,2,58,2.6623
1980,10,2,3,51,3.0877
1980,10,2,4,71,3.4257
1980,10,2,5,80,4.1745
1980,10,3,1,85,4.3617
1980,10,3,2,81,3.4900
1980,10,3,3,83,1.2080
1980,10,3,4,75,2.3634
1980,10,3,5,80,4.2958
1980,11,1,1,100,7.8698
1980,11,1,2,116,4.1405
1980,11,1,3,171,5.0305
1980,11,1,4,157,6.1888
1980,11,1,5,135,7.4421
1980,11,2,1,62,6.7170
1980,11,2,2,56,7.7448
1980,11,2,3,59,9.6836
1980,11,2,4,70,10.8027
1980,11,2,5,75,10.2603
1980,11,3,1,83,7.7155
1980,11,3,2,86,7.6800
1980,11,3,3,73,10.2450
1980,11,3,4,75,14.8429
1980,11,3,5,91,22.5705
