year,month,rank_ME,rank_IM_6,nstocks,ret_vw
1970,1,2,2,271,-4.2549
1970,1,2,3,344,-7.9546
1970,1,2,4,331,-7.8396
1970,1,2,5,147,-5.7207
1970,1,3,1,175,-14.0647
1970,1,3,2,307,-6.3842
1970,1,3,3,384,-8.2885
1970,1,3,4,439,-7.4101
1970,1,3,5,202,-7.0957
1970,2,1,1,372,1.3676
1970,2,1,2,598,3.0274
1970,2,1,3,586,1.7820
1970,2,1,4,527,2.9084
1970,2,1,5,271,4.9131
1970,2,2,1,165,2.9463
1970,2,2,2,294,3.1504
1970,2,2,3,315,2.7037
1970,2,2,4,274,3.6367
1970,2,2,5,150,3.8119
1970,2,3,1,209,4.2738
1970,2,3,2,338,7.3965
1970,2,3,3,364,6.3530
1970,2,3,4,316,5.3533
1970,2,3,5,197,3.2234
1970,3,1,1,372,-2.0862
1970,3,1,2,612,-4.4897
1970,3,1,3,554,-4.8493
1970,3,1,4,498,-4.2610
1970,3,1,5,262,-4.2911
1970,3,2,1,166,-2.2541
1970,3,2,2,305,-2.5620
1970,3,2,3,295,-3.2430
1970,3,2,4,242,-3.8691
1970,3,2,5,150,-2.6939
1970,3,3,1,212,-4.2126
1970,3,3,2,351,-0.1845
1970,3,3,3,338,-0.7901
1970,3,3,4,251,-3.4610
1970,3,3,5,196,-2.8537
1970,4,1,1,393,-21.3577
1970,4,1,2,685,-17.4482
1970,4,1,3,628,-18.7624
1970,4,1,4,537,-18.6120
1970,4,1,5,289,-18.5344
1970,4,2,1,170,-17.2175
1970,4,2,2,336,-15.6286
1970,4,2,3,338,-16.7896
1970,4,2,4,268,-17.6328
1970,4,2,5,177,-17.7091
1970,4,3,1,220,-14.3209
1970,4,3,2,397,-11.2174
1970,4,3,3,367,-12.6873
1970,4,3,4,322,-13.0387
1970,4,3,5,288,-13.1055
1970,5,1,1,355,-10.6729
1970,5,1,2,650,-9.3412
1970,5,1,3,692,-9.4160
1970,5,1,4,585,-9.8684
1970,5,1,5,280,-8.5522
1970,5,2,1,157,-10.0338
1970,5,2,2,319,-10.4060
1970,5,2,3,356,-13.0280
1970,5,2,4,299,-10.9677
1970,5,2,5,184,-5.5445
1970,5,3,1,194,-9.2595
1970,5,3,2,365,-9.7052
1970,5,3,3,406,-9.7950
1970,5,3,4,365,-8.8562
1970,5,3,5,303,-6.5493
1970,6,1,1,363,-9.4836
1970,6,1,2,663,-8.9697
1970,6,1,3,717,-9.6738
1970,6,1,4,461,-9.5773
1970,6,1,5,250,-9.1233
1970,6,2,1,157,-8.3989
1970,6,2,2,321,-7.5533
1970,6,2,3,373,-8.9243
1970,6,2,4,264,-7.5692
1970,6,2,5,180,-5.6616
1970,6,3,1,198,-7.2964
1970,6,3,2,370,-6.4600
1970,6,3,3,424,-5.7653
1970,6,3,4,357,-4.1040
1970,6,3,5,289,-2.1851
1970,7,1,1,388,1.4354
1970,7,1,2,651,2.4876
1970,7,1,3,760,3.8168
1970,7,1,4,470,3.9124
1970,7,1,5,218,6.4787
1970,7,2,1,161,7.3716
1970,7,2,2,316,6.2019
1970,7,2,3,387,8.6875
1970,7,2,4,274,6.8509
1970,7,2,5,157,5.5793
1970,7,3,1,200,6.8421
1970,7,3,2,363,8.1617
1970,7,3,3,444,8.6203
1970,7,3,4,350,5.0903
1970,7,3,5,280,5.0106
1970,8,1,1,370,7.9210
1970,8,1,2,604,5.5583
1970,8,1,3,723,5.9334
1970,8,1,4,624,5.4767
1970,8,1,5,284,5.3724
1970,8,2,1,154,5.3395
1970,8,2,2,256,7.2438
1970,8,2,3,369,7.3286
1970,8,2,4,346,5.9915
1970,8,2,5,193,2.9379
1970,8,3,1,176,6.5461
1970,8,3,2,245,7.1838
1970,8,3,3,452,4.2668
1970,8,3,4,409,3.0273
1970,8,3,5,348,1.6774
1970,9,1,1,313,6.5194
1970,9,1,2,453,19.5540
1970,9,1,3,666,15.2941
1970,9,1,4,567,12.9935
1970,9,1,5,301,10.4726
1970,9,2,1,114,20.1966
1970,9,2,2,200,16.0273
1970,9,2,3,332,12.2154
1970,9,2,4,303,8.6212
1970,9,2,5,200,5.7222
1970,9,3,1,126,20.7278
1970,9,3,2,179,7.2236
1970,9,3,3,360,6.3221
1970,9,3,4,381,5.1116
1970,9,3,5,316,4.5073
1970,10,1,1,334,-12.4581
1970,10,1,2,491,-10.0678
1970,10,1,3,653,-7.2475
1970,10,1,4,574,-4.5378
1970,10,1,5,350,-4.0117
1970,10,2,1,113,-10.2492
1970,10,2,2,201,-7.6719
1970,10,2,3,319,-5.0548
1970,10,2,4,329,-2.6051
1970,10,2,5,222,-3.2296
1970,10,3,1,92,-8.7308
1970,10,3,2,183,-5.0197
1970,10,3,3,365,-3.1415
1970,10,3,4,465,-1.2461
1970,10,3,5,326,0.3876
1970,11,1,1,348,-3.2290
1970,11,1,2,545,-3.4378
1970,11,1,3,694,-3.0996
1970,11,1,4,629,-1.1653
1970,11,1,5,349,-0.4950
1970,11,2,1,140,-0.3139
1970,11,2,2,222,0.6041
1970,11,2,3,328,1.1175
1970,11,2,4,342,1.9355
1970,11,2,5,213,2.9257
1970,11,3,1,106,4.5067
1970,11,3,2,224,6.5811
1970,11,3,3,355,4.9626
1970,11,3,4,473,5.5631
1970,11,3,5,312,5.9152
1970,12,1,1,367,8.9187
1970,12,1,2,517,7.2941
1970,12,1,3,693,9.7604
1970,12,1,4,616,9.1277
1970,12,1,5,366,6.8764
1970,12,2,1,149,8.1171
1970,12,2,2,225,6.6015
1970,12,2,3,327,9.5046
1970,12,2,4,332,8.0516
1970,12,2,5,227,7.0243
1970,12,3,1,126,2.7047
1970,12,3,2,222,6.3561
1970,12,3,3,370,7.2003
1970,12,3,4,466,6.1588
1970,12,3,5,323,4.4664
1971,1,1,1,391,15.7416
1971,1,1,2,558,15.6622
1971,1,1,3,612,15.5597
1971,1,1,4,760,14.7694
1971,1,1,5,449,12.8760
1971,1,2,1,160,9.4673
1971,1,2,2,240,10.8961
1971,1,2,3,291,11.6320
1971,1,2,4,357,10.1001
1971,1,2,5,257,9.5912
1971,1,3,1,137,10.3821
1971,1,3,2,291,8.4576
1971,1,3,3,354,7.2531
1971,1,3,4,481,5.4463
1971,1,3,5,363,5.9516
1971,2,1,1,429,10.2966
