year,month,rank_ME,rank_PTA,nstocks,ret_vw
1970,1,1,3,74,-4.5369
1970,1,1,4,105,-4.6865
1970,1,1,5,174,-3.1051
1970,1,2,1,54,-7.3319
1970,1,2,2,47,-5.1638
1970,1,2,3,39,-5.6487
1970,1,2,4,59,-3.8618
1970,1,2,5,71,-7.0789
1970,1,3,1,77,-7.6004
1970,1,3,2,94,-8.6786
1970,1,3,3,102,-6.6028
1970,1,3,4,95,-7.6255
1970,1,3,5,82,-11.6973
1970,2,1,1,154,2.5008
1970,2,1,2,77,2.0906
1970,2,1,3,74,4.0026
1970,2,1,4,105,3.6076
1970,2,1,5,174,3.7746
1970,2,2,1,53,4.4148
1970,2,2,2,47,4.8698
1970,2,2,3,39,4.2101
1970,2,2,4,59,3.7862
1970,2,2,5,71,6.2265
1970,2,3,1,77,7.2283
1970,2,3,2,94,4.2097
1970,2,3,3,102,7.9136
1970,2,3,4,95,3.1183
1970,2,3,5,82,6.7841
1970,3,1,1,154,-2.2435
1970,3,1,2,77,-1.6009
1970,3,1,3,74,-1.8734
1970,3,1,4,105,-4.9078
1970,3,1,5,174,-4.5707
1970,3,2,1,54,-1.8281
1970,3,2,2,47,0.5926
1970,3,2,3,40,-1.7276
1970,3,2,4,59,-2.5519
1970,3,2,5,71,-4.4455
1970,3,3,1,77,0.2886
1970,3,3,2,94,0.8769
1970,3,3,3,102,-0.3147
1970,3,3,4,96,-0.7850
1970,3,3,5,82,-1.5550
1970,4,1,1,154,-17.7617
1970,4,1,2,77,-14.6908
1970,4,1,3,74,-15.1726
1970,4,1,4,105,-16.6420
1970,4,1,5,173,-20.8538
1970,4,2,1,55,-17.1140
1970,4,2,2,47,-14.1947
1970,4,2,3,40,-13.4405
1970,4,2,4,59,-14.7364
1970,4,2,5,71,-18.3838
1970,4,3,1,77,-6.6459
1970,4,3,2,94,-8.2339
1970,4,3,3,102,-8.9841
1970,4,3,4,96,-11.1748
1970,4,3,5,82,-12.4469
1970,5,1,1,154,-10.6276
1970,5,1,2,77,-7.6551
1970,5,1,3,73,-8.9569
1970,5,1,4,105,-9.4341
1970,5,1,5,173,-9.2602
1970,5,2,1,55,-9.3796
1970,5,2,2,47,-7.6968
1970,5,2,3,40,-11.1329
1970,5,2,4,58,-12.9346
1970,5,2,5,71,-11.0903
1970,5,3,1,77,-3.0988
1970,5,3,2,94,-4.8594
1970,5,3,3,102,-4.6047
1970,5,3,4,96,-7.5591
1970,5,3,5,82,-9.3698
1970,6,1,1,152,-8.5349
1970,6,1,2,77,-7.1895
1970,6,1,3,73,-10.2127
1970,6,1,4,105,-7.2494
1970,6,1,5,173,-9.6724
1970,6,2,1,55,-8.1366
1970,6,2,2,47,-5.8070
1970,6,2,3,40,-6.4112
1970,6,2,4,58,-5.9475
1970,6,2,5,71,-8.5261
1970,6,3,1,77,-2.9703
1970,6,3,2,94,-3.3678
1970,6,3,3,102,-4.2692
1970,6,3,4,96,-8.0349
1970,6,3,5,82,-7.1600
1970,7,1,1,181,3.2943
1970,7,1,2,59,4.1200
1970,7,1,3,72,5.1424
1970,7,1,4,120,7.4000
1970,7,1,5,244,4.6142
1970,7,2,1,69,9.3892
1970,7,2,2,47,6.4351
1970,7,2,3,49,8.3542
1970,7,2,4,69,7.4901
1970,7,2,5,72,8.3780
1970,7,3,1,64,8.0063
1970,7,3,2,107,8.3608
1970,7,3,3,109,5.7831
1970,7,3,4,96,8.2593
1970,7,3,5,78,5.7448
1970,8,1,1,179,7.6058
1970,8,1,2,59,6.3837
1970,8,1,3,72,6.2047
1970,8,1,4,120,5.4025
1970,8,1,5,243,6.9709
1970,8,2,1,69,6.5618
1970,8,2,2,47,2.8497
