year,month,rank_ME,rank_DAC,nstocks,ret_vw
1970,1,1,3,65,-3.1483
1970,1,1,4,83,-0.9731
1970,1,1,5,140,-5.1009
1970,1,2,1,46,-7.8394
1970,1,2,2,45,-3.6912
1970,1,2,3,36,-3.9506
1970,1,2,4,61,-6.1554
1970,1,2,5,67,-7.6236
1970,1,3,1,86,-7.9146
1970,1,3,2,97,-8.2410
1970,1,3,3,101,-9.9244
1970,1,3,4,79,-7.3837
1970,1,3,5,64,-7.2436
1970,2,1,1,146,1.2143
1970,2,1,2,59,5.1123
1970,2,1,3,65,2.5947
1970,2,1,4,83,2.5664
1970,2,1,5,140,4.1760
1970,2,2,1,46,4.6634
1970,2,2,2,45,3.7014
1970,2,2,3,36,5.9105
1970,2,2,4,61,4.3907
1970,2,2,5,67,4.9664
1970,2,3,1,86,3.8247
1970,2,3,2,97,6.2013
1970,2,3,3,101,7.8767
1970,2,3,4,79,5.8199
1970,2,3,5,64,5.5099
1970,3,1,1,146,-2.9922
1970,3,1,2,59,-1.0540
1970,3,1,3,65,-3.8599
1970,3,1,4,83,-1.4934
1970,3,1,5,140,-5.1204
1970,3,2,1,46,-2.5763
1970,3,2,2,46,-1.7519
1970,3,2,3,36,-2.3341
1970,3,2,4,61,-0.5894
1970,3,2,5,67,-3.7868
1970,3,3,1,86,0.4041
1970,3,3,2,97,-1.7208
1970,3,3,3,101,-0.2431
1970,3,3,4,79,1.1418
1970,3,3,5,65,-1.3267
1970,4,1,1,146,-17.4516
1970,4,1,2,59,-15.2128
1970,4,1,3,65,-16.0414
1970,4,1,4,83,-17.7586
1970,4,1,5,139,-18.4613
1970,4,2,1,46,-17.0137
1970,4,2,2,46,-16.0377
1970,4,2,3,36,-12.8627
1970,4,2,4,61,-12.9015
1970,4,2,5,67,-18.8657
1970,4,3,1,86,-9.7278
1970,4,3,2,97,-7.7198
1970,4,3,3,101,-9.5485
1970,4,3,4,79,-9.2323
1970,4,3,5,65,-12.8114
1970,5,1,1,146,-8.4258
1970,5,1,2,59,-10.7955
1970,5,1,3,65,-10.8384
1970,5,1,4,83,-8.6758
1970,5,1,5,139,-9.4815
1970,5,2,1,46,-9.5750
1970,5,2,2,45,-9.0270
1970,5,2,3,36,-10.3814
1970,5,2,4,61,-12.0854
1970,5,2,5,67,-11.2622
1970,5,3,1,86,-6.7617
1970,5,3,2,97,-7.3623
1970,5,3,3,101,-3.5273
1970,5,3,4,79,-3.2300
1970,5,3,5,65,-9.0573
1970,6,1,1,146,-7.9284
1970,6,1,2,59,-5.2106
1970,6,1,3,65,-6.6897
1970,6,1,4,83,-10.0433
1970,6,1,5,138,-11.3066
1970,6,2,1,46,-6.7778
1970,6,2,2,45,-6.4485
1970,6,2,3,36,-8.2368
1970,6,2,4,61,-5.9512
1970,6,2,5,67,-8.2126
1970,6,3,1,86,-5.7582
1970,6,3,2,97,-2.4410
1970,6,3,3,101,-5.5919
1970,6,3,4,79,-5.4856
1970,6,3,5,65,-5.3749
1970,7,1,1,194,3.9224
1970,7,1,2,79,8.6655
1970,7,1,3,64,3.1340
1970,7,1,4,88,3.8651
1970,7,1,5,169,4.6226
1970,7,2,1,62,8.6570
1970,7,2,2,41,11.4572
1970,7,2,3,51,9.5041
1970,7,2,4,60,6.6719
1970,7,2,5,72,7.5910
1970,7,3,1,76,4.7616
1970,7,3,2,94,7.5001
1970,7,3,3,99,9.8573
1970,7,3,4,99,9.0118
1970,7,3,5,66,2.7795
1970,8,1,1,194,6.8534
1970,8,1,2,79,6.3997
1970,8,1,3,63,8.2647
1970,8,1,4,88,6.1577
1970,8,1,5,169,6.0138
1970,8,2,1,62,7.5796
1970,8,2,2,41,9.2588
1970,8,2,3,51,8.1355
1970,8,2,4,60,6.5131
1970,8,2,5,72,6.3708
1970,8,3,1,76,5.8087
1970,8,3,2,94,3.3524
1970,8,3,3,99,6.4770
1970,8,3,4,99,3.6359
1970,8,3,5,66,6.1715
1970,9,1,1,194,15.6114
1970,9,1,2,79,11.5701
1970,9,1,3,63,13.1872
1970,9,1,4,88,12.7937
1970,9,1,5,169,19.1827
1970,9,2,1,62,12.5875
1970,9,2,2,41,12.6384
1970,9,2,3,51,8.6879
1970,9,2,4,60,10.6958
1970,9,2,5,72,15.1578
1970,9,3,1,76,5.3220
1970,9,3,2,94,1.9295
1970,9,3,3,99,3.4840
1970,9,3,4,98,2.8025
1970,9,3,5,66,9.4021
1970,10,1,1,194,-7.5758
1970,10,1,2,79,-6.2843
1970,10,1,3,64,-6.9262
1970,10,1,4,88,-8.6284
1970,10,1,5,169,-10.3157
1970,10,2,1,62,-6.7559
1970,10,2,2,41,-3.8728
1970,10,2,3,51,-3.9052
1970,10,2,4,60,-6.0347
1970,10,2,5,72,-6.1225
1970,10,3,1,76,-1.1133
1970,10,3,2,94,-1.2020
1970,10,3,3,99,0.9852
1970,10,3,4,98,-1.6532
1970,10,3,5,66,-3.4907
1970,11,1,1,193,-2.9770
1970,11,1,2,79,0.3084
1970,11,1,3,64,-2.2778
1970,11,1,4,88,-1.0120
1970,11,1,5,169,-2.3433
1970,11,2,1,62,2.7379
1970,11,2,2,41,3.1183
1970,11,2,3,51,3.2659
1970,11,2,4,60,2.7731
1970,11,2,5,72,0.6530
1970,11,3,1,76,5.7015
1970,11,3,2,94,5.1561
1970,11,3,3,99,4.8580
1970,11,3,4,98,5.4370
1970,11,3,5,66,3.6426
1970,12,1,1,193,8.8055
1970,12,1,2,79,11.4145
1970,12,1,3,64,11.7580
1970,12,1,4,88,9.1663
1970,12,1,5,169,9.2277
1970,12,2,1,62,8.5182
1970,12,2,2,41,8.2003
1970,12,2,3,51,9.7754
1970,12,2,4,60,9.8856
1970,12,2,5,72,8.1024
1970,12,3,1,76,5.3216
1970,12,3,2,94,6.1925
1970,12,3,3,99,5.1757
1970,12,3,4,98,6.6632
1970,12,3,5,66,5.9536
1971,1,1,1,192,16.8758
1971,1,1,2,79,12.8899
1971,1,1,3,64,13.9432
