year,month,rank_ME,rank_dPIA,nstocks,ret_vw
1970,9,3,3,111,1.5865
1970,9,3,4,92,6.3637
1970,9,3,5,100,7.7929
1970,10,1,1,240,-6.2546
1970,10,1,2,83,-6.9388
1970,10,1,3,82,-6.6136
1970,10,1,4,140,-7.4600
1970,10,1,5,179,-11.3767
1970,10,2,1,62,-5.9817
1970,10,2,2,67,-5.1317
1970,10,2,3,52,-5.9218
1970,10,2,4,61,-4.9992
1970,10,2,5,86,-5.7456
1970,10,3,1,66,-0.5449
1970,10,3,2,93,0.1200
1970,10,3,3,111,-1.1166
1970,10,3,4,92,-1.4056
1970,10,3,5,100,-1.7733
1970,11,1,1,240,-0.1255
1970,11,1,2,82,-0.8987
1970,11,1,3,82,-3.0420
1970,11,1,4,139,-0.3331
1970,11,1,5,178,-3.2892
1970,11,2,1,62,0.4110
1970,11,2,2,67,3.2649
1970,11,2,3,51,5.0834
1970,11,2,4,61,3.5777
1970,11,2,5,86,1.3638
1970,11,3,1,66,6.9275
1970,11,3,2,93,4.5196
1970,11,3,3,111,5.1389
1970,11,3,4,92,5.4035
1970,11,3,5,100,4.3069
1970,12,1,1,238,8.0636
1970,12,1,2,82,10.4205
1970,12,1,3,82,11.4753
1970,12,1,4,139,11.0383
1970,12,1,5,178,9.2435
1970,12,2,1,62,8.5042
1970,12,2,2,67,9.8333
1970,12,2,3,51,9.8438
1970,12,2,4,61,8.5453
1970,12,2,5,86,7.8236
1970,12,3,1,66,5.1501
1970,12,3,2,93,5.5393
1970,12,3,3,110,6.4519
1970,12,3,4,92,5.4742
1970,12,3,5,100,5.1181
1971,1,1,1,237,14.8097
1971,1,1,2,82,13.6688
1971,1,1,3,82,12.9124
1971,1,1,4,139,14.8753
1971,1,1,5,176,16.4388
1971,1,2,1,61,13.3819
1971,1,2,2,67,11.9860
1971,1,2,3,51,9.1171
1971,1,2,4,60,12.2538
1971,1,2,5,86,9.2239
1971,1,3,1,66,5.5407
1971,1,3,2,93,2.7013
1971,1,3,3,110,4.2941
1971,1,3,4,92,4.2119
1971,1,3,5,100,6.7585
1971,2,1,1,237,5.2728
1971,2,1,2,81,1.4949
1971,2,1,3,81,5.5874
1971,2,1,4,139,4.7039
1971,2,1,5,174,5.8707
1971,2,2,1,61,2.3448
1971,2,2,2,66,3.3053
1971,2,2,3,51,3.8607
1971,2,2,4,60,3.0536
1971,2,2,5,86,1.3964
1971,2,3,1,66,0.7338
1971,2,3,2,93,4.2493
1971,2,3,3,110,0.5262
1971,2,3,4,91,2.6938
1971,2,3,5,100,1.8536
1971,3,1,1,237,7.6359
1971,3,1,2,81,5.5277
1971,3,1,3,81,7.0860
1971,3,1,4,139,6.3920
1971,3,1,5,173,5.4163
1971,3,2,1,61,6.0949
1971,3,2,2,66,5.7662
1971,3,2,3,50,5.4174
1971,3,2,4,60,6.8763
1971,3,2,5,86,8.5379
1971,3,3,1,66,5.3875
1971,3,3,2,92,3.0699
1971,3,3,3,110,2.6990
1971,3,3,4,91,5.8411
1971,3,3,5,99,5.7813
1971,4,1,1,236,2.2934
1971,4,1,2,81,3.1381
1971,4,1,3,80,0.4844
1971,4,1,4,139,4.8463
1971,4,1,5,173,1.4255
1971,4,2,1,61,4.7595
1971,4,2,2,66,7.5096
1971,4,2,3,49,3.1036
1971,4,2,4,60,5.3344
1971,4,2,5,85,2.3239
1971,4,3,1,66,4.2335
1971,4,3,2,92,4.6153
1971,4,3,3,110,4.8987
1971,4,3,4,91,2.3311
1971,4,3,5,99,5.2547
1971,5,1,1,230,-5.0417
1971,5,1,2,81,-6.0665
1971,5,1,3,80,-7.7600
1971,5,1,4,139,-6.0330
1971,5,1,5,172,-8.3554
1971,5,2,1,61,-5.1423
1971,5,2,2,65,-2.9750
1971,5,2,3,50,-4.6990
1971,5,2,4,60,-5.2377
1971,5,2,5,85,-4.4634
1971,5,3,1,66,-3.2334
1971,5,3,2,92,-3.9495
1971,5,3,3,110,-3.0800
