year,month,rank_ME,rank_PDA,nstocks,ret_vw
1971,4,1,4,82,3.2902
1971,4,1,5,179,3.6427
1971,4,2,1,59,3.3939
1971,4,2,2,42,3.9389
1971,4,2,3,53,5.5578
1971,4,2,4,57,5.7623
1971,4,2,5,74,2.8404
1971,4,3,1,66,4.0341
1971,4,3,2,98,5.4928
1971,4,3,3,110,4.1944
1971,4,3,4,104,3.3792
1971,4,3,5,55,6.5314
1971,5,1,1,200,-6.2601
1971,5,1,2,78,-4.5968
1971,5,1,3,53,-5.7338
1971,5,1,4,82,-5.4985
1971,5,1,5,179,-7.2565
1971,5,2,1,59,-4.5987
1971,5,2,2,42,-2.5404
1971,5,2,3,53,-3.8965
1971,5,2,4,57,-4.7486
1971,5,2,5,75,-5.9743
1971,5,3,1,66,-5.1514
1971,5,3,2,98,-3.4070
1971,5,3,3,110,-2.5199
1971,5,3,4,104,-3.3597
1971,5,3,5,55,-3.6667
1971,6,1,1,199,-3.1964
1971,6,1,2,78,-1.1617
1971,6,1,3,53,-1.3683
1971,6,1,4,81,-1.4555
1971,6,1,5,179,-3.3261
1971,6,2,1,59,0.0850
1971,6,2,2,42,-0.0499
1971,6,2,3,53,-0.2816
1971,6,2,4,56,-2.0673
1971,6,2,5,75,-2.5592
1971,6,3,1,66,-1.1942
1971,6,3,2,98,0.4998
1971,6,3,3,110,0.6475
1971,6,3,4,104,1.1675
1971,6,3,5,55,-2.1224
1971,7,1,1,209,-7.0779
1971,7,1,2,108,-7.4195
1971,7,1,3,79,-5.5768
1971,7,1,4,104,-5.0068
1971,7,1,5,190,-7.4988
1971,7,2,1,68,-4.3071
1971,7,2,2,56,-4.0773
1971,7,2,3,59,-3.5513
1971,7,2,4,59,-5.7043
1971,7,2,5,69,-5.7477
1971,7,3,1,66,-4.8621
1971,7,3,2,111,-4.9192
1971,7,3,3,109,-3.0246
1971,7,3,4,108,-3.2316
1971,7,3,5,84,-7.4256
1971,8,1,1,209,3.0337
1971,8,1,2,108,5.9250
1971,8,1,3,79,6.1752
1971,8,1,4,104,4.7167
1971,8,1,5,190,3.4619
1971,8,2,1,68,6.4183
1971,8,2,2,56,3.0953
1971,8,2,3,59,4.0896
1971,8,2,4,59,5.8918
1971,8,2,5,69,5.1014
1971,8,3,1,66,7.5645
1971,8,3,2,111,5.9867
1971,8,3,3,109,1.2430
1971,8,3,4,107,4.4688
1971,8,3,5,84,7.6164
1971,9,1,1,209,-0.1156
1971,9,1,2,108,0.6826
1971,9,1,3,79,-0.1791
1971,9,1,4,104,-0.1501
