year,month,rank_ME,rank_NXF,nstocks,ret_vw
1976,1,2,3,99,18.6819
1976,1,2,4,116,19.3747
1976,1,2,5,141,18.4695
1976,1,3,1,142,10.9335
1976,1,3,2,114,11.8504
1976,1,3,3,139,15.4915
1976,1,3,4,130,11.3097
1976,1,3,5,125,13.8998
1976,2,1,1,327,10.2359
1976,2,1,2,297,11.4785
1976,2,1,3,352,13.3009
1976,2,1,4,236,11.0168
1976,2,1,5,322,12.1258
1976,2,2,1,110,4.8490
1976,2,2,2,116,9.0347
1976,2,2,3,99,7.5632
1976,2,2,4,116,7.2239
1976,2,2,5,140,7.5272
1976,2,3,1,142,-1.1514
1976,2,3,2,114,-0.2297
1976,2,3,3,139,0.6087
1976,2,3,4,130,0.0794
1976,2,3,5,125,0.4845
1976,3,1,1,329,1.0351
1976,3,1,2,309,0.4520
1976,3,1,3,359,2.7796
1976,3,1,4,248,2.7287
1976,3,1,5,311,0.9306
1976,3,2,1,111,2.3786
1976,3,2,2,116,2.4275
1976,3,2,3,99,-0.3906
1976,3,2,4,115,2.4287
1976,3,2,5,140,0.6958
1976,3,3,1,142,3.8185
1976,3,3,2,115,2.9556
1976,3,3,3,138,1.6946
1976,3,3,4,130,2.5707
1976,3,3,5,125,0.6404
1976,4,1,1,328,-0.7402
1976,4,1,2,309,-0.6737
1976,4,1,3,358,-2.9116
1976,4,1,4,247,-1.7280
1976,4,1,5,311,-1.3408
1976,4,2,1,111,1.1291
1976,4,2,2,115,-1.5600
1976,4,2,3,98,-1.4470
1976,4,2,4,115,-0.2215
1976,4,2,5,139,-1.6743
1976,4,3,1,142,-2.5078
1976,4,3,2,115,-1.0568
1976,4,3,3,138,-0.6147
1976,4,3,4,130,0.4692
1976,4,3,5,125,-0.6009
1976,5,1,1,334,-2.7381
1976,5,1,2,311,-2.3051
1976,5,1,3,361,-5.0735
1976,5,1,4,247,-2.6583
1976,5,1,5,322,-2.7216
1976,5,2,1,111,-1.5556
1976,5,2,2,115,-2.1320
1976,5,2,3,97,-1.7333
1976,5,2,4,116,-2.7142
1976,5,2,5,138,-0.4171
1976,5,3,1,142,-1.0565
1976,5,3,2,115,-1.9431
1976,5,3,3,138,-1.5767
1976,5,3,4,130,-1.0198
1976,5,3,5,125,-0.0794
1976,6,1,1,330,2.7550
1976,6,1,2,312,2.5147
1976,6,1,3,361,2.5924
1976,6,1,4,247,3.1629
1976,6,1,5,322,3.8205
1976,6,2,1,111,3.5922
1976,6,2,2,115,4.1069
1976,6,2,3,96,3.3919
1976,6,2,4,116,4.5527
1976,6,2,5,139,8.3127
1976,6,3,1,142,4.2330
1976,6,3,2,115,3.7590
1976,6,3,3,138,5.2810
1976,6,3,4,130,4.0741
1976,6,3,5,124,4.1190
1976,7,1,1,447,0.4472
1976,7,1,2,384,-0.0760
1976,7,1,3,489,-0.8269
1976,7,1,4,267,-0.5585
1976,7,1,5,349,0.3333
1976,7,2,1,132,-0.0039
1976,7,2,2,118,0.5453
1976,7,2,3,112,-0.1800
1976,7,2,4,110,-0.5909
1976,7,2,5,122,0.2222
1976,7,3,1,129,-1.3823
1976,7,3,2,116,-0.5097
1976,7,3,3,110,-0.8453
1976,7,3,4,150,-0.8082
1976,7,3,5,145,-1.5413
1976,8,1,1,403,-0.9542
1976,8,1,2,337,-1.7987
1976,8,1,3,432,-2.4704
1976,8,1,4,246,-2.3908
1976,8,1,5,322,-3.3385
1976,8,2,1,128,-2.4541
1976,8,2,2,114,-2.3295
1976,8,2,3,111,-2.1172
1976,8,2,4,109,-2.3084
1976,8,2,5,121,-2.6343
1976,8,3,1,129,-0.4000
1976,8,3,2,116,-0.1766
1976,8,3,3,109,0.6499
1976,8,3,4,150,-0.5875
1976,8,3,5,144,0.8790
1976,9,1,1,399,1.7013
1976,9,1,2,333,1.7152
1976,9,1,3,432,0.8577
1976,9,1,4,246,2.3092
1976,9,1,5,321,2.5076
1976,9,2,1,124,3.3306
1976,9,2,2,115,2.9218
