year,month,rank_ME,rank_ACI,nstocks,ret_vw
1971,7,1,4,51,-5.1941
1971,7,1,5,88,-6.1742
1971,7,2,1,57,-4.5164
1971,7,2,2,49,-4.7061
1971,7,2,3,45,-5.2535
1971,7,2,4,37,-4.4343
1971,7,2,5,63,-5.1862
1971,7,3,1,60,-6.6088
1971,7,3,2,77,-3.6578
1971,7,3,3,107,-3.9405
1971,7,3,4,111,-4.4137
1971,7,3,5,81,-4.2961
1971,8,1,1,111,5.5224
1971,8,1,2,87,5.8115
1971,8,1,3,44,6.5581
1971,8,1,4,51,4.9809
1971,8,1,5,88,5.6544
1971,8,2,1,57,5.5571
1971,8,2,2,49,8.0237
1971,8,2,3,45,5.2645
1971,8,2,4,37,4.0318
1971,8,2,5,63,6.5989
1971,8,3,1,60,6.3297
1971,8,3,2,77,3.0005
1971,8,3,3,107,4.7870
1971,8,3,4,111,3.9911
1971,8,3,5,80,6.8750
1971,9,1,1,111,-1.7628
1971,9,1,2,87,-0.8063
1971,9,1,3,44,-0.0049
