year,month,rank_ME,rank_TA,nstocks,ret_vw
1971,6,3,3,100,-0.8564
1971,6,3,4,103,1.9043
1971,6,3,5,96,1.1121
1971,7,1,1,239,-7.0559
1971,7,1,2,123,-5.4554
1971,7,1,3,106,-7.0947
1971,7,1,4,109,-5.6893
1971,7,1,5,173,-7.5599
1971,7,2,1,74,-5.3819
1971,7,2,2,59,-4.7157
1971,7,2,3,62,-4.4000
1971,7,2,4,56,-4.5164
1971,7,2,5,79,-6.0260
1971,7,3,1,59,-4.5461
1971,7,3,2,93,-5.0244
1971,7,3,3,100,-4.5887
1971,7,3,4,108,-2.0648
1971,7,3,5,133,-5.0083
1971,8,1,1,238,5.8229
1971,8,1,2,123,5.0702
1971,8,1,3,106,4.3512
1971,8,1,4,109,4.2524
1971,8,1,5,173,2.6467
1971,8,2,1,74,5.6802
1971,8,2,2,59,6.8206
1971,8,2,3,62,3.8031
1971,8,2,4,56,5.4854
1971,8,2,5,79,3.7499
1971,8,3,1,59,8.1127
1971,8,3,2,93,4.3329
1971,8,3,3,100,4.7924
1971,8,3,4,108,3.0059
1971,8,3,5,132,4.4817
1971,9,1,1,238,-1.1516
1971,9,1,2,123,-1.4087
1971,9,1,3,106,-0.6482
1971,9,1,4,109,1.2321
