year,month,rank_ME,rank_NSI,nstocks,ret_vw
1970,2,3,1,61,4.0510
1970,2,3,2,65,7.8690
1970,2,3,3,151,6.1486
1970,2,3,4,132,4.9937
1970,2,3,5,125,7.0355
1970,3,1,1,50,-0.0712
1970,3,1,2,155,-4.1402
1970,3,1,3,111,-0.2232
1970,3,1,4,151,-3.2324
1970,3,1,5,181,-5.0706
1970,3,2,1,32,-0.7196
1970,3,2,2,46,1.7007
1970,3,2,3,63,0.4066
1970,3,2,4,73,-1.6219
1970,3,2,5,112,-4.3314
1970,3,3,1,61,3.2569
1970,3,3,2,65,1.2634
1970,3,3,3,151,0.4089
1970,3,3,4,133,-0.6185
1970,3,3,5,125,-2.5011
1970,4,1,1,50,-15.2475
1970,4,1,2,155,-14.2909
1970,4,1,3,111,-18.1242
1970,4,1,4,150,-18.2534
1970,4,1,5,180,-20.1951
1970,4,2,1,32,-12.9789
1970,4,2,2,46,-10.1759
1970,4,2,3,63,-12.0773
1970,4,2,4,73,-15.4106
1970,4,2,5,112,-18.2524
1970,4,3,1,61,-8.0967
1970,4,3,2,65,-8.0185
1970,4,3,3,151,-7.4092
1970,4,3,4,133,-10.5570
1970,4,3,5,125,-13.6049
1970,5,1,1,50,-9.5205
1970,5,1,2,155,-9.0006
1970,5,1,3,110,-9.2966
1970,5,1,4,150,-8.0601
1970,5,1,5,180,-9.8385
1970,5,2,1,32,-8.1290
1970,5,2,2,46,-7.3102
1970,5,2,3,63,-8.9355
1970,5,2,4,73,-9.0964
1970,5,2,5,111,-11.9349
1970,5,3,1,61,-1.0513
1970,5,3,2,65,-4.8070
1970,5,3,3,151,-5.5929
1970,5,3,4,133,-6.3784
1970,5,3,5,125,-8.5355
1970,6,1,1,49,-5.9823
1970,6,1,2,154,-7.2896
1970,6,1,3,109,-9.6114
1970,6,1,4,149,-8.7285
1970,6,1,5,180,-9.7586
1970,6,2,1,32,-7.2319
1970,6,2,2,46,-4.3312
1970,6,2,3,63,-5.2556
1970,6,2,4,73,-6.5941
1970,6,2,5,109,-8.8642
1970,6,3,1,61,-2.7631
1970,6,3,2,65,-4.3388
1970,6,3,3,151,-3.3628
1970,6,3,4,133,-7.6407
1970,6,3,5,125,-6.2198
1970,7,1,1,70,3.0969
1970,7,1,2,159,6.6001
1970,7,1,3,135,5.1050
1970,7,1,4,152,4.4658
1970,7,1,5,222,4.2928
1970,7,2,1,41,9.9121
1970,7,2,2,44,5.9633
1970,7,2,3,75,6.6535
1970,7,2,4,85,6.6372
1970,7,2,5,106,8.3445
1970,7,3,1,70,10.4110
1970,7,3,2,48,7.4213
1970,7,3,3,154,7.1332
1970,7,3,4,142,5.0802
1970,7,3,5,133,8.3420
1970,8,1,1,70,3.9181
1970,8,1,2,158,4.9936
1970,8,1,3,135,6.5988
1970,8,1,4,150,7.4362
1970,8,1,5,222,7.2113
1970,8,2,1,41,5.0535
1970,8,2,2,44,4.4152
1970,8,2,3,75,7.2644
1970,8,2,4,85,7.0765
1970,8,2,5,105,7.9284
1970,8,3,1,70,5.7227
1970,8,3,2,48,2.9847
1970,8,3,3,154,3.9392
1970,8,3,4,142,5.4332
1970,8,3,5,133,5.5195
1970,9,1,1,70,14.2970
1970,9,1,2,157,11.0199
1970,9,1,3,135,16.1278
1970,9,1,4,150,14.3447
1970,9,1,5,221,17.4027
1970,9,2,1,41,8.6536
1970,9,2,2,44,6.6679
1970,9,2,3,75,9.5160
1970,9,2,4,84,11.2893
1970,9,2,5,105,14.5129
1970,9,3,1,70,1.6575
1970,9,3,2,48,3.5419
1970,9,3,3,154,2.1488
1970,9,3,4,141,6.0791
1970,9,3,5,133,5.7004
1970,10,1,1,70,-8.0587
1970,10,1,2,158,-4.3284
1970,10,1,3,135,-7.5181
1970,10,1,4,150,-8.0957
1970,10,1,5,219,-9.6789
