year,month,rank_ME,rank_IG2,nstocks,ret_vw
1969,9,2,1,46,0.0643
1969,9,2,2,37,-2.8457
1969,9,2,3,45,-0.1997
1969,9,2,4,46,-2.8062
1969,9,2,5,57,2.2695
1969,9,3,1,65,-2.8769
1969,9,3,2,99,-0.8294
1969,9,3,3,99,-3.2344
1969,9,3,4,96,-3.6383
1969,9,3,5,70,-2.3463
1969,10,1,1,112,9.4354
1969,10,1,2,53,3.2257
1969,10,1,3,58,8.9659
1969,10,1,4,54,9.8910
1969,10,1,5,108,11.8408
1969,10,2,1,46,8.1246
1969,10,2,2,37,8.8370
1969,10,2,3,45,6.4923
1969,10,2,4,46,5.9754
1969,10,2,5,57,9.6593
1969,10,3,1,65,4.9941
1969,10,3,2,99,4.9503
1969,10,3,3,99,3.7296
1969,10,3,4,96,5.0462
1969,10,3,5,70,4.7786
1969,11,1,1,112,-7.4463
1969,11,1,2,53,-5.8536
1969,11,1,3,58,-7.1553
1969,11,1,4,54,-5.6456
1969,11,1,5,108,-7.0993
1969,11,2,1,46,-5.1326
1969,11,2,2,38,-4.4354
1969,11,2,3,45,-5.4693
1969,11,2,4,46,-5.2218
1969,11,2,5,57,-6.1394
1969,11,3,1,65,-4.2406
1969,11,3,2,99,-1.8869
1969,11,3,3,99,-1.6255
1969,11,3,4,96,-4.2998
1969,11,3,5,71,-3.4195
1969,12,1,1,112,-7.7724
1969,12,1,2,53,-8.8082
1969,12,1,3,58,-5.2002
1969,12,1,4,54,-3.8871
1969,12,1,5,108,-7.7988
1969,12,2,1,46,-5.4557
1969,12,2,2,38,-4.9635
1969,12,2,3,45,-4.4529
1969,12,2,4,46,-4.0665
1969,12,2,5,57,-5.2720
1969,12,3,1,65,-2.6549
1969,12,3,2,99,-1.2012
1969,12,3,3,99,-1.9303
1969,12,3,4,96,-0.3261
1969,12,3,5,71,-3.4901
1970,1,1,1,112,-0.7058
1970,1,1,2,53,-2.3495
1970,1,1,3,58,-4.1634
1970,1,1,4,54,-4.9682
1970,1,1,5,108,-5.5778
1970,1,2,1,46,-5.7864
1970,1,2,2,38,-6.4461
1970,1,2,3,45,-5.7500
1970,1,2,4,45,-3.3326
1970,1,2,5,57,-7.2400
1970,1,3,1,65,-7.4326
1970,1,3,2,99,-7.9182
1970,1,3,3,98,-8.0481
1970,1,3,4,96,-8.1000
1970,1,3,5,71,-8.8839
1970,2,1,1,112,2.5816
1970,2,1,2,52,3.2937
1970,2,1,3,58,3.4075
1970,2,1,4,54,4.0560
1970,2,1,5,108,2.7661
1970,2,2,1,46,3.0100
1970,2,2,2,37,5.2800
1970,2,2,3,45,5.8677
1970,2,2,4,45,2.0945
1970,2,2,5,57,5.4758
1970,2,3,1,65,5.8403
1970,2,3,2,99,4.4017
1970,2,3,3,98,7.4967
1970,2,3,4,96,5.0274
1970,2,3,5,71,6.0967
1970,3,1,1,111,-1.6791
1970,3,1,2,52,-0.3756
1970,3,1,3,58,-1.9901
1970,3,1,4,54,-3.6714
1970,3,1,5,108,-3.5876
1970,3,2,1,46,-0.3414
1970,3,2,2,37,1.1305
1970,3,2,3,45,-2.5786
1970,3,2,4,46,-0.5069
1970,3,2,5,57,-3.6207
1970,3,3,1,65,0.0117
1970,3,3,2,99,0.6966
1970,3,3,3,99,-0.1873
1970,3,3,4,96,-0.1436
1970,3,3,5,71,-2.3959
1970,4,1,1,111,-15.0286
1970,4,1,2,52,-13.8910
1970,4,1,3,58,-15.8684
1970,4,1,4,54,-12.9073
1970,4,1,5,108,-19.4344
1970,4,2,1,46,-12.1385
1970,4,2,2,38,-12.1719
1970,4,2,3,45,-13.3509
1970,4,2,4,46,-14.6266
1970,4,2,5,57,-17.3916
