year,month,rank_ME,rank_dLNO,nstocks,ret_vw
1970,1,2,5,81,-8.4657
1970,1,3,1,64,-7.3760
1970,1,3,2,93,-7.5612
1970,1,3,3,106,-8.8453
1970,1,3,4,106,-6.7733
1970,1,3,5,86,-10.1240
1970,2,1,1,213,3.6803
1970,2,1,2,119,2.2909
1970,2,1,3,84,2.1472
1970,2,1,4,88,4.3139
1970,2,1,5,125,2.1123
1970,2,2,1,54,4.6424
1970,2,2,2,54,4.9828
1970,2,2,3,45,5.3480
1970,2,2,4,55,5.8718
1970,2,2,5,80,3.7821
1970,2,3,1,64,5.6728
1970,2,3,2,93,7.2803
1970,2,3,3,106,7.2038
1970,2,3,4,106,5.3693
1970,2,3,5,86,3.5975
1970,3,1,1,213,-1.1778
1970,3,1,2,119,-4.3233
1970,3,1,3,84,-4.0253
1970,3,1,4,88,-3.3568
1970,3,1,5,125,-4.8892
1970,3,2,1,54,-1.8066
1970,3,2,2,54,-0.0568
1970,3,2,3,47,-0.9666
1970,3,2,4,55,-3.1764
1970,3,2,5,80,-4.6141
1970,3,3,1,65,-0.7050
1970,3,3,2,93,2.6202
1970,3,3,3,106,-2.0003
1970,3,3,4,106,0.1244
1970,3,3,5,86,-1.1212
1970,4,1,1,213,-16.8209
1970,4,1,2,119,-15.8591
1970,4,1,3,83,-15.8032
1970,4,1,4,88,-16.8968
1970,4,1,5,124,-22.6600
1970,4,2,1,54,-14.9916
1970,4,2,2,54,-12.9289
1970,4,2,3,47,-11.8798
1970,4,2,4,55,-16.5026
1970,4,2,5,81,-19.7804
1970,4,3,1,65,-10.3087
1970,4,3,2,93,-8.8215
1970,4,3,3,106,-9.3611
1970,4,3,4,106,-8.0787
1970,4,3,5,86,-11.1088
1970,5,1,1,213,-8.5849
1970,5,1,2,119,-10.8517
1970,5,1,3,83,-6.9315
1970,5,1,4,87,-11.1656
1970,5,1,5,124,-8.5345
1970,5,2,1,54,-7.6620
1970,5,2,2,54,-9.3953
1970,5,2,3,47,-9.9756
1970,5,2,4,55,-12.1917
1970,5,2,5,80,-12.1034
