year,month,rank_ME,rank_dNCO,nstocks,ret_vw
1970,8,1,3,83,4.2392
1970,8,1,4,97,9.0492
1970,8,1,5,172,6.9637
1970,8,2,1,62,9.9931
1970,8,2,2,65,6.1075
1970,8,2,3,58,6.3747
1970,8,2,4,63,7.8627
1970,8,2,5,78,5.4611
1970,8,3,1,81,3.2097
1970,8,3,2,97,5.5794
1970,8,3,3,125,5.4004
1970,8,3,4,124,4.4841
1970,8,3,5,110,4.9452
1970,9,1,1,227,14.9027
1970,9,1,2,100,12.1788
1970,9,1,3,82,11.9051
1970,9,1,4,97,14.8109
1970,9,1,5,172,18.4340
1970,9,2,1,62,9.8786
1970,9,2,2,65,9.3403
1970,9,2,3,58,11.6854
1970,9,2,4,63,9.5467
1970,9,2,5,78,14.2324
1970,9,3,1,81,6.7587
1970,9,3,2,97,2.0979
1970,9,3,3,125,2.4901
1970,9,3,4,124,3.5757
1970,9,3,5,109,5.9286
1970,10,1,1,228,-7.3269
1970,10,1,2,100,-6.1697
1970,10,1,3,82,-6.6210
1970,10,1,4,97,-7.9636
1970,10,1,5,172,-10.5703
1970,10,2,1,62,-5.5247
1970,10,2,2,65,-3.3666
1970,10,2,3,58,-5.2277
1970,10,2,4,63,-5.2051
1970,10,2,5,78,-5.9641
1970,10,3,1,81,-1.7362
1970,10,3,2,97,-2.0157
1970,10,3,3,125,0.3118
1970,10,3,4,124,-1.4162
1970,10,3,5,109,-0.9615
1970,11,1,1,228,-0.9452
1970,11,1,2,100,-3.9754
1970,11,1,3,82,-0.0326
1970,11,1,4,97,0.7234
1970,11,1,5,171,-3.2621
1970,11,2,1,62,1.9785
1970,11,2,2,65,2.5660
1970,11,2,3,58,4.2620
1970,11,2,4,63,3.9271
1970,11,2,5,78,1.8954
1970,11,3,1,81,4.8868
1970,11,3,2,97,6.4984
1970,11,3,3,125,4.8856
1970,11,3,4,124,5.8708
1970,11,3,5,109,4.7466
1970,12,1,1,227,8.8459
1970,12,1,2,100,11.9058
1970,12,1,3,82,11.5881
1970,12,1,4,97,9.8758
1970,12,1,5,171,8.7537
1970,12,2,1,62,10.3736
1970,12,2,2,65,9.4690
1970,12,2,3,58,6.3616
1970,12,2,4,63,9.3021
1970,12,2,5,78,8.0407
1970,12,3,1,81,5.8558
1970,12,3,2,97,6.6885
1970,12,3,3,125,5.5655
1970,12,3,4,124,6.1159
1970,12,3,5,109,4.9129
1971,1,1,1,227,15.7265
1971,1,1,2,100,13.6241
1971,1,1,3,82,13.5583
1971,1,1,4,97,13.7390
1971,1,1,5,169,16.0017
1971,1,2,1,62,15.3795
1971,1,2,2,64,9.5824
1971,1,2,3,58,12.3984
1971,1,2,4,63,8.5204
1971,1,2,5,78,8.6463
1971,1,3,1,81,7.2535
1971,1,3,2,97,5.1756
1971,1,3,3,125,1.4580
1971,1,3,4,124,4.8825
1971,1,3,5,109,5.7663
1971,2,1,1,227,4.0145
1971,2,1,2,100,5.1393
1971,2,1,3,82,3.8100
1971,2,1,4,97,6.3881
1971,2,1,5,167,4.7480
1971,2,2,1,62,2.1274
1971,2,2,2,64,3.5468
1971,2,2,3,58,1.5706
1971,2,2,4,63,2.8403
1971,2,2,5,78,2.0911
1971,2,3,1,81,2.8411
1971,2,3,2,97,0.7142
1971,2,3,3,125,3.2444
1971,2,3,4,124,0.1754
1971,2,3,5,109,0.9982
1971,3,1,1,227,7.8912
1971,3,1,2,100,5.2843
1971,3,1,3,82,5.9914
1971,3,1,4,97,7.1554
1971,3,1,5,166,5.2005
1971,3,2,1,62,6.7530
1971,3,2,2,63,4.3351
1971,3,2,3,58,8.8062
1971,3,2,4,63,5.9651
1971,3,2,5,78,6.6113
1971,3,3,1,80,4.5193
1971,3,3,2,97,3.5443
1971,3,3,3,125,3.6496
1971,3,3,4,124,3.7475
1971,3,3,5,109,5.3790
1971,4,1,1,227,2.2379
1971,4,1,2,99,2.9158
1971,4,1,3,82,4.1050
1971,4,1,4,97,1.1386
1971,4,1,5,166,2.1617
1971,4,2,1,62,6.8046
1971,4,2,2,63,3.3831
1971,4,2,3,58,5.6464
1971,4,2,4,63,2.3063
1971,4,2,5,78,2.4760
1971,4,3,1,80,4.7876
1971,4,3,2,97,6.4297
1971,4,3,3,125,3.2938
1971,4,3,4,124,2.2050
1971,4,3,5,109,2.8191
1971,5,1,1,226,-5.6952
1971,5,1,2,98,-4.8642
1971,5,1,3,82,-6.0555
1971,5,1,4,97,-6.6454
1971,5,1,5,165,-7.9702
1971,5,2,1,62,-1.9436
1971,5,2,2,63,-5.1266
1971,5,2,3,58,-5.1885
1971,5,2,4,63,-5.4653
1971,5,2,5,78,-4.6502
1971,5,3,1,80,-2.7534
1971,5,3,2,97,-2.8177
1971,5,3,3,125,-3.3850
1971,5,3,4,124,-4.3211
1971,5,3,5,109,-3.5257
1971,6,1,1,226,-2.5644
1971,6,1,2,96,-1.1851
1971,6,1,3,82,-2.5569
1971,6,1,4,96,-0.9399
1971,6,1,5,165,-2.9024
1971,6,2,1,62,-1.7315
1971,6,2,2,63,-1.9497
1971,6,2,3,58,-1.4480
1971,6,2,4,63,0.9068
1971,6,2,5,77,-0.1943
1971,6,3,1,80,1.3617
1971,6,3,2,97,-0.7386
1971,6,3,3,125,0.2640
1971,6,3,4,124,0.7199
1971,6,3,5,109,1.4055
1971,7,1,1,303,-6.1333
1971,7,1,2,140,-6.9637
1971,7,1,3,96,-5.4807
1971,7,1,4,93,-5.8209
1971,7,1,5,126,-8.7320
1971,7,2,1,70,-6.4893
1971,7,2,2,83,-4.2694
1971,7,2,3,74,-3.6134
1971,7,2,4,56,-4.3181
1971,7,2,5,78,-4.5814
1971,7,3,1,53,-7.9819
1971,7,3,2,103,-5.3934
1971,7,3,3,120,-2.2594
1971,7,3,4,147,-3.6115
1971,7,3,5,144,-5.1293
1971,8,1,1,302,5.1368
1971,8,1,2,140,5.2960
1971,8,1,3,96,5.6747
1971,8,1,4,93,2.6081
1971,8,1,5,126,1.8363
1971,8,2,1,70,7.0064
1971,8,2,2,83,5.2887
1971,8,2,3,74,3.1469
1971,8,2,4,56,4.3900
1971,8,2,5,78,2.9290
1971,8,3,1,53,8.9692
1971,8,3,2,103,6.0838
1971,8,3,3,120,3.5494
1971,8,3,4,147,4.3235
1971,8,3,5,143,2.5690
1971,9,1,1,302,-1.1730
1971,9,1,2,140,-0.6922
1971,9,1,3,96,1.0805
1971,9,1,4,93,-0.2675
