year,month,rank_ME,rank_CEI,nstocks,ret_vw
1971,2,1,4,215,6.0798
1971,2,1,5,79,7.2773
1971,2,2,1,48,0.6952
1971,2,2,2,53,1.7111
1971,2,2,3,44,4.4389
1971,2,2,4,71,1.0378
1971,2,2,5,71,2.0837
1971,2,3,1,114,1.7292
1971,2,3,2,110,0.1912
1971,2,3,3,122,1.2713
1971,2,3,4,94,3.0987
1971,2,3,5,85,1.3022
1971,3,1,1,76,5.4292
1971,3,1,2,87,7.5702
1971,3,1,3,117,5.1346
1971,3,1,4,214,4.5598
1971,3,1,5,79,5.3482
1971,3,2,1,48,2.8716
1971,3,2,2,53,4.8424
1971,3,2,3,44,5.7986
1971,3,2,4,69,4.7785
1971,3,2,5,71,8.4585
1971,3,3,1,114,3.1146
1971,3,3,2,109,1.9286
1971,3,3,3,122,3.9306
1971,3,3,4,93,6.3888
1971,3,3,5,85,5.2348
1971,4,1,1,75,1.9506
1971,4,1,2,87,3.0993
1971,4,1,3,117,0.8181
1971,4,1,4,213,1.1342
1971,4,1,5,78,3.7565
1971,4,2,1,48,2.1394
1971,4,2,2,52,4.7391
1971,4,2,3,44,3.0419
1971,4,2,4,68,4.3550
1971,4,2,5,69,5.1278
1971,4,3,1,114,3.4247
1971,4,3,2,109,3.3670
1971,4,3,3,122,4.1939
1971,4,3,4,93,3.3589
1971,4,3,5,85,4.1913
1971,5,1,1,74,-4.5921
1971,5,1,2,87,-4.6662
1971,5,1,3,114,-7.1021
1971,5,1,4,213,-7.5885
1971,5,1,5,78,-8.0789
1971,5,2,1,48,-3.4383
1971,5,2,2,52,-2.4094
1971,5,2,3,44,-1.7811
1971,5,2,4,69,-5.3035
1971,5,2,5,69,-5.3200
1971,5,3,1,114,-4.2851
1971,5,3,2,109,-4.0396
1971,5,3,3,122,-1.9288
1971,5,3,4,93,-4.4015
1971,5,3,5,85,-3.5117
1971,6,1,1,74,-0.1508
1971,6,1,2,87,0.4686
1971,6,1,3,112,-3.9435
1971,6,1,4,210,-2.5923
1971,6,1,5,77,-1.7623
1971,6,2,1,48,-0.7661
1971,6,2,2,52,-1.3678
1971,6,2,3,44,-0.5141
1971,6,2,4,69,-1.8953
1971,6,2,5,69,-0.7583
1971,6,3,1,114,-1.7073
1971,6,3,2,109,1.2505
1971,6,3,3,122,1.5794
1971,6,3,4,93,-0.2747
1971,6,3,5,84,0.2494
1971,7,1,1,83,-2.8020
1971,7,1,2,93,-4.0135
1971,7,1,3,120,-6.1996
1971,7,1,4,228,-7.8117
1971,7,1,5,93,-6.7219
1971,7,2,1,67,-3.0957
1971,7,2,2,59,-3.9238
1971,7,2,3,47,-1.1551
1971,7,2,4,63,-5.0955
1971,7,2,5,67,-6.4613
1971,7,3,1,96,-2.4414
1971,7,3,2,113,-3.2952
1971,7,3,3,121,-4.7455
1971,7,3,4,106,-4.8836
1971,7,3,5,94,-6.2284
1971,8,1,1,83,4.6133
1971,8,1,2,93,3.0358
1971,8,1,3,119,4.2547
1971,8,1,4,228,4.3372
