year,month,rank_ME,rank_POA,nstocks,ret_vw
1970,12,3,3,114,6.6296
1970,12,3,4,88,6.2997
1970,12,3,5,58,6.2658
1971,1,1,1,148,15.9066
1971,1,1,2,85,16.0168
1971,1,1,3,78,13.2599
1971,1,1,4,95,13.0222
1971,1,1,5,207,16.1947
1971,1,2,1,57,14.5863
1971,1,2,2,51,11.0699
1971,1,2,3,47,8.7304
1971,1,2,4,67,8.7138
1971,1,2,5,73,12.0021
1971,1,3,1,73,8.6837
1971,1,3,2,112,1.7311
1971,1,3,3,114,4.6450
1971,1,3,4,88,5.4239
1971,1,3,5,58,8.1949
1971,2,1,1,148,3.4228
1971,2,1,2,85,3.5914
1971,2,1,3,78,6.0004
1971,2,1,4,95,5.5011
1971,2,1,5,207,5.1737
1971,2,2,1,57,2.6493
1971,2,2,2,51,0.5322
1971,2,2,3,47,4.7651
1971,2,2,4,67,3.0529
1971,2,2,5,73,2.6982
1971,2,3,1,73,-0.5981
1971,2,3,2,112,3.0763
1971,2,3,3,114,1.4920
1971,2,3,4,88,1.7649
1971,2,3,5,58,1.6611
1971,3,1,1,148,6.9388
1971,3,1,2,85,7.1500
1971,3,1,3,78,6.7575
1971,3,1,4,95,6.7743
1971,3,1,5,207,5.8811
1971,3,2,1,57,5.9647
1971,3,2,2,51,7.5264
1971,3,2,3,47,8.4814
1971,3,2,4,67,6.4849
1971,3,2,5,72,6.6292
1971,3,3,1,73,1.8467
1971,3,3,2,112,4.3098
1971,3,3,3,114,5.2751
1971,3,3,4,88,4.6083
1971,3,3,5,58,6.2031
1971,4,1,1,148,1.5328
1971,4,1,2,85,2.0664
1971,4,1,3,78,2.1225
1971,4,1,4,95,2.0443
1971,4,1,5,207,3.5289
1971,4,2,1,57,6.3609
1971,4,2,2,51,3.4804
1971,4,2,3,47,3.8236
1971,4,2,4,67,5.8153
1971,4,2,5,72,2.1515
1971,4,3,1,73,3.8579
1971,4,3,2,112,4.1697
1971,4,3,3,114,3.6309
1971,4,3,4,88,5.7271
1971,4,3,5,58,5.7756
1971,5,1,1,148,-5.9893
1971,5,1,2,85,-5.0069
1971,5,1,3,78,-6.3671
1971,5,1,4,95,-6.1029
1971,5,1,5,207,-6.8956
1971,5,2,1,57,-4.5476
1971,5,2,2,51,-4.3673
1971,5,2,3,47,-2.5474
1971,5,2,4,67,-4.3567
1971,5,2,5,73,-5.7856
1971,5,3,1,73,-3.9431
1971,5,3,2,112,-5.1007
1971,5,3,3,114,-1.6727
1971,5,3,4,88,-1.5165
1971,5,3,5,58,-3.7537
1971,6,1,1,147,-2.8631
1971,6,1,2,85,-1.1694
1971,6,1,3,78,-2.3541
1971,6,1,4,95,-1.5852
1971,6,1,5,206,-2.7803
1971,6,2,1,57,0.1545
1971,6,2,2,51,-2.7851
1971,6,2,3,47,0.4077
1971,6,2,4,66,-1.7085
1971,6,2,5,73,-1.1360
1971,6,3,1,73,0.1126
1971,6,3,2,112,-0.6949
1971,6,3,3,114,1.3562
1971,6,3,4,88,1.4493
1971,6,3,5,58,-0.7340
1971,7,1,1,210,-7.8382
1971,7,1,2,113,-5.6886
1971,7,1,3,100,-6.2357
1971,7,1,4,86,-5.3544
1971,7,1,5,203,-7.4145
1971,7,2,1,74,-5.1728
1971,7,2,2,57,-2.3875
1971,7,2,3,50,-4.1065
1971,7,2,4,57,-7.1873
1971,7,2,5,78,-4.8942
1971,7,3,1,62,-5.0093
1971,7,3,2,103,-4.7005
1971,7,3,3,113,-3.9789
1971,7,3,4,124,-3.2892
1971,7,3,5,87,-4.7318
1971,8,1,1,210,3.2433
1971,8,1,2,113,5.4009
1971,8,1,3,100,3.4533
1971,8,1,4,86,7.4440
1971,8,1,5,203,3.7158
1971,8,2,1,74,6.3239
1971,8,2,2,57,2.4783
1971,8,2,3,50,4.4071
1971,8,2,4,57,6.4961
