year,month,rank_ME,rank_NXF,nstocks,ret_vw
1976,3,3,2,115,2.9534
1976,3,3,3,138,1.6977
1976,3,3,4,130,2.5727
1976,3,3,5,125,0.6376
1976,4,1,1,328,-0.7380
1976,4,1,2,310,-0.7089
1976,4,1,3,360,-2.9045
1976,4,1,4,248,-1.7343
1976,4,1,5,312,-1.3055
1976,4,2,1,111,1.1338
1976,4,2,2,115,-1.5606
1976,4,2,3,98,-1.4450
1976,4,2,4,115,-0.2224
1976,4,2,5,140,-1.6132
1976,4,3,1,142,-2.5084
1976,4,3,2,115,-1.0593
1976,4,3,3,138,-0.6155
1976,4,3,4,130,0.4683
1976,4,3,5,125,-0.6014
1976,5,1,1,334,-2.7433
1976,5,1,2,312,-2.3322
1976,5,1,3,363,-5.0724
1976,5,1,4,249,-2.6598
1976,5,1,5,324,-2.7350
1976,5,2,1,111,-1.5679
1976,5,2,2,115,-2.1515
1976,5,2,3,97,-1.7358
1976,5,2,4,116,-2.7183
1976,5,2,5,138,-0.4209
1976,5,3,1,142,-1.0619
1976,5,3,2,115,-1.9444
1976,5,3,3,138,-1.5728
1976,5,3,4,130,-1.0105
1976,5,3,5,125,-0.0789
1976,6,1,1,334,2.7089
1976,6,1,2,312,2.5182
1976,6,1,3,362,2.5865
1976,6,1,4,248,3.1649
1976,6,1,5,324,3.8687
1976,6,2,1,111,3.5950
1976,6,2,2,115,4.1164
1976,6,2,3,96,3.3861
1976,6,2,4,116,4.5584
1976,6,2,5,139,8.3217
1976,6,3,1,142,4.2386
1976,6,3,2,115,3.7618
1976,6,3,3,138,5.2930
1976,6,3,4,130,4.0807
1976,6,3,5,124,4.1275
1976,7,1,1,447,0.4455
1976,7,1,2,385,-0.0578
1976,7,1,3,492,-0.8489
1976,7,1,4,269,-0.5583
1976,7,1,5,349,0.3327
1976,7,2,1,132,-0.0056
1976,7,2,2,119,0.5530
1976,7,2,3,112,-0.1796
1976,7,2,4,110,-0.5925
1976,7,2,5,122,0.2212
1976,7,3,1,129,-1.3824
1976,7,3,2,116,-0.5107
1976,7,3,3,110,-0.8457
1976,7,3,4,150,-0.8103
1976,7,3,5,145,-1.5429
1976,8,1,1,446,-1.0042
1976,8,1,2,384,-1.8113
1976,8,1,3,487,-2.5176
1976,8,1,4,268,-2.3973
1976,8,1,5,349,-3.2649
1976,8,2,1,131,-2.5163
1976,8,2,2,118,-2.4775
1976,8,2,3,112,-2.0484
1976,8,2,4,110,-2.2990
1976,8,2,5,122,-2.6366
1976,8,3,1,129,-0.4025
1976,8,3,2,116,-0.1857
1976,8,3,3,110,0.6465
1976,8,3,4,150,-0.5951
1976,8,3,5,145,0.8754
1976,9,1,1,401,1.7090
1976,9,1,2,336,1.7261
1976,9,1,3,433,0.8546
1976,9,1,4,247,2.3130
1976,9,1,5,322,2.7916
1976,9,2,1,124,3.3354
1976,9,2,2,115,2.9233
1976,9,2,3,111,1.7144
1976,9,2,4,109,4.7596
1976,9,2,5,120,4.4632
1976,9,3,1,129,1.4797
1976,9,3,2,116,2.9197
1976,9,3,3,109,3.6592
1976,9,3,4,150,2.2061
1976,9,3,5,144,3.8272
1976,10,1,1,439,-1.4857
1976,10,1,2,380,-2.4595
1976,10,1,3,487,-2.8114
1976,10,1,4,266,-2.3035
1976,10,1,5,347,-2.8755
1976,10,2,1,127,-0.9266
1976,10,2,2,118,-2.8849
1976,10,2,3,112,-2.9316
1976,10,2,4,110,-2.5091
1976,10,2,5,121,-3.5380
1976,10,3,1,129,-3.5719
1976,10,3,2,116,-2.7931
1976,10,3,3,110,-1.8179
1976,10,3,4,149,-0.8809
1976,10,3,5,145,-2.3640
1976,11,1,1,434,2.5599
1976,11,1,2,377,3.2025
1976,11,1,3,480,3.1800
1976,11,1,4,266,2.9852
1976,11,1,5,347,3.7848
1976,11,2,1,127,4.7165
1976,11,2,2,115,4.3569
1976,11,2,3,112,3.0118
1976,11,2,4,109,3.3412
1976,11,2,5,120,3.7382
1976,11,3,1,129,-0.6080
1976,11,3,2,116,1.0623
1976,11,3,3,109,0.9591
1976,11,3,4,149,0.6920
1976,11,3,5,145,0.3996
1976,12,1,1,437,9.9634
1976,12,1,2,381,8.7719
1976,12,1,3,485,10.0824
1976,12,1,4,265,10.2216
1976,12,1,5,345,9.7198
1976,12,2,1,127,10.3667
1976,12,2,2,118,8.7822
1976,12,2,3,112,9.6552
1976,12,2,4,110,8.6956
1976,12,2,5,120,7.7753
1976,12,3,1,129,4.8404
1976,12,3,2,116,5.9452
1976,12,3,3,110,7.1390
