year,month,rank_ME,rank_NDF,nstocks,ret_vw
1975,3,3,2,121,1.4669
1975,3,3,3,156,3.7047
1975,3,3,4,134,1.8243
1975,3,3,5,106,4.2717
1975,4,1,1,273,4.0039
1975,4,1,2,205,4.9371
1975,4,1,3,172,0.8277
1975,4,1,4,164,4.6572
1975,4,1,5,285,4.2522
1975,4,2,1,102,6.3486
1975,4,2,2,87,5.1815
1975,4,2,3,88,3.3114
1975,4,2,4,82,1.6334
1975,4,2,5,107,5.7790
1975,4,3,1,106,5.5366
1975,4,3,2,121,5.3157
1975,4,3,3,156,6.4723
1975,4,3,4,134,2.3197
1975,4,3,5,106,4.8052
1975,5,1,1,274,7.1503
1975,5,1,2,205,7.7106
1975,5,1,3,171,8.7697
1975,5,1,4,163,8.9405
1975,5,1,5,285,7.0396
1975,5,2,1,102,5.7246
1975,5,2,2,87,8.8841
1975,5,2,3,88,7.4933
1975,5,2,4,82,9.0929
1975,5,2,5,107,9.2363
1975,5,3,1,106,6.6550
1975,5,3,2,121,3.7575
1975,5,3,3,156,6.0161
1975,5,3,4,134,5.1340
1975,5,3,5,106,4.5048
1975,6,1,1,273,8.0954
1975,6,1,2,204,7.4417
1975,6,1,3,171,6.6877
1975,6,1,4,162,9.3735
1975,6,1,5,284,8.7778
1975,6,2,1,102,9.1603
1975,6,2,2,87,6.1215
1975,6,2,3,88,6.0851
1975,6,2,4,82,6.2231
1975,6,2,5,107,8.4639
1975,6,3,1,106,6.1083
1975,6,3,2,121,3.6339
1975,6,3,3,156,4.2432
1975,6,3,4,134,6.0334
1975,6,3,5,106,6.6675
1975,7,1,1,487,0.1353
1975,7,1,2,379,-0.3833
1975,7,1,3,160,-1.1940
1975,7,1,4,217,-1.4024
1975,7,1,5,330,-0.8788
1975,7,2,1,115,-3.3859
1975,7,2,2,146,-3.2543
1975,7,2,3,70,-2.7747
1975,7,2,4,104,-2.4810
1975,7,2,5,142,-5.3244
1975,7,3,1,92,-6.6893
1975,7,3,2,160,-6.8984
1975,7,3,3,131,-6.8374
1975,7,3,4,138,-5.0737
1975,7,3,5,128,-6.9538
1975,8,1,1,486,-6.4494
1975,8,1,2,379,-6.9710
1975,8,1,3,160,-6.2471
1975,8,1,4,216,-6.0516
1975,8,1,5,329,-5.8253
1975,8,2,1,115,-3.0538
1975,8,2,2,146,-4.3471
1975,8,2,3,70,-4.7388
1975,8,2,4,104,-3.4653
1975,8,2,5,142,-6.3973
1975,8,3,1,92,-1.1805
1975,8,3,2,160,-0.6604
1975,8,3,3,131,-1.7568
1975,8,3,4,138,-1.3946
1975,8,3,5,128,-2.9160
1975,9,1,1,487,-4.1403
1975,9,1,2,379,-2.4748
1975,9,1,3,160,-2.4425
1975,9,1,4,217,-3.6701
1975,9,1,5,329,-3.5309
1975,9,2,1,115,-3.5261
1975,9,2,2,145,-3.6823
1975,9,2,3,70,-2.8672
1975,9,2,4,104,-3.2790
1975,9,2,5,142,-4.8422
1975,9,3,1,92,-0.2523
1975,9,3,2,160,-4.2983
1975,9,3,3,131,-3.3676
1975,9,3,4,138,-2.7565
1975,9,3,5,128,-5.2828
1975,10,1,1,486,1.2284
1975,10,1,2,378,2.5734
1975,10,1,3,160,2.0239
1975,10,1,4,215,2.2077
1975,10,1,5,327,2.2719
1975,10,2,1,115,2.4512
1975,10,2,2,146,4.2449
1975,10,2,3,70,0.6567
1975,10,2,4,104,3.6772
1975,10,2,5,142,1.8001
1975,10,3,1,92,5.5159
1975,10,3,2,160,6.3383
1975,10,3,3,131,7.6293
1975,10,3,4,138,5.1298
1975,10,3,5,128,7.8121
1975,11,1,1,486,3.0297
1975,11,1,2,378,2.9937
1975,11,1,3,159,3.5055
1975,11,1,4,217,1.9598
1975,11,1,5,328,2.4259
1975,11,2,1,115,4.0054
1975,11,2,2,146,4.0938
1975,11,2,3,70,3.4169
1975,11,2,4,104,1.1171
1975,11,2,5,142,2.1613
1975,11,3,1,92,4.6910
1975,11,3,2,160,2.4158
1975,11,3,3,131,2.9822
1975,11,3,4,137,2.7370
1975,11,3,5,128,2.4399
1975,12,1,1,485,-0.9262
1975,12,1,2,375,-2.6243
1975,12,1,3,160,-1.2757
1975,12,1,4,217,-0.8182
1975,12,1,5,328,-1.2875
1975,12,2,1,115,-1.2594
1975,12,2,2,146,-1.5890
1975,12,2,3,70,-0.1583
1975,12,2,4,104,0.1405
1975,12,2,5,142,-2.3923
1975,12,3,1,92,-0.3353
