year,month,rank_ME,rank_dNCA,nstocks,ret_vw
1969,8,3,5,111,5.3731
1969,9,1,1,227,-3.1511
1969,9,1,2,119,-1.7683
1969,9,1,3,95,-3.8143
1969,9,1,4,76,-1.5990
1969,9,1,5,133,-4.1720
1969,9,2,1,68,0.3091
1969,9,2,2,59,-0.6633
1969,9,2,3,69,0.1565
1969,9,2,4,47,-0.7402
1969,9,2,5,83,-1.3070
1969,9,3,1,73,-0.9770
1969,9,3,2,106,-1.3968
1969,9,3,3,115,-2.6405
1969,9,3,4,129,-3.6729
1969,9,3,5,111,-3.1113
1969,10,1,1,227,9.4909
1969,10,1,2,119,8.8130
1969,10,1,3,95,9.1557
1969,10,1,4,76,13.0851
1969,10,1,5,133,12.5755
1969,10,2,1,68,7.5097
1969,10,2,2,59,5.7335
1969,10,2,3,68,7.4419
1969,10,2,4,47,7.9493
1969,10,2,5,83,9.8499
1969,10,3,1,72,5.2856
1969,10,3,2,106,4.5117
1969,10,3,3,115,6.6091
1969,10,3,4,129,3.8101
1969,10,3,5,111,5.8904
1969,11,1,1,227,-7.3808
1969,11,1,2,119,-6.6311
1969,11,1,3,95,-3.7693
1969,11,1,4,75,-7.7478
1969,11,1,5,133,-7.6942
1969,11,2,1,68,-3.9269
1969,11,2,2,59,-4.5464
1969,11,2,3,68,-3.9682
1969,11,2,4,47,-4.5335
1969,11,2,5,83,-6.1723
1969,11,3,1,73,-2.1087
1969,11,3,2,106,-2.6808
1969,11,3,3,115,-3.3464
1969,11,3,4,129,-3.3304
1969,11,3,5,111,-2.8998
1969,12,1,1,227,-10.1289
1969,12,1,2,119,-6.6283
1969,12,1,3,95,-4.6421
1969,12,1,4,76,-6.7324
1969,12,1,5,133,-7.7983
1969,12,2,1,68,-4.5148
1969,12,2,2,59,-4.7436
1969,12,2,3,68,-2.6529
1969,12,2,4,47,-3.5884
1969,12,2,5,82,-6.1560
1969,12,3,1,73,0.1394
1969,12,3,2,106,-2.1740
1969,12,3,3,115,-0.1964
1969,12,3,4,129,-1.9205
1969,12,3,5,111,-2.6216
1970,1,1,1,227,0.4287
1970,1,1,2,119,-3.1904
1970,1,1,3,95,-3.7944
1970,1,1,4,76,-5.2168
1970,1,1,5,133,-5.9795
1970,1,2,1,68,-5.9904
1970,1,2,2,59,-5.1928
1970,1,2,3,68,-3.6469
1970,1,2,4,47,-4.9883
1970,1,2,5,83,-8.1099
1970,1,3,1,73,-7.5180
1970,1,3,2,106,-7.7746
1970,1,3,3,115,-7.6408
1970,1,3,4,129,-7.2201
1970,1,3,5,111,-10.5707
1970,2,1,1,226,3.1304
1970,2,1,2,119,3.7099
1970,2,1,3,95,2.5158
1970,2,1,4,76,4.0105
1970,2,1,5,133,2.0942
1970,2,2,1,68,5.8408
1970,2,2,2,59,2.5526
1970,2,2,3,68,4.9327
1970,2,2,4,46,6.1308
1970,2,2,5,83,3.8765
1970,2,3,1,73,3.5495
1970,2,3,2,105,6.1800
1970,2,3,3,115,5.6637
1970,2,3,4,129,6.6027
1970,2,3,5,111,6.5606
1970,3,1,1,226,-0.5154
1970,3,1,2,119,-4.4998
1970,3,1,3,95,-3.3924
1970,3,1,4,76,-3.6970
1970,3,1,5,133,-5.2036
1970,3,2,1,68,-1.7071
1970,3,2,2,59,1.7256
1970,3,2,3,69,-0.7318
1970,3,2,4,47,-2.4678
1970,3,2,5,82,-4.0865
1970,3,3,1,73,-0.3632
1970,3,3,2,106,1.0671
1970,3,3,3,115,-1.9289
1970,3,3,4,129,1.1524
1970,3,3,5,111,-0.8406
1970,4,1,1,225,-17.1450
1970,4,1,2,119,-15.1600
1970,4,1,3,94,-15.9289
1970,4,1,4,76,-16.9797
1970,4,1,5,133,-22.2351
1970,4,2,1,68,-14.5332
1970,4,2,2,59,-11.1694
1970,4,2,3,69,-12.1624
1970,4,2,4,47,-15.7691
1970,4,2,5,82,-19.3585
1970,4,3,1,73,-9.9105
1970,4,3,2,106,-8.4019
1970,4,3,3,115,-9.5727
1970,4,3,4,129,-8.5982
1970,4,3,5,111,-11.8055
