year,month,rank_ME,rank_dNCO,nstocks,ret_vw
1969,2,1,4,63,-9.3487
1969,2,1,5,85,-10.4421
1969,2,2,1,65,-8.6566
1969,2,2,2,53,-6.6743
1969,2,2,3,55,-7.1464
1969,2,2,4,41,-7.4846
1969,2,2,5,63,-9.7681
1969,2,3,1,60,-5.9774
1969,2,3,2,94,-3.8486
1969,2,3,3,109,-4.1751
1969,2,3,4,127,-4.2278
1969,2,3,5,111,-5.9150
1969,3,1,1,229,3.0810
1969,3,1,2,119,1.9245
1969,3,1,3,51,3.8903
1969,3,1,4,63,0.8941
1969,3,1,5,85,2.6131
1969,3,2,1,65,3.6423
1969,3,2,2,53,1.1413
1969,3,2,3,55,3.0837
1969,3,2,4,41,2.2115
1969,3,2,5,63,2.7268
1969,3,3,1,60,2.9721
1969,3,3,2,94,3.6475
1969,3,3,3,109,3.6107
1969,3,3,4,127,3.9788
1969,3,3,5,111,1.5295
1969,4,1,1,229,-0.2431
1969,4,1,2,119,0.8979
1969,4,1,3,51,-0.4104
1969,4,1,4,63,-0.1316
1969,4,1,5,85,-2.2607
1969,4,2,1,65,2.2932
1969,4,2,2,53,0.5653
1969,4,2,3,55,3.6938
1969,4,2,4,41,2.4812
1969,4,2,5,62,-0.4817
1969,4,3,1,60,0.3400
1969,4,3,2,94,2.2899
1969,4,3,3,109,2.8288
1969,4,3,4,127,1.5310
1969,4,3,5,111,3.0897
1969,5,1,1,228,2.1061
1969,5,1,2,119,-0.9788
1969,5,1,3,51,0.1815
1969,5,1,4,62,0.4741
1969,5,1,5,85,2.3006
1969,5,2,1,65,0.5785
1969,5,2,2,52,-0.5365
1969,5,2,3,55,2.1118
1969,5,2,4,41,0.7174
1969,5,2,5,63,-1.0143
1969,5,3,1,60,-0.0267
1969,5,3,2,93,0.8283
1969,5,3,3,109,1.0035
1969,5,3,4,127,0.0259
1969,5,3,5,110,-0.7184
1969,6,1,1,228,-14.1410
1969,6,1,2,119,-13.2086
1969,6,1,3,51,-12.3447
1969,6,1,4,63,-12.7933
1969,6,1,5,85,-14.7709
1969,6,2,1,65,-10.3494
1969,6,2,2,53,-9.1864
1969,6,2,3,55,-9.6886
1969,6,2,4,41,-10.5522
1969,6,2,5,63,-11.0072
1969,6,3,1,60,-9.3456
1969,6,3,2,93,-4.9388
1969,6,3,3,108,-6.9628
1969,6,3,4,127,-2.9879
1969,6,3,5,111,-6.7137
1969,7,1,1,215,-11.2383
1969,7,1,2,102,-10.8382
1969,7,1,3,78,-10.1079
1969,7,1,4,76,-12.4828
1969,7,1,5,122,-11.3530
1969,7,2,1,58,-7.7920
1969,7,2,2,57,-7.2425
1969,7,2,3,60,-8.4105
1969,7,2,4,47,-8.8798
1969,7,2,5,78,-11.5964
1969,7,3,1,75,-5.2095
1969,7,3,2,105,-5.3937
1969,7,3,3,109,-6.9553
1969,7,3,4,125,-5.4173
1969,7,3,5,108,-6.8763
1969,8,1,1,215,3.4511
1969,8,1,2,102,3.8618
1969,8,1,3,78,3.8269
1969,8,1,4,76,3.4633
1969,8,1,5,121,4.3071
1969,8,2,1,58,7.6014
1969,8,2,2,57,4.8374
1969,8,2,3,60,2.9695
1969,8,2,4,47,4.0420
1969,8,2,5,78,9.0856
1969,8,3,1,75,5.4126
1969,8,3,2,105,5.5988
1969,8,3,3,109,4.9395
1969,8,3,4,125,3.4109
1969,8,3,5,108,5.6536
1969,9,1,1,215,-2.8262
1969,9,1,2,102,-2.8327
1969,9,1,3,78,-4.5289
1969,9,1,4,76,-2.2320
1969,9,1,5,122,-4.5326
1969,9,2,1,58,0.7105
1969,9,2,2,56,0.2944
1969,9,2,3,60,-0.9390
1969,9,2,4,47,-0.4069
1969,9,2,5,78,-1.2540
1969,9,3,1,75,-1.2414
1969,9,3,2,105,-1.3750
1969,9,3,3,109,-2.7523
1969,9,3,4,125,-3.4744
1969,9,3,5,108,-3.2996
1969,10,1,1,215,9.8230
1969,10,1,2,102,10.2722
1969,10,1,3,78,9.2175
1969,10,1,4,76,12.1112
1969,10,1,5,122,13.2548
1969,10,2,1,58,7.3670
1969,10,2,2,56,6.6708
1969,10,2,3,60,7.6617
1969,10,2,4,47,7.6065
1969,10,2,5,78,9.4427
1969,10,3,1,75,4.8794
1969,10,3,2,104,4.9583
1969,10,3,3,109,4.9013
1969,10,3,4,125,4.4314
1969,10,3,5,108,6.1659
1969,11,1,1,215,-7.1866
1969,11,1,2,102,-7.6337
1969,11,1,3,78,-4.2009
1969,11,1,4,75,-7.2467
1969,11,1,5,122,-8.0943
1969,11,2,1,58,-3.9628
1969,11,2,2,56,-4.3914
1969,11,2,3,60,-3.2788
1969,11,2,4,46,-4.0093
1969,11,2,5,78,-6.9145
1969,11,3,1,75,-2.3073
1969,11,3,2,105,-2.3980
1969,11,3,3,109,-3.5527
1969,11,3,4,125,-3.1466
1969,11,3,5,108,-3.1229
1969,12,1,1,215,-9.6937
1969,12,1,2,102,-7.3488
1969,12,1,3,78,-5.2654
1969,12,1,4,76,-6.2725
1969,12,1,5,122,-7.9188
1969,12,2,1,58,-3.7245
1969,12,2,2,56,-4.7748
1969,12,2,3,60,-1.6382
1969,12,2,4,46,-3.0023
1969,12,2,5,77,-6.8482
1969,12,3,1,75,-0.2069
1969,12,3,2,105,-1.6766
1969,12,3,3,109,-1.9144
1969,12,3,4,125,-1.2646
1969,12,3,5,108,-2.1083
1970,1,1,1,215,-0.6491
1970,1,1,2,102,-4.1263
1970,1,1,3,78,-1.3155
1970,1,1,4,76,-5.2396
1970,1,1,5,122,-6.0357
1970,1,2,1,58,-5.6566
1970,1,2,2,56,-4.6441
1970,1,2,3,60,-4.2915
1970,1,2,4,46,-2.8515
1970,1,2,5,78,-8.6885
1970,1,3,1,75,-7.3841
1970,1,3,2,105,-7.7718
1970,1,3,3,109,-8.6009
1970,1,3,4,125,-6.8338
1970,1,3,5,108,-10.3406
1970,2,1,1,215,3.4986
1970,2,1,2,102,4.7615
1970,2,1,3,78,1.7212
1970,2,1,4,76,3.9514
1970,2,1,5,122,2.0864
1970,2,2,1,58,6.3851
1970,2,2,2,56,2.9329
1970,2,2,3,60,4.8914
1970,2,2,4,45,5.3808
1970,2,2,5,78,4.3224
1970,2,3,1,75,3.4076
1970,2,3,2,104,6.5112
1970,2,3,3,109,4.9916
1970,2,3,4,125,7.1240
1970,2,3,5,108,6.1773
1970,3,1,1,215,-0.0291
1970,3,1,2,102,-5.0833
1970,3,1,3,78,-3.2944
1970,3,1,4,76,-3.8161
1970,3,1,5,122,-5.5968
1970,3,2,1,58,-1.2366
1970,3,2,2,56,1.4722
1970,3,2,3,60,0.6876
1970,3,2,4,47,-3.4388
1970,3,2,5,77,-4.4793
1970,3,3,1,75,-0.1394
1970,3,3,2,105,0.9037
1970,3,3,3,109,-1.0493
1970,3,3,4,125,0.7386
1970,3,3,5,108,-0.8517
1970,4,1,1,215,-16.4629
1970,4,1,2,102,-14.1991
1970,4,1,3,78,-15.8457
1970,4,1,4,76,-18.2370
1970,4,1,5,121,-21.6376
1970,4,2,1,58,-14.6741
1970,4,2,2,56,-11.2683
1970,4,2,3,60,-10.9225
1970,4,2,4,47,-16.4389
1970,4,2,5,78,-19.9074
1970,4,3,1,75,-9.7271
1970,4,3,2,105,-8.2310
1970,4,3,3,109,-9.9732
1970,4,3,4,125,-8.3505
1970,4,3,5,108,-12.1170
1970,5,1,1,215,-9.3585
1970,5,1,2,102,-10.4576
1970,5,1,3,77,-7.5114
1970,5,1,4,76,-12.3718
1970,5,1,5,120,-7.0364
1970,5,2,1,58,-7.3983
1970,5,2,2,56,-8.0729
1970,5,2,3,60,-9.7245
1970,5,2,4,47,-10.8670
1970,5,2,5,78,-12.7759
1970,5,3,1,75,-5.1879
1970,5,3,2,105,-5.5105
1970,5,3,3,109,-4.8864
1970,5,3,4,125,-5.2632
1970,5,3,5,108,-8.4015
1970,6,1,1,214,-6.8879
1970,6,1,2,102,-9.5987
1970,6,1,3,77,-8.5492
1970,6,1,4,76,-8.5798
1970,6,1,5,120,-10.1926
1970,6,2,1,58,-6.2628
1970,6,2,2,56,-6.0723
1970,6,2,3,60,-5.9358
1970,6,2,4,47,-6.4941
1970,6,2,5,77,-8.5781
1970,6,3,1,75,-6.2067
1970,6,3,2,105,-3.4656
1970,6,3,3,109,-6.6703
1970,6,3,4,125,-4.0258
1970,6,3,5,108,-5.9683
1970,7,1,1,230,4.6956
1970,7,1,2,100,6.5221
1970,7,1,3,83,6.9537
1970,7,1,4,97,4.6054
1970,7,1,5,173,2.8871
1970,7,2,1,62,7.0607
1970,7,2,2,65,9.0963
1970,7,2,3,58,7.9277
1970,7,2,4,63,7.7116
1970,7,2,5,78,7.0086
1970,7,3,1,81,7.5028
1970,7,3,2,97,8.6957
1970,7,3,3,125,7.7414
1970,7,3,4,124,6.5028
1970,7,3,5,110,7.3406
1970,8,1,1,229,6.3309
1970,8,1,2,100,6.1487
1970,8,1,3,83,4.2509
1970,8,1,4,97,9.0611
1970,8,1,5,172,6.9704
1970,8,2,1,62,10.0204
1970,8,2,2,65,6.1342
1970,8,2,3,58,6.4167
1970,8,2,4,63,7.8806
1970,8,2,5,78,5.4675
1970,8,3,1,81,3.2299
1970,8,3,2,97,5.6310
1970,8,3,3,125,5.4327
1970,8,3,4,124,4.5005
1970,8,3,5,110,4.9558
1970,9,1,1,227,14.9177
1970,9,1,2,100,12.2042
1970,9,1,3,82,11.9046
1970,9,1,4,97,14.8241
1970,9,1,5,172,18.4420
1970,9,2,1,62,9.8879
1970,9,2,2,65,9.3413
1970,9,2,3,58,11.6982
1970,9,2,4,63,9.5527
1970,9,2,5,78,14.2444
1970,9,3,1,81,6.7715
1970,9,3,2,97,2.0988
1970,9,3,3,125,2.4942
1970,9,3,4,124,3.5761
1970,9,3,5,109,5.9359
1970,10,1,1,228,-7.3303
1970,10,1,2,100,-6.1760
1970,10,1,3,82,-6.6239
1970,10,1,4,97,-7.9741
1970,10,1,5,172,-10.5749
1970,10,2,1,62,-5.5278
1970,10,2,2,65,-3.3665
1970,10,2,3,58,-5.2287
1970,10,2,4,63,-5.2163
1970,10,2,5,78,-5.9714
