year,month,rank_ME,rank_dWC,nstocks,ret_vw
1969,11,1,5,182,-7.8411
1969,11,2,1,48,-5.9773
1969,11,2,2,40,-5.3929
1969,11,2,3,57,-3.6629
1969,11,2,4,65,-5.0491
1969,11,2,5,88,-4.1666
1969,11,3,1,90,-3.2132
1969,11,3,2,115,-2.3781
1969,11,3,3,97,-2.7529
1969,11,3,4,85,-2.5490
1969,11,3,5,76,-3.1952
1969,12,1,1,179,-9.3716
1969,12,1,2,81,-7.9373
1969,12,1,3,79,-6.5716
1969,12,1,4,121,-5.6567
1969,12,1,5,182,-7.9384
1969,12,2,1,48,-4.4817
1969,12,2,2,40,-4.5936
1969,12,2,3,57,-4.2453
1969,12,2,4,65,-5.0091
1969,12,2,5,87,-4.6513
1969,12,3,1,90,-1.3169
1969,12,3,2,115,-1.3936
1969,12,3,3,97,-1.2754
1969,12,3,4,85,-2.5865
1969,12,3,5,76,-1.7854
1970,1,1,1,179,-1.9182
1970,1,1,2,81,-4.4906
1970,1,1,3,79,-1.9016
1970,1,1,4,121,-1.0028
1970,1,1,5,182,-5.5455
1970,1,2,1,48,-5.4507
1970,1,2,2,40,-7.2938
1970,1,2,3,57,-3.0944
1970,1,2,4,65,-6.6212
1970,1,2,5,88,-7.5733
1970,1,3,1,90,-7.5766
1970,1,3,2,115,-7.8973
1970,1,3,3,97,-8.6542
1970,1,3,4,85,-7.6139
1970,1,3,5,76,-10.6945
1970,2,1,1,179,1.5002
1970,2,1,2,81,2.7734
1970,2,1,3,78,4.4098
1970,2,1,4,121,3.5578
1970,2,1,5,182,3.4340
1970,2,2,1,48,5.0629
1970,2,2,2,40,5.7935
1970,2,2,3,57,6.0742
1970,2,2,4,65,3.1488
1970,2,2,5,87,3.9712
1970,2,3,1,90,4.9623
1970,2,3,2,115,6.6340
1970,2,3,3,97,6.1141
1970,2,3,4,85,2.7528
1970,2,3,5,75,5.2852
1970,3,1,1,179,-2.0978
1970,3,1,2,81,-1.2964
1970,3,1,3,78,-2.8436
1970,3,1,4,121,-2.9975
1970,3,1,5,182,-5.6050
1970,3,2,1,47,-3.0382
1970,3,2,2,41,-0.1875
1970,3,2,3,57,-1.1904
1970,3,2,4,65,-0.6002
1970,3,2,5,88,-4.7769
1970,3,3,1,90,-0.5138
1970,3,3,2,115,0.7655
1970,3,3,3,97,-0.6117
1970,3,3,4,85,-1.0534
1970,3,3,5,76,-1.9190
1970,4,1,1,179,-19.8919
1970,4,1,2,81,-15.4668
1970,4,1,3,76,-15.0264
1970,4,1,4,121,-15.4316
1970,4,1,5,182,-20.1203
1970,4,2,1,47,-19.2178
1970,4,2,2,41,-13.5231
1970,4,2,3,57,-11.6883
1970,4,2,4,65,-14.0839
1970,4,2,5,88,-18.9029
1970,4,3,1,90,-10.3328
1970,4,3,2,115,-7.7450
1970,4,3,3,97,-8.7869
1970,4,3,4,85,-11.9575
1970,4,3,5,76,-13.7980
1970,5,1,1,178,-10.2175
1970,5,1,2,80,-6.6270
1970,5,1,3,76,-8.2746
1970,5,1,4,121,-9.4150
1970,5,1,5,182,-9.5850
1970,5,2,1,47,-7.7029
1970,5,2,2,41,-10.0045
1970,5,2,3,57,-9.2664
1970,5,2,4,65,-11.2509
1970,5,2,5,88,-12.0519
1970,5,3,1,90,-5.9369
1970,5,3,2,115,-3.9122
1970,5,3,3,97,-6.4001
1970,5,3,4,85,-7.4654
1970,5,3,5,76,-10.2080
1970,6,1,1,176,-8.1715
1970,6,1,2,80,-6.4572
1970,6,1,3,75,-8.3423
1970,6,1,4,121,-8.4719
1970,6,1,5,182,-10.7938
1970,6,2,1,46,-5.1021
1970,6,2,2,41,-8.4852
1970,6,2,3,55,-6.5866
1970,6,2,4,65,-5.3101
1970,6,2,5,88,-9.3795
1970,6,3,1,90,-5.6461
1970,6,3,2,115,-4.2972
1970,6,3,3,97,-3.2257
1970,6,3,4,85,-8.3913
1970,6,3,5,76,-6.4634
1970,7,1,1,204,3.7686
1970,7,1,2,101,6.2410
1970,7,1,3,98,7.1721
1970,7,1,4,100,4.0256
1970,7,1,5,227,4.1830
1970,7,2,1,68,6.9538
1970,7,2,2,51,9.6940
1970,7,2,3,64,8.2270
1970,7,2,4,80,7.5666
1970,7,2,5,67,6.8961
1970,7,3,1,86,10.0064
1970,7,3,2,110,7.7287
1970,7,3,3,95,9.6535
1970,7,3,4,82,4.2288
1970,7,3,5,90,2.3148
1970,8,1,1,202,7.4132
1970,8,1,2,101,8.3160
1970,8,1,3,98,5.6024
1970,8,1,4,100,5.5265
1970,8,1,5,227,5.8358
1970,8,2,1,68,8.0812
1970,8,2,2,51,5.2736
1970,8,2,3,64,7.2858
1970,8,2,4,80,6.1126
1970,8,2,5,66,8.0612
1970,8,3,1,86,3.9292
1970,8,3,2,110,5.2383
1970,8,3,3,95,4.1210
1970,8,3,4,82,5.3690
1970,8,3,5,90,7.1479
1970,9,1,1,201,15.5918
1970,9,1,2,101,10.2828
1970,9,1,3,97,12.9416
1970,9,1,4,99,15.8087
1970,9,1,5,227,18.1262
1970,9,2,1,67,11.9571
1970,9,2,2,51,10.5698
1970,9,2,3,64,10.5238
1970,9,2,4,80,10.6774
1970,9,2,5,66,14.6510
1970,9,3,1,86,2.1670
1970,9,3,2,110,2.0445
1970,9,3,3,95,3.2071
1970,9,3,4,82,7.1558
1970,9,3,5,89,9.6680
1970,10,1,1,200,-6.6083
1970,10,1,2,101,-5.4682
1970,10,1,3,97,-7.2485
1970,10,1,4,100,-8.1809
1970,10,1,5,227,-10.2190
1970,10,2,1,67,-4.8787
1970,10,2,2,50,-5.4033
1970,10,2,3,64,-5.9892
1970,10,2,4,80,-6.2170
1970,10,2,5,66,-5.3402
1970,10,3,1,86,-0.5694
1970,10,3,2,110,-0.4832
1970,10,3,3,95,-1.6609
1970,10,3,4,82,-0.5667
1970,10,3,5,89,-2.8220
1970,11,1,1,199,-0.0685
1970,11,1,2,101,-1.0050
1970,11,1,3,95,-2.8480
1970,11,1,4,100,0.2031
1970,11,1,5,227,-2.6317
1970,11,2,1,67,2.2574
1970,11,2,2,50,4.6741
1970,11,2,3,63,2.1340
1970,11,2,4,80,3.5888
1970,11,2,5,66,0.4810
1970,11,3,1,86,5.1437
1970,11,3,2,110,6.0012
1970,11,3,3,95,5.0651
1970,11,3,4,82,4.3646
1970,11,3,5,89,4.0325
1970,12,1,1,198,8.1272
1970,12,1,2,100,9.9173
1970,12,1,3,95,10.1344
1970,12,1,4,100,10.7796
1970,12,1,5,226,10.1688
1970,12,2,1,67,6.9364
1970,12,2,2,50,7.5234
1970,12,2,3,63,11.9185
1970,12,2,4,80,9.4300
1970,12,2,5,66,8.0821
1970,12,3,1,85,5.0654
1970,12,3,2,110,5.9179
1970,12,3,3,95,6.9699
1970,12,3,4,82,5.7002
1970,12,3,5,89,5.0554
1971,1,1,1,196,15.3160
1971,1,1,2,100,14.4210
1971,1,1,3,95,15.2173
1971,1,1,4,99,12.9304
1971,1,1,5,226,15.3594
1971,1,2,1,66,15.3629
1971,1,2,2,49,9.3020
1971,1,2,3,63,8.8637
1971,1,2,4,80,10.2230
1971,1,2,5,66,11.1991
1971,1,3,1,85,5.8000
1971,1,3,2,110,1.7910
1971,1,3,3,95,5.6559
1971,1,3,4,82,4.0841
1971,1,3,5,89,7.8525
1971,2,1,1,195,4.2571
1971,2,1,2,98,6.3273
1971,2,1,3,95,4.4631
1971,2,1,4,99,4.4840
1971,2,1,5,225,5.0351
1971,2,2,1,66,2.3225
1971,2,2,2,49,2.3587
1971,2,2,3,63,3.0866
1971,2,2,4,79,3.2255
1971,2,2,5,66,2.2203
1971,2,3,1,85,1.5059
1971,2,3,2,110,1.7054
1971,2,3,3,95,1.1686
1971,2,3,4,82,3.3659
1971,2,3,5,88,1.6929
1971,3,1,1,195,9.1962
1971,3,1,2,98,3.9286
1971,3,1,3,95,4.7532
1971,3,1,4,99,9.2230
1971,3,1,5,224,5.2947
1971,3,2,1,66,7.0088
1971,3,2,2,49,5.5092
1971,3,2,3,63,5.7846
1971,3,2,4,79,6.4980
1971,3,2,5,66,8.1663
1971,3,3,1,84,3.0859
1971,3,3,2,110,3.2962
1971,3,3,3,95,4.0829
1971,3,3,4,81,5.4073
1971,3,3,5,88,6.2535
1971,4,1,1,193,1.7456
1971,4,1,2,98,0.0982
1971,4,1,3,95,3.3959
1971,4,1,4,99,2.7177
1971,4,1,5,224,3.2313
1971,4,2,1,65,5.0637
1971,4,2,2,49,5.3745
1971,4,2,3,62,4.8252
1971,4,2,4,79,5.4071
1971,4,2,5,65,2.0684
1971,4,3,1,84,3.2186
1971,4,3,2,110,5.0632
1971,4,3,3,95,4.7899
1971,4,3,4,81,3.3672
1971,4,3,5,88,5.2607
1971,5,1,1,191,-5.9808
1971,5,1,2,95,-6.2260
1971,5,1,3,95,-5.9410
1971,5,1,4,99,-6.8079
1971,5,1,5,224,-7.2257
1971,5,2,1,65,-4.0007
1971,5,2,2,49,-3.7155
1971,5,2,3,62,-4.0531
1971,5,2,4,78,-4.9676
1971,5,2,5,66,-5.1421
1971,5,3,1,84,-4.0815
1971,5,3,2,110,-3.5893
1971,5,3,3,95,-2.2490
1971,5,3,4,81,-5.0092
1971,5,3,5,88,-2.3410
1971,6,1,1,190,-2.8615
1971,6,1,2,93,-2.4516
1971,6,1,3,94,-0.6824
1971,6,1,4,98,-3.6369
1971,6,1,5,223,-2.1343
1971,6,2,1,65,-1.9227
1971,6,2,2,49,-0.9396
1971,6,2,3,62,0.7883
1971,6,2,4,77,-2.8520
1971,6,2,5,66,0.2566
1971,6,3,1,84,-0.1706
1971,6,3,2,109,-0.4563
1971,6,3,3,95,-0.3479
1971,6,3,4,81,0.1359
1971,6,3,5,88,2.4336
1971,7,1,1,237,-7.3957
1971,7,1,2,121,-5.5865
1971,7,1,3,106,-6.1350
1971,7,1,4,128,-6.7107
1971,7,1,5,189,-7.1076
1971,7,2,1,73,-4.9432
1971,7,2,2,66,-3.7553
1971,7,2,3,62,-5.5958
1971,7,2,4,59,-5.5860
1971,7,2,5,80,-5.5244
1971,7,3,1,72,-4.8596
1971,7,3,2,94,-5.0653
1971,7,3,3,110,-3.1034
1971,7,3,4,112,-4.6559
1971,7,3,5,109,-4.4523
1971,8,1,1,236,3.3026
1971,8,1,2,121,7.0359
1971,8,1,3,106,3.8900
1971,8,1,4,128,4.6558
1971,8,1,5,189,3.8120
1971,8,2,1,73,5.1412
1971,8,2,2,66,3.9788
1971,8,2,3,62,6.3713
1971,8,2,4,59,5.2948
1971,8,2,5,80,4.7972
1971,8,3,1,71,3.3898
1971,8,3,2,94,2.6067
1971,8,3,3,110,5.3358
1971,8,3,4,112,6.6526
1971,8,3,5,108,4.9582
1971,9,1,1,236,-1.7945
1971,9,1,2,121,0.7068
1971,9,1,3,106,1.0192
