year,month,rank_ME,rank_IVG,nstocks,ret_vw
1970,1,2,3,52,-1.9689
1970,1,2,4,56,-7.0707
1970,1,2,5,81,-8.2092
1970,1,3,1,79,-6.9028
1970,1,3,2,102,-8.4148
1970,1,3,3,92,-9.3381
1970,1,3,4,100,-6.3187
1970,1,3,5,82,-9.1152
1970,2,1,1,190,2.6117
1970,2,1,2,70,2.4104
1970,2,1,3,92,4.7665
1970,2,1,4,115,2.7584
1970,2,1,5,152,1.8727
1970,2,2,1,59,6.5495
1970,2,2,2,40,2.9782
1970,2,2,3,52,3.7418
1970,2,2,4,56,3.3730
1970,2,2,5,80,5.2012
1970,2,3,1,79,6.7456
1970,2,3,2,102,4.5238
1970,2,3,3,92,5.7119
1970,2,3,4,99,7.8455
1970,2,3,5,82,4.1914
1970,3,1,1,190,-2.2311
1970,3,1,2,70,-1.0491
1970,3,1,3,92,-3.0991
1970,3,1,4,115,-5.4682
1970,3,1,5,152,-3.7021
1970,3,2,1,60,-1.1567
1970,3,2,2,40,0.8676
1970,3,2,3,52,-0.7781
1970,3,2,4,55,-2.8943
1970,3,2,5,81,-4.4317
1970,3,3,1,79,-0.7438
1970,3,3,2,102,1.0241
1970,3,3,3,92,-2.4382
1970,3,3,4,100,-0.1405
1970,3,3,5,82,-0.7170
1970,4,1,1,189,-18.3362
1970,4,1,2,69,-15.0978
1970,4,1,3,92,-15.4071
1970,4,1,4,115,-17.2725
1970,4,1,5,152,-19.6960
1970,4,2,1,60,-15.1542
1970,4,2,2,40,-11.3391
1970,4,2,3,52,-12.4272
1970,4,2,4,56,-15.6870
1970,4,2,5,80,-19.0150
1970,4,3,1,79,-9.1947
1970,4,3,2,102,-8.9851
1970,4,3,3,92,-8.3376
1970,4,3,4,100,-9.7809
1970,4,3,5,82,-12.2594
1970,5,1,1,188,-9.1644
1970,5,1,2,69,-9.4968
1970,5,1,3,92,-10.4021
1970,5,1,4,114,-8.5345
1970,5,1,5,152,-8.9989
1970,5,2,1,60,-8.2064
1970,5,2,2,40,-10.2950
1970,5,2,3,52,-9.6978
1970,5,2,4,56,-11.1902
1970,5,2,5,80,-12.3941
1970,5,3,1,79,-8.6961
1970,5,3,2,102,-4.3274
1970,5,3,3,92,-5.1163
1970,5,3,4,100,-6.5715
1970,5,3,5,82,-7.0274
1970,6,1,1,186,-6.4858
1970,6,1,2,69,-7.3458
1970,6,1,3,92,-9.7746
1970,6,1,4,113,-9.1102
1970,6,1,5,152,-11.2157
1970,6,2,1,60,-5.8350
1970,6,2,2,39,-5.8917
1970,6,2,3,52,-5.2404
1970,6,2,4,56,-9.4783
1970,6,2,5,78,-8.2933
1970,6,3,1,79,-3.5987
1970,6,3,2,102,-5.1071
1970,6,3,3,92,-2.3405
1970,6,3,4,100,-6.1971
1970,6,3,5,82,-7.7649
1970,7,1,1,219,5.2354
1970,7,1,2,93,7.0033
1970,7,1,3,84,5.6896
1970,7,1,4,113,2.9329
1970,7,1,5,202,3.7938
1970,7,2,1,61,6.7916
1970,7,2,2,55,7.5538
1970,7,2,3,62,8.3967
1970,7,2,4,62,8.7497
1970,7,2,5,74,8.0016
1970,7,3,1,73,8.1135
1970,7,3,2,99,8.0259
1970,7,3,3,99,9.0789
1970,7,3,4,89,4.6872
1970,7,3,5,97,6.5614
1970,8,1,1,219,7.1904
1970,8,1,2,93,4.4422
1970,8,1,3,84,6.7208
1970,8,1,4,113,8.4453
1970,8,1,5,200,5.8094
1970,8,2,1,61,8.3173
1970,8,2,2,55,5.8766
1970,8,2,3,62,7.5271
1970,8,2,4,62,5.4514
1970,8,2,5,73,6.7484
1970,8,3,1,73,5.0287
1970,8,3,2,99,3.9486
1970,8,3,3,99,6.6091
1970,8,3,4,89,4.7878
1970,8,3,5,97,4.3700
1970,9,1,1,218,14.9985
1970,9,1,2,93,11.9866
1970,9,1,3,84,14.2623
1970,9,1,4,111,14.4328
1970,9,1,5,200,17.7658
1970,9,2,1,61,12.1401
1970,9,2,2,55,11.6934
1970,9,2,3,62,9.0728
1970,9,2,4,61,9.8740
1970,9,2,5,73,14.1829
1970,9,3,1,73,3.4692
1970,9,3,2,99,2.9514
1970,9,3,3,99,2.4793
1970,9,3,4,89,6.5317
1970,9,3,5,96,4.8488
1970,10,1,1,217,-5.2793
1970,10,1,2,93,-7.0430
1970,10,1,3,84,-8.6265
1970,10,1,4,112,-9.4780
1970,10,1,5,200,-9.7151
1970,10,2,1,61,-5.3319
1970,10,2,2,55,-6.5498
1970,10,2,3,62,-3.3150
1970,10,2,4,61,-8.1141
1970,10,2,5,73,-4.6707
1970,10,3,1,73,1.3385
1970,10,3,2,99,-0.8152
1970,10,3,3,99,-1.9003
1970,10,3,4,89,-0.5353
1970,10,3,5,96,-2.5918
1970,11,1,1,216,0.4537
1970,11,1,2,92,-2.4647
1970,11,1,3,84,-2.9616
1970,11,1,4,111,-1.0546
1970,11,1,5,200,-2.3227
1970,11,2,1,61,3.3385
1970,11,2,2,55,4.4709
1970,11,2,3,61,2.8409
1970,11,2,4,61,4.0209
1970,11,2,5,73,0.4434
1970,11,3,1,73,5.2310
1970,11,3,2,99,5.4670
1970,11,3,3,99,5.6326
1970,11,3,4,89,4.4171
1970,11,3,5,96,4.8743
1970,12,1,1,215,6.9470
1970,12,1,2,91,12.2334
1970,12,1,3,83,12.9770
1970,12,1,4,111,11.6744
1970,12,1,5,200,9.2691
1970,12,2,1,61,8.6130
1970,12,2,2,55,9.2670
1970,12,2,3,61,8.5366
1970,12,2,4,61,10.6275
1970,12,2,5,73,7.8190
1970,12,3,1,73,3.7051
1970,12,3,2,99,6.6524
1970,12,3,3,99,6.6112
1970,12,3,4,88,5.3427
1970,12,3,5,96,5.8450
1971,1,1,1,214,15.6997
1971,1,1,2,91,13.8089
1971,1,1,3,83,12.8086
1971,1,1,4,110,14.9232
1971,1,1,5,200,15.4730
1971,1,2,1,60,13.0966
1971,1,2,2,55,9.1658
1971,1,2,3,61,12.1851
1971,1,2,4,61,9.1241
1971,1,2,5,72,11.0449
1971,1,3,1,73,1.2466
1971,1,3,2,99,4.2739
1971,1,3,3,99,3.3122
1971,1,3,4,88,4.9585
1971,1,3,5,96,7.9596
1971,2,1,1,214,4.1035
1971,2,1,2,90,2.8375
1971,2,1,3,81,4.1280
1971,2,1,4,110,5.8771
1971,2,1,5,199,6.1335
1971,2,2,1,60,3.1385
1971,2,2,2,54,2.4953
1971,2,2,3,61,3.7841
1971,2,2,4,61,2.6819
1971,2,2,5,72,1.8988
1971,2,3,1,73,5.6007
1971,2,3,2,99,2.1674
1971,2,3,3,99,1.1064
1971,2,3,4,88,2.7260
1971,2,3,5,95,-1.2964
1971,3,1,1,214,7.8762
1971,3,1,2,90,5.4868
1971,3,1,3,81,6.8117
1971,3,1,4,109,5.5228
1971,3,1,5,199,5.8404
1971,3,2,1,60,8.2161
1971,3,2,2,54,7.4101
1971,3,2,3,61,2.1192
1971,3,2,4,61,6.5077
1971,3,2,5,72,8.4369
1971,3,3,1,72,3.5130
1971,3,3,2,99,3.9401
1971,3,3,3,99,3.2504
1971,3,3,4,87,5.1411
1971,3,3,5,95,4.2883
1971,4,1,1,213,2.1289
1971,4,1,2,90,3.4412
1971,4,1,3,80,3.5711
1971,4,1,4,109,4.3529
1971,4,1,5,199,0.8398
1971,4,2,1,60,3.9066
1971,4,2,2,54,6.3331
1971,4,2,3,59,9.0634
1971,4,2,4,61,2.8188
1971,4,2,5,72,2.6918
1971,4,3,1,72,3.8998
1971,4,3,2,99,4.9991
1971,4,3,3,99,5.2964
1971,4,3,4,87,3.5176
1971,4,3,5,95,3.8585
1971,5,1,1,208,-5.5011
1971,5,1,2,90,-6.2491
1971,5,1,3,80,-6.0716
1971,5,1,4,109,-5.9280
1971,5,1,5,199,-8.0088
1971,5,2,1,60,-4.3310
1971,5,2,2,54,-4.0272
1971,5,2,3,60,-4.4006
1971,5,2,4,60,-5.2667
1971,5,2,5,72,-4.3121
1971,5,3,1,72,-3.5946
1971,5,3,2,99,-1.7236
1971,5,3,3,99,-4.0328
1971,5,3,4,87,-4.7217
1971,5,3,5,95,-3.7428
1971,6,1,1,206,-2.5259
1971,6,1,2,90,-0.4190
1971,6,1,3,80,-3.2630
1971,6,1,4,109,-2.9362
1971,6,1,5,195,-2.4930
1971,6,2,1,60,-0.4396
1971,6,2,2,54,-1.7321
1971,6,2,3,60,0.0826
1971,6,2,4,60,-2.3219
1971,6,2,5,72,-0.3124
1971,6,3,1,72,-0.5686
1971,6,3,2,98,-0.5819
1971,6,3,3,99,-0.3873
1971,6,3,4,87,-0.2953
1971,6,3,5,95,2.2865
1971,7,1,1,258,-6.0720
1971,7,1,2,132,-6.8090
1971,7,1,3,101,-5.1216
1971,7,1,4,123,-6.7573
1971,7,1,5,143,-8.4821
1971,7,2,1,77,-5.3970
1971,7,2,2,54,-4.3244
1971,7,2,3,60,-4.8770
1971,7,2,4,59,-5.3837
1971,7,2,5,79,-5.2724
1971,7,3,1,54,-7.0082
1971,7,3,2,99,-5.6324
1971,7,3,3,112,-3.2438
1971,7,3,4,116,-3.1443
1971,7,3,5,109,-5.0431
1971,8,1,1,257,4.2669
1971,8,1,2,132,4.6682
1971,8,1,3,101,5.5053
1971,8,1,4,123,4.9406
1971,8,1,5,143,2.9661
1971,8,2,1,77,5.2139
1971,8,2,2,54,7.2633
1971,8,2,3,60,2.9339
1971,8,2,4,59,6.9025
1971,8,2,5,79,3.8841
1971,8,3,1,54,5.9799
1971,8,3,2,98,5.1369
1971,8,3,3,112,6.1240
1971,8,3,4,116,3.0603
1971,8,3,5,108,3.8979
1971,9,1,1,257,-0.4137
1971,9,1,2,132,-0.4830
1971,9,1,3,101,1.5800
