year,month,rank_ME,rank_dLTI,nstocks,ret_vw
1969,3,3,2,69,3.6518
1969,3,3,3,43,2.1042
1969,3,3,4,53,5.0419
1969,3,3,5,55,2.3632
1969,4,1,1,66,-0.7968
1969,4,1,2,78,1.0585
1969,4,1,3,3,-5.8392
1969,4,1,4,38,-0.0604
1969,4,1,5,69,0.5657
1969,4,2,1,31,3.3071
1969,4,2,2,54,3.4783
1969,4,2,3,7,3.7445
1969,4,2,4,26,0.0882
1969,4,2,5,31,1.1641
1969,4,3,1,50,1.7446
1969,4,3,2,69,0.6240
1969,4,3,3,43,3.7597
1969,4,3,4,53,1.6143
1969,4,3,5,55,2.4849
1969,5,1,1,65,1.3112
1969,5,1,2,78,-0.5716
1969,5,1,3,3,2.0194
1969,5,1,4,38,1.1944
1969,5,1,5,68,2.1471
1969,5,2,1,30,0.5493
1969,5,2,2,54,1.3619
1969,5,2,3,7,0.3920
1969,5,2,4,26,-1.5348
1969,5,2,5,31,1.0756
1969,5,3,1,49,-0.4808
1969,5,3,2,69,1.7309
1969,5,3,3,43,0.1733
1969,5,3,4,53,1.6659
1969,5,3,5,55,-0.9257
1969,6,1,1,66,-13.0168
1969,6,1,2,78,-13.8863
1969,6,1,3,3,-13.9100
1969,6,1,4,38,-13.1147
1969,6,1,5,68,-13.7612
1969,6,2,1,31,-8.8540
1969,6,2,2,54,-9.8337
1969,6,2,3,7,-13.3289
1969,6,2,4,26,-10.0488
1969,6,2,5,31,-14.7074
1969,6,3,1,49,-7.1492
1969,6,3,2,69,-6.7099
1969,6,3,3,43,-5.7341
1969,6,3,4,52,-7.3452
1969,6,3,5,55,-8.6028
1969,7,1,1,78,-12.3037
1969,7,1,2,73,-11.8485
1969,7,1,3,17,-9.1621
1969,7,1,4,57,-9.1384
1969,7,1,5,58,-11.4752
1969,7,2,1,31,-7.6845
1969,7,2,2,35,-9.1767
1969,7,2,3,19,-9.4575
1969,7,2,4,29,-10.7585
1969,7,2,5,42,-11.4244
1969,7,3,1,52,-7.3280
1969,7,3,2,72,-6.3387
1969,7,3,3,54,-6.3654
1969,7,3,4,56,-6.3814
1969,7,3,5,55,-5.4492
1969,8,1,1,77,3.7141
1969,8,1,2,73,6.0426
1969,8,1,3,17,3.6280
1969,8,1,4,57,2.3188
1969,8,1,5,58,1.9154
1969,8,2,1,31,4.4066
1969,8,2,2,35,6.7641
1969,8,2,3,19,7.1484
1969,8,2,4,29,8.2496
1969,8,2,5,42,9.9716
1969,8,3,1,52,3.7432
1969,8,3,2,72,3.8044
1969,8,3,3,54,3.3444
1969,8,3,4,56,6.2379
1969,8,3,5,55,5.7231
1969,9,1,1,78,-1.4154
1969,9,1,2,73,-3.9045
1969,9,1,3,17,-3.4382
1969,9,1,4,57,-4.4709
1969,9,1,5,58,-1.4718
1969,9,2,1,31,-1.0862
