year,month,rank_ME,rank_dBE,nstocks,ret_vw
1970,3,2,1,51,1.2711
1970,3,2,2,38,0.3542
1970,3,2,3,54,0.9908
1970,3,2,4,61,-1.3868
1970,3,2,5,82,-5.3924
1970,3,3,1,83,1.6148
1970,3,3,2,112,2.1194
1970,3,3,3,105,2.1644
1970,3,3,4,103,-2.7975
1970,3,3,5,111,-1.7321
1970,4,1,1,108,-16.1290
1970,4,1,2,87,-11.7661
1970,4,1,3,69,-16.2145
1970,4,1,4,108,-17.7617
1970,4,1,5,148,-20.7675
1970,4,2,1,51,-12.0929
1970,4,2,2,38,-10.9854
1970,4,2,3,54,-11.6082
1970,4,2,4,61,-14.4669
1970,4,2,5,82,-19.9584
1970,4,3,1,83,-8.2159
1970,4,3,2,112,-8.1354
1970,4,3,3,105,-8.1430
1970,4,3,4,103,-9.1639
1970,4,3,5,111,-12.1103
1970,5,1,1,107,-10.9956
1970,5,1,2,87,-8.3572
1970,5,1,3,69,-9.5439
1970,5,1,4,108,-8.6861
1970,5,1,5,148,-9.4460
1970,5,2,1,51,-8.7769
1970,5,2,2,38,-8.0124
1970,5,2,3,54,-9.4448
1970,5,2,4,61,-10.1368
1970,5,2,5,82,-11.6892
1970,5,3,1,83,-4.4102
1970,5,3,2,112,-4.0239
1970,5,3,3,105,-3.5625
1970,5,3,4,103,-7.3990
1970,5,3,5,111,-8.1055
1970,6,1,1,107,-8.4843
1970,6,1,2,87,-7.9874
1970,6,1,3,69,-8.1012
1970,6,1,4,108,-7.8114
1970,6,1,5,148,-9.8641
1970,6,2,1,51,-5.5524
1970,6,2,2,38,-6.0108
1970,6,2,3,54,-5.6121
1970,6,2,4,61,-6.7685
1970,6,2,5,81,-8.2909
1970,6,3,1,83,-6.3707
1970,6,3,2,112,-4.8052
1970,6,3,3,105,-2.5519
1970,6,3,4,103,-4.5733
1970,6,3,5,111,-7.5287
1970,7,1,1,157,3.3940
1970,7,1,2,66,2.7109
1970,7,1,3,97,6.6068
1970,7,1,4,109,6.5132
1970,7,1,5,188,4.9183
1970,7,2,1,54,7.0432
1970,7,2,2,60,7.0053
1970,7,2,3,50,7.3720
1970,7,2,4,61,9.1536
1970,7,2,5,86,9.1573
1970,7,3,1,83,10.4449
1970,7,3,2,108,9.7929
1970,7,3,3,114,8.6942
1970,7,3,4,109,5.6299
1970,7,3,5,115,3.9811
1970,8,1,1,157,6.2123
1970,8,1,2,66,5.5661
1970,8,1,3,97,6.9697
1970,8,1,4,109,5.4074
1970,8,1,5,188,7.4583
1970,8,2,1,54,8.1586
1970,8,2,2,60,5.3451
1970,8,2,3,50,6.4910
1970,8,2,4,61,6.9993
1970,8,2,5,86,8.4250
1970,8,3,1,83,6.1349
1970,8,3,2,108,3.7795
1970,8,3,3,114,6.0265
1970,8,3,4,109,3.2488
1970,8,3,5,115,5.5723
1970,9,1,1,157,12.1472
1970,9,1,2,65,12.0581
1970,9,1,3,97,11.2859
1970,9,1,4,109,17.0515
1970,9,1,5,188,18.8015
1970,9,2,1,54,9.7426
1970,9,2,2,60,7.4392
1970,9,2,3,50,10.2969
1970,9,2,4,61,11.5582
1970,9,2,5,86,15.2897
1970,9,3,1,83,2.2839
1970,9,3,2,108,0.7939
1970,9,3,3,114,1.8274
1970,9,3,4,108,4.5973
1970,9,3,5,115,8.4474
1970,10,1,1,157,-6.4644
1970,10,1,2,66,-7.3930
1970,10,1,3,97,-6.1961
1970,10,1,4,109,-7.3623
1970,10,1,5,188,-10.2185
1970,10,2,1,54,-5.5925
1970,10,2,2,60,-4.3041
1970,10,2,3,50,-5.5979
1970,10,2,4,61,-3.7689
1970,10,2,5,86,-5.3070
1970,10,3,1,83,-0.8205
1970,10,3,2,108,-3.2505
1970,10,3,3,114,-0.4300
1970,10,3,4,108,-0.2914
1970,10,3,5,115,-0.4902
1970,11,1,1,157,-2.6944
1970,11,1,2,66,-0.6399
1970,11,1,3,97,-0.8715
1970,11,1,4,109,-1.2812
1970,11,1,5,188,-1.4044
1970,11,2,1,54,2.4414
1970,11,2,2,60,4.6188
1970,11,2,3,50,2.7843
1970,11,2,4,61,3.5415
1970,11,2,5,86,1.3799
1970,11,3,1,83,6.4993
1970,11,3,2,108,5.6156
1970,11,3,3,114,6.6174
1970,11,3,4,108,5.0456
1970,11,3,5,115,4.1232
1970,12,1,1,156,9.0173
1970,12,1,2,66,10.0275
1970,12,1,3,97,10.2040
1970,12,1,4,109,12.9202
1970,12,1,5,188,8.6353
1970,12,2,1,54,8.4541
1970,12,2,2,60,8.3901
1970,12,2,3,50,11.0859
1970,12,2,4,61,7.8267
1970,12,2,5,86,7.5228
1970,12,3,1,83,5.9424
1970,12,3,2,108,7.7959
1970,12,3,3,114,5.7119
1970,12,3,4,108,6.1185
1970,12,3,5,115,4.5553
1971,1,1,1,156,18.2083
1971,1,1,2,66,15.5082
1971,1,1,3,97,13.9557
1971,1,1,4,108,12.1869
1971,1,1,5,188,14.7128
1971,1,2,1,54,13.3472
1971,1,2,2,60,8.8834
1971,1,2,3,50,10.7254
1971,1,2,4,61,11.3126
1971,1,2,5,86,9.8917
1971,1,3,1,83,3.1019
1971,1,3,2,108,6.4885
1971,1,3,3,114,2.9118
1971,1,3,4,108,3.9315
1971,1,3,5,115,5.3036
1971,2,1,1,156,3.1122
1971,2,1,2,66,3.8897
1971,2,1,3,97,5.1936
1971,2,1,4,108,4.5113
1971,2,1,5,188,5.7783
1971,2,2,1,54,0.4361
1971,2,2,2,60,3.0894
1971,2,2,3,50,2.2008
1971,2,2,4,61,2.9703
1971,2,2,5,86,3.0375
1971,2,3,1,83,2.7764
1971,2,3,2,108,-1.3751
1971,2,3,3,114,0.8373
1971,2,3,4,108,2.6880
1971,2,3,5,115,2.5867
1971,3,1,1,156,6.1276
1971,3,1,2,66,5.1924
1971,3,1,3,97,10.4543
1971,3,1,4,108,8.2807
1971,3,1,5,188,3.8943
1971,3,2,1,54,6.8351
1971,3,2,2,60,2.0565
1971,3,2,3,50,6.9094
1971,3,2,4,61,5.7436
1971,3,2,5,86,9.2255
1971,3,3,1,83,3.6630
1971,3,3,2,108,1.7086
1971,3,3,3,114,3.5624
1971,3,3,4,108,4.0972
1971,3,3,5,115,6.9644
1971,4,1,1,156,1.8905
1971,4,1,2,66,3.9669
1971,4,1,3,97,0.7675
1971,4,1,4,108,2.9803
1971,4,1,5,188,2.3865
1971,4,2,1,54,5.7492
1971,4,2,2,60,2.6423
1971,4,2,3,49,6.6860
1971,4,2,4,61,3.8139
1971,4,2,5,86,2.2817
1971,4,3,1,83,2.8037
1971,4,3,2,108,2.2227
1971,4,3,3,114,5.0891
1971,4,3,4,108,3.8860
1971,4,3,5,115,3.4098
1971,5,1,1,156,-5.0544
1971,5,1,2,66,-5.3266
1971,5,1,3,97,-5.9379
1971,5,1,4,108,-7.2420
1971,5,1,5,188,-7.2234
1971,5,2,1,54,-4.9149
1971,5,2,2,60,-4.4516
1971,5,2,3,50,-4.1571
1971,5,2,4,61,-5.8078
1971,5,2,5,86,-3.4910
1971,5,3,1,83,-3.3318
1971,5,3,2,108,-4.4561
1971,5,3,3,114,-3.2379
1971,5,3,4,108,-2.9619
1971,5,3,5,115,-3.8512
1971,6,1,1,156,-2.7467
1971,6,1,2,66,0.0600
1971,6,1,3,97,-2.3194
1971,6,1,4,108,-3.7989
1971,6,1,5,188,-1.4430
1971,6,2,1,54,-0.8904
1971,6,2,2,60,-1.1218
1971,6,2,3,50,0.4745
1971,6,2,4,60,-1.5362
1971,6,2,5,86,-1.0958
1971,6,3,1,83,-0.0330
1971,6,3,2,108,1.0800
1971,6,3,3,114,0.0446
1971,6,3,4,108,-0.2197
1971,6,3,5,115,1.8144
1971,7,1,1,248,-6.7913
1971,7,1,2,104,-6.6907
1971,7,1,3,110,-5.9404
1971,7,1,4,115,-4.6210
1971,7,1,5,144,-8.8038
1971,7,2,1,75,-3.8171
1971,7,2,2,69,-3.2725
1971,7,2,3,62,-5.5925
1971,7,2,4,63,-3.1919
1971,7,2,5,83,-5.8626
1971,7,3,1,69,-4.7126
1971,7,3,2,98,-4.4975
1971,7,3,3,114,-3.6876
1971,7,3,4,136,-2.9629
1971,7,3,5,148,-4.9625
1971,8,1,1,248,5.7749
1971,8,1,2,104,4.4313
1971,8,1,3,110,4.0555
1971,8,1,4,115,4.2799
1971,8,1,5,144,3.2630
1971,8,2,1,75,6.5647
1971,8,2,2,69,3.2023
1971,8,2,3,62,5.4560
1971,8,2,4,63,4.4735
1971,8,2,5,83,2.8384
1971,8,3,1,69,8.6603
1971,8,3,2,98,2.5760
1971,8,3,3,114,4.0466
1971,8,3,4,136,2.7303
1971,8,3,5,147,4.4237
1971,9,1,1,248,-1.5241
1971,9,1,2,104,-1.5780
1971,9,1,3,110,-0.6048
1971,9,1,4,115,1.1380
