year,month,rank_ME,rank_POA,nstocks,ret_vw
1970,1,1,3,62,-1.0800
1970,1,1,4,90,-3.6316
1970,1,1,5,159,-4.2251
1970,1,2,1,38,-6.9499
1970,1,2,2,41,-8.1973
1970,1,2,3,49,-3.7934
1970,1,2,4,61,-3.8543
1970,1,2,5,73,-7.8483
1970,1,3,1,84,-7.1177
1970,1,3,2,105,-8.7057
1970,1,3,3,104,-8.7696
1970,1,3,4,87,-7.1479
1970,1,3,5,64,-10.7708
1970,2,1,1,132,3.0425
1970,2,1,2,75,4.6352
1970,2,1,3,62,1.4690
1970,2,1,4,90,3.3093
1970,2,1,5,159,3.4442
1970,2,2,1,38,4.4216
1970,2,2,2,41,6.7957
1970,2,2,3,49,6.2549
1970,2,2,4,61,3.2455
1970,2,2,5,73,4.0456
1970,2,3,1,84,6.4322
1970,2,3,2,105,3.6672
1970,2,3,3,104,6.7482
1970,2,3,4,87,5.4905
1970,2,3,5,63,5.1524
1970,3,1,1,132,-1.7571
1970,3,1,2,75,-2.1554
1970,3,1,3,62,-2.4785
1970,3,1,4,90,-3.2582
1970,3,1,5,159,-4.8668
1970,3,2,1,38,-2.3172
1970,3,2,2,42,-3.8080
1970,3,2,3,49,0.2075
1970,3,2,4,61,-1.6870
1970,3,2,5,73,-3.8174
1970,3,3,1,84,0.5154
1970,3,3,2,105,0.5285
1970,3,3,3,104,-1.1415
1970,3,3,4,87,0.0058
1970,3,3,5,64,-2.2468
1970,4,1,1,132,-19.1993
1970,4,1,2,75,-14.4079
1970,4,1,3,62,-16.4228
1970,4,1,4,90,-17.0301
1970,4,1,5,159,-18.3752
1970,4,2,1,38,-16.6643
1970,4,2,2,42,-17.0866
1970,4,2,3,49,-12.1364
1970,4,2,4,61,-12.3893
1970,4,2,5,73,-20.2276
1970,4,3,1,84,-9.9030
1970,4,3,2,105,-7.6899
1970,4,3,3,104,-8.6088
1970,4,3,4,87,-10.9175
1970,4,3,5,64,-15.2415
1970,5,1,1,132,-9.1628
1970,5,1,2,75,-9.4659
1970,5,1,3,62,-6.5333
1970,5,1,4,90,-11.6074
1970,5,1,5,159,-9.3246
1970,5,2,1,38,-8.1506
1970,5,2,2,42,-9.0854
1970,5,2,3,49,-10.6145
1970,5,2,4,61,-11.2107
