year,month,rank_ME,rank_NOA,nstocks,ret_vw
1969,7,3,2,94,-6.5091
1969,7,3,3,95,-8.8198
1969,7,3,4,71,-5.4668
1969,7,3,5,90,-5.9526
1969,8,1,1,148,4.4245
1969,8,1,2,92,3.6121
1969,8,1,3,84,3.1355
1969,8,1,4,87,3.5931
1969,8,1,5,103,4.2480
1969,8,2,1,39,7.2601
1969,8,2,2,41,5.8229
1969,8,2,3,44,6.5604
1969,8,2,4,64,4.3337
1969,8,2,5,73,8.9319
1969,8,3,1,94,5.2931
1969,8,3,2,94,5.7334
1969,8,3,3,95,6.1022
1969,8,3,4,71,3.9331
1969,8,3,5,90,5.9920
1969,9,1,1,148,-2.3762
1969,9,1,2,93,-2.8634
1969,9,1,3,84,-5.1366
1969,9,1,4,87,-3.1702
1969,9,1,5,103,-4.0447
1969,9,2,1,39,4.9271
1969,9,2,2,41,-0.4476
1969,9,2,3,44,0.7218
1969,9,2,4,64,-2.0727
1969,9,2,5,73,-1.1573
1969,9,3,1,94,-0.6505
1969,9,3,2,94,-2.5520
1969,9,3,3,95,-4.1029
1969,9,3,4,71,-3.6985
1969,9,3,5,90,-3.2106
1969,10,1,1,148,11.9243
1969,10,1,2,93,9.7562
1969,10,1,3,84,10.2531
1969,10,1,4,87,9.4342
1969,10,1,5,103,12.1765
1969,10,2,1,39,7.7753
1969,10,2,2,41,7.4644
1969,10,2,3,44,7.2732
1969,10,2,4,64,6.7109
1969,10,2,5,73,10.0630
1969,10,3,1,93,5.2700
1969,10,3,2,94,5.2088
1969,10,3,3,95,3.8179
1969,10,3,4,71,3.5040
1969,10,3,5,90,5.6170
1969,11,1,1,147,-6.5498
1969,11,1,2,93,-6.7242
1969,11,1,3,84,-7.6869
1969,11,1,4,87,-5.5685
1969,11,1,5,103,-8.9068
1969,11,2,1,39,-2.3883
1969,11,2,2,41,-4.6718
1969,11,2,3,44,-4.6804
1969,11,2,4,63,-4.4772
1969,11,2,5,73,-6.0687
1969,11,3,1,94,-2.7550
1969,11,3,2,94,-2.8497
1969,11,3,3,95,-3.4809
1969,11,3,4,71,-1.8133
1969,11,3,5,90,-2.3359
1969,12,1,1,148,-9.6912
1969,12,1,2,93,-8.2300
1969,12,1,3,84,-5.8835
1969,12,1,4,87,-4.9656
1969,12,1,5,103,-8.5962
1969,12,2,1,39,-4.0340
1969,12,2,2,41,-4.7150
1969,12,2,3,44,-2.4079
1969,12,2,4,63,-3.0763
1969,12,2,5,73,-6.5746
1969,12,3,1,94,0.0183
1969,12,3,2,94,-1.2511
1969,12,3,3,95,-1.8897
1969,12,3,4,71,-3.5376
1969,12,3,5,90,-2.3429
1970,1,1,1,148,-1.7130
1970,1,1,2,93,-0.7823
1970,1,1,3,84,-5.0517
1970,1,1,4,87,-2.3919
1970,1,1,5,103,-6.8472
1970,1,2,1,39,-4.3341
1970,1,2,2,41,-6.1886
1970,1,2,3,44,-2.9527
1970,1,2,4,63,-5.4680
1970,1,2,5,73,-9.0627
1970,1,3,1,94,-7.6358
1970,1,3,2,94,-7.4163
1970,1,3,3,95,-9.1378
1970,1,3,4,71,-8.3747
1970,1,3,5,90,-9.3404
1970,2,1,1,148,2.5718
1970,2,1,2,93,2.8767
1970,2,1,3,84,4.3925
1970,2,1,4,87,3.0815
1970,2,1,5,103,3.8047
1970,2,2,1,39,3.9068
1970,2,2,2,41,6.0922
1970,2,2,3,44,5.1752
1970,2,2,4,63,5.5561
1970,2,2,5,73,3.7382
1970,2,3,1,94,4.8209
1970,2,3,2,94,4.7489
1970,2,3,3,94,5.2830
1970,2,3,4,71,7.7853
1970,2,3,5,90,6.3493
1970,3,1,1,148,-1.5798
1970,3,1,2,93,-2.2534
1970,3,1,3,84,-2.8563
1970,3,1,4,87,-5.0381
1970,3,1,5,103,-4.2081
1970,3,2,1,39,-1.8126
1970,3,2,2,41,-0.9808
1970,3,2,3,44,-1.4686
1970,3,2,4,64,-1.3716
1970,3,2,5,73,-4.1409
1970,3,3,1,94,0.0525
1970,3,3,2,94,-1.1124
1970,3,3,3,95,-0.8529
1970,3,3,4,71,1.1198
1970,3,3,5,90,-0.5617
1970,4,1,1,148,-18.2295
