year,month,rank_ME,rank_ACI,nstocks,ret_vw
1970,1,1,4,38,-4.1201
1970,1,1,5,57,-4.5950
1970,1,2,1,38,-6.3255
1970,1,2,2,44,-5.1263
1970,1,2,3,29,-6.2162
1970,1,2,4,27,-4.7179
1970,1,2,5,48,-4.8388
1970,1,3,1,64,-7.2318
1970,1,3,2,74,-8.6942
1970,1,3,3,96,-7.7993
1970,1,3,4,103,-9.0280
1970,1,3,5,70,-7.0910
1970,2,1,1,66,4.7823
1970,2,1,2,38,3.0649
1970,2,1,3,32,4.3131
1970,2,1,4,38,3.0258
1970,2,1,5,57,3.4079
1970,2,2,1,38,6.0365
1970,2,2,2,44,2.1751
1970,2,2,3,29,6.1859
1970,2,2,4,27,4.8117
1970,2,2,5,48,6.1383
1970,2,3,1,64,2.6290
1970,2,3,2,74,7.0858
1970,2,3,3,95,6.6216
1970,2,3,4,103,6.8750
1970,2,3,5,70,4.2892
1970,3,1,1,66,-0.6438
1970,3,1,2,38,1.4156
1970,3,1,3,32,-2.1830
1970,3,1,4,38,-2.0338
1970,3,1,5,57,-2.5049
1970,3,2,1,38,1.5328
1970,3,2,2,44,-1.0304
1970,3,2,3,29,-0.9155
1970,3,2,4,27,2.1368
1970,3,2,5,48,-3.3947
1970,3,3,1,64,-0.4676
1970,3,3,2,74,1.9427
1970,3,3,3,96,-0.4597
1970,3,3,4,103,-1.3878
1970,3,3,5,70,0.7769
1970,4,1,1,65,-12.3431
1970,4,1,2,38,-12.3578
1970,4,1,3,32,-13.5830
1970,4,1,4,38,-15.5747
1970,4,1,5,57,-15.5000
1970,4,2,1,38,-13.8280
1970,4,2,2,44,-10.4390
1970,4,2,3,29,-12.4932
1970,4,2,4,27,-13.0216
1970,4,2,5,48,-14.5481
1970,4,3,1,64,-10.8172
1970,4,3,2,74,-7.8310
1970,4,3,3,96,-8.3523
1970,4,3,4,103,-9.7717
1970,4,3,5,70,-9.3677
1970,5,1,1,65,-10.2965
1970,5,1,2,38,-9.3004
1970,5,1,3,32,-8.4146
1970,5,1,4,37,-7.2345
1970,5,1,5,57,-11.7314
1970,5,2,1,38,-8.8921
1970,5,2,2,44,-10.1656
1970,5,2,3,29,-9.7174
1970,5,2,4,27,-8.9222
1970,5,2,5,48,-11.6742
1970,5,3,1,64,-6.7516
1970,5,3,2,74,-5.4060
1970,5,3,3,96,-5.2469
1970,5,3,4,103,-6.5794
1970,5,3,5,70,-2.8908
1970,6,1,1,64,-5.6815
1970,6,1,2,38,-9.1104
1970,6,1,3,31,-7.1223
1970,6,1,4,36,-6.9478
1970,6,1,5,57,-9.3928
1970,6,2,1,37,-6.5697
1970,6,2,2,44,-7.4885
