year,month,rank_ME,rank_DAC,nstocks,ret_vw
1971,7,3,4,97,-3.6181
1971,7,3,5,101,-5.2408
1971,8,1,1,204,2.5934
1971,8,1,2,102,7.4985
1971,8,1,3,93,5.1030
1971,8,1,4,122,5.2784
1971,8,1,5,169,3.1330
1971,8,2,1,75,5.3654
1971,8,2,2,51,3.8779
1971,8,2,3,63,4.4389
1971,8,2,4,49,5.6094
1971,8,2,5,73,5.5078
1971,8,3,1,75,6.7778
1971,8,3,2,108,5.3639
1971,8,3,3,97,2.2880
1971,8,3,4,97,3.8701
1971,8,3,5,100,5.0850
1971,9,1,1,204,-0.0304
1971,9,1,2,102,1.2856
1971,9,1,3,93,-0.9505
1971,9,1,4,122,-0.3599
