year,month,rank_ME,rank_IG2,nstocks,ret_vw
1970,8,2,4,59,5.3067
1970,8,2,5,77,7.9074
1970,8,3,1,67,3.8057
1970,8,3,2,97,4.6110
1970,8,3,3,114,4.4247
1970,8,3,4,95,5.9812
1970,8,3,5,60,7.0588
1970,9,1,1,141,13.7034
1970,9,1,2,85,16.9061
1970,9,1,3,69,14.2721
1970,9,1,4,62,11.1079
1970,9,1,5,140,16.1419
1970,9,2,1,53,11.7665
1970,9,2,2,49,7.8361
1970,9,2,3,36,10.1964
1970,9,2,4,59,11.0671
1970,9,2,5,77,12.8644
1970,9,3,1,67,5.4355
1970,9,3,2,97,3.0432
1970,9,3,3,114,3.7330
1970,9,3,4,95,3.0271
1970,9,3,5,59,8.3639
1970,10,1,1,142,-8.6979
1970,10,1,2,85,-6.0603
1970,10,1,3,69,-5.2254
1970,10,1,4,62,-7.4863
1970,10,1,5,140,-8.2192
1970,10,2,1,53,-6.6307
1970,10,2,2,49,-3.7572
1970,10,2,3,36,-4.0729
1970,10,2,4,59,-6.6999
1970,10,2,5,77,-4.9149
1970,10,3,1,67,-2.5673
1970,10,3,2,97,0.3510
1970,10,3,3,114,-0.4066
1970,10,3,4,95,-2.1349
1970,10,3,5,59,-3.3183
1970,11,1,1,142,-1.7137
1970,11,1,2,83,-1.6875
1970,11,1,3,69,-0.9859
1970,11,1,4,62,0.1312
1970,11,1,5,140,1.1724
1970,11,2,1,52,0.9954
1970,11,2,2,49,3.6721
1970,11,2,3,36,5.6262
1970,11,2,4,59,2.8678
1970,11,2,5,77,1.8568
1970,11,3,1,67,6.9583
1970,11,3,2,97,4.2343
1970,11,3,3,114,5.2807
1970,11,3,4,95,5.7210
1970,11,3,5,59,3.5011
1970,12,1,1,141,9.4995
1970,12,1,2,83,11.5697
1970,12,1,3,69,11.1942
1970,12,1,4,62,10.7989
1970,12,1,5,140,9.9457
1970,12,2,1,52,9.9827
1970,12,2,2,49,11.0508
1970,12,2,3,36,9.1709
1970,12,2,4,59,7.7109
1970,12,2,5,77,8.2808
1970,12,3,1,67,5.1656
1970,12,3,2,97,6.5156
1970,12,3,3,113,5.4060
1970,12,3,4,95,6.6207
1970,12,3,5,59,3.8733
1971,1,1,1,140,14.7616
1971,1,1,2,83,12.7369
1971,1,1,3,69,12.5868
1971,1,1,4,62,15.0460
1971,1,1,5,139,15.5390
1971,1,2,1,52,13.9193
1971,1,2,2,49,10.6330
1971,1,2,3,35,10.3019
1971,1,2,4,59,10.2960
1971,1,2,5,77,10.7958
1971,1,3,1,67,6.8992
1971,1,3,2,97,3.1402
1971,1,3,3,113,4.1495
1971,1,3,4,95,5.1104
1971,1,3,5,59,5.7158
1971,2,1,1,140,5.2266
1971,2,1,2,81,3.5961
1971,2,1,3,68,7.8974
1971,2,1,4,62,2.4105
1971,2,1,5,139,4.3238
1971,2,2,1,52,1.7236
1971,2,2,2,48,4.6609
1971,2,2,3,35,1.5914
1971,2,2,4,59,2.6774
1971,2,2,5,77,2.6464
1971,2,3,1,67,0.6417
1971,2,3,2,97,3.0766
1971,2,3,3,113,1.3673
1971,2,3,4,95,1.0563
1971,2,3,5,58,3.3717
1971,3,1,1,140,6.7582
1971,3,1,2,81,4.9243
1971,3,1,3,68,5.4784
1971,3,1,4,62,5.8191
1971,3,1,5,139,7.8931
1971,3,2,1,52,6.5671
1971,3,2,2,48,5.9052
1971,3,2,3,35,5.3440
1971,3,2,4,59,6.5076
1971,3,2,5,77,5.6902
1971,3,3,1,67,4.5394
1971,3,3,2,97,3.8152
1971,3,3,3,112,3.5715
1971,3,3,4,95,4.4573
1971,3,3,5,57,5.3371
1971,4,1,1,139,2.5160
1971,4,1,2,81,4.0523
1971,4,1,3,67,1.8664
1971,4,1,4,62,2.9628
1971,4,1,5,139,1.9199
1971,4,2,1,52,9.2239
1971,4,2,2,48,4.0943
1971,4,2,3,34,1.6083
1971,4,2,4,59,4.0653
1971,4,2,5,77,5.2113
1971,4,3,1,67,6.0483
1971,4,3,2,97,4.3761
1971,4,3,3,112,3.3691
1971,4,3,4,95,5.2118
1971,4,3,5,57,4.4293
1971,5,1,1,137,-6.1538
1971,5,1,2,80,-5.2663
1971,5,1,3,66,-6.3900
1971,5,1,4,62,-6.2425
1971,5,1,5,139,-6.5565
1971,5,2,1,52,-1.2955
1971,5,2,2,47,-4.9927
1971,5,2,3,35,-5.1094
1971,5,2,4,59,-6.2807
1971,5,2,5,77,-4.2572
1971,5,3,1,67,-1.9879
1971,5,3,2,97,-3.8430
1971,5,3,3,112,-4.5482
1971,5,3,4,95,-2.7165
1971,5,3,5,57,-3.1299
1971,6,1,1,136,-2.4344
1971,6,1,2,79,-3.2705
1971,6,1,3,66,-1.2003
1971,6,1,4,62,-0.4565
1971,6,1,5,139,-1.8506
1971,6,2,1,52,-0.9510
1971,6,2,2,47,-1.7247
1971,6,2,3,35,-1.2948
1971,6,2,4,59,-1.8421
1971,6,2,5,77,1.1065
1971,6,3,1,66,-1.9073
1971,6,3,2,97,-0.0024
1971,6,3,3,112,1.0072
1971,6,3,4,95,0.3716
1971,6,3,5,57,-1.8664
1971,7,1,1,166,-7.2874
1971,7,1,2,104,-5.0588
1971,7,1,3,81,-3.8134
1971,7,1,4,82,-5.9645
1971,7,1,5,154,-7.6402
1971,7,2,1,67,-5.1748
1971,7,2,2,53,-5.4552
1971,7,2,3,55,-4.2625
1971,7,2,4,41,-4.2762
1971,7,2,5,74,-5.1145
1971,7,3,1,60,-6.6865
1971,7,3,2,87,-2.9698
1971,7,3,3,105,-4.2210
1971,7,3,4,119,-4.6508
1971,7,3,5,91,-4.5172
1971,8,1,1,165,5.5002
1971,8,1,2,104,3.9645
1971,8,1,3,81,4.9768
1971,8,1,4,82,3.7928
1971,8,1,5,154,4.3288
1971,8,2,1,67,5.7875
1971,8,2,2,53,5.5288
1971,8,2,3,55,5.2043
1971,8,2,4,41,3.8094
1971,8,2,5,74,6.4332
1971,8,3,1,60,7.5731
1971,8,3,2,87,1.6029
1971,8,3,3,105,6.5679
1971,8,3,4,119,3.6547
1971,8,3,5,90,6.3174
1971,9,1,1,165,-1.5162
1971,9,1,2,104,-1.3726
1971,9,1,3,81,-0.7117
1971,9,1,4,82,0.6587
