year,month,rank_ME,rank_dFNL,nstocks,ret_vw
1970,11,2,5,83,1.9146
1970,11,3,1,83,5.0155
1970,11,3,2,123,5.1241
1970,11,3,3,129,5.9994
1970,11,3,4,104,6.5714
1970,11,3,5,85,4.2407
1970,12,1,1,217,9.7406
1970,12,1,2,107,10.4074
1970,12,1,3,85,12.5350
1970,12,1,4,89,8.7103
1970,12,1,5,193,8.9363
1970,12,2,1,86,7.3426
1970,12,2,2,52,9.6056
1970,12,2,3,48,8.0382
1970,12,2,4,69,10.7292
1970,12,2,5,83,7.3533
1970,12,3,1,83,5.6152
1970,12,3,2,123,5.8215
1970,12,3,3,129,6.4364
1970,12,3,4,104,6.9704
1970,12,3,5,85,4.5362
1971,1,1,1,216,15.8515
1971,1,1,2,106,12.6400
1971,1,1,3,85,12.2137
1971,1,1,4,89,12.8790
1971,1,1,5,192,17.6165
1971,1,2,1,84,12.1757
1971,1,2,2,52,11.7679
1971,1,2,3,48,10.2712
1971,1,2,4,69,9.7938
1971,1,2,5,83,10.2420
1971,1,3,1,83,6.2915
1971,1,3,2,123,2.3179
1971,1,3,3,129,4.4475
1971,1,3,4,104,5.9565
1971,1,3,5,85,6.9771
1971,2,1,1,214,4.5430
1971,2,1,2,106,7.4597
1971,2,1,3,83,3.5504
1971,2,1,4,89,3.3237
1971,2,1,5,192,5.3325
1971,2,2,1,84,3.6734
1971,2,2,2,51,2.8947
1971,2,2,3,48,1.8792
1971,2,2,4,69,0.7277
1971,2,2,5,83,3.0861
1971,2,3,1,83,2.1981
1971,2,3,2,123,2.5739
1971,2,3,3,129,0.9639
1971,2,3,4,104,-0.9640
1971,2,3,5,85,1.1883
1971,3,1,1,214,6.6204
1971,3,1,2,106,4.1206
1971,3,1,3,83,6.2300
1971,3,1,4,89,8.4976
1971,3,1,5,191,5.9123
1971,3,2,1,84,6.1697
1971,3,2,2,51,3.9883
1971,3,2,3,48,8.9218
1971,3,2,4,69,4.5470
1971,3,2,5,83,7.8759
1971,3,3,1,83,4.1271
1971,3,3,2,122,4.3506
1971,3,3,3,129,3.3904
1971,3,3,4,103,3.0267
1971,3,3,5,85,5.2503
1971,4,1,1,214,2.0188
1971,4,1,2,106,1.4916
1971,4,1,3,82,2.3339
1971,4,1,4,89,3.0371
1971,4,1,5,191,3.1816
1971,4,2,1,83,5.2007
1971,4,2,2,51,5.5660
1971,4,2,3,48,3.0887
1971,4,2,4,68,4.4526
1971,4,2,5,82,2.8826
1971,4,3,1,83,4.9698
1971,4,3,2,122,3.6089
1971,4,3,3,129,4.1067
1971,4,3,4,103,2.1267
1971,4,3,5,85,3.8228
1971,5,1,1,211,-6.1646
1971,5,1,2,105,-4.7541
1971,5,1,3,81,-5.9518
1971,5,1,4,89,-7.1212
1971,5,1,5,191,-7.7782
1971,5,2,1,83,-1.4971
1971,5,2,2,51,-4.2914
1971,5,2,3,48,-4.5583
1971,5,2,4,69,-6.3559
1971,5,2,5,82,-5.8208
1971,5,3,1,83,-3.8458
1971,5,3,2,122,-3.8594
1971,5,3,3,129,-2.6530
1971,5,3,4,103,-4.0685
1971,5,3,5,85,-3.4241
1971,6,1,1,210,-3.8357
1971,6,1,2,105,-1.5655
1971,6,1,3,78,-2.2417
1971,6,1,4,88,-2.4049
1971,6,1,5,190,-1.2166
1971,6,2,1,83,-1.0190
1971,6,2,2,51,-0.5860
1971,6,2,3,48,-1.0741
1971,6,2,4,69,-0.1715
1971,6,2,5,81,-1.5389
1971,6,3,1,83,0.5222
1971,6,3,2,121,-0.3663
1971,6,3,3,129,0.8141
1971,6,3,4,103,1.6946
1971,6,3,5,85,0.9706
1971,7,1,1,268,-6.7479
1971,7,1,2,123,-5.1863
1971,7,1,3,106,-5.6049
1971,7,1,4,96,-5.0513
1971,7,1,5,165,-9.0936
1971,7,2,1,82,-5.9017
1971,7,2,2,79,-4.3703
1971,7,2,3,65,-3.6582
1971,7,2,4,51,-4.5222
1971,7,2,5,85,-4.6380
1971,7,3,1,63,-3.6776
1971,7,3,2,109,-2.7166
1971,7,3,3,127,-4.7760
1971,7,3,4,138,-4.2440
1971,7,3,5,116,-4.6617
1971,8,1,1,267,3.6515
1971,8,1,2,123,5.8367
1971,8,1,3,106,6.2102
1971,8,1,4,96,4.9686
1971,8,1,5,165,2.4061
1971,8,2,1,82,5.6171
1971,8,2,2,79,4.2300
1971,8,2,3,65,4.8689
1971,8,2,4,51,4.1756
1971,8,2,5,85,4.2871
1971,8,3,1,62,3.4778
1971,8,3,2,109,5.7876
1971,8,3,3,127,4.0906
1971,8,3,4,138,2.8456
1971,8,3,5,115,2.8760
1971,9,1,1,267,-0.4605
1971,9,1,2,123,-1.1554
1971,9,1,3,106,-1.2504
