year,month,rank_ME,rank_dNOA,nstocks,ret_vw
1969,11,2,4,55,-3.6147
1969,11,2,5,84,-5.9582
1969,11,3,1,84,-1.7017
1969,11,3,2,87,-3.5237
1969,11,3,3,107,-2.3515
1969,11,3,4,83,-3.0537
1969,11,3,5,82,-2.8881
1969,12,1,1,150,-10.1001
1969,12,1,2,71,-7.0889
1969,12,1,3,80,-5.9496
1969,12,1,4,99,-5.5762
1969,12,1,5,112,-8.2538
1969,12,2,1,33,-3.9565
1969,12,2,2,49,-2.6914
1969,12,2,3,37,-3.5458
1969,12,2,4,55,-4.0356
1969,12,2,5,84,-5.9979
1969,12,3,1,84,-0.0948
1969,12,3,2,87,-1.9037
1969,12,3,3,107,-1.8701
1969,12,3,4,83,-0.6564
1969,12,3,5,82,-3.5053
1970,1,1,1,150,-1.1312
1970,1,1,2,71,-3.7663
1970,1,1,3,80,-1.0028
1970,1,1,4,99,-3.9009
1970,1,1,5,112,-6.3226
1970,1,2,1,33,-4.9849
1970,1,2,2,49,-3.3029
1970,1,2,3,37,-6.6682
1970,1,2,4,55,-3.8617
1970,1,2,5,84,-8.8429
1970,1,3,1,84,-7.3459
1970,1,3,2,87,-8.2939
1970,1,3,3,107,-7.2476
1970,1,3,4,83,-9.4325
1970,1,3,5,82,-11.1912
1970,2,1,1,150,3.4949
1970,2,1,2,71,3.1816
1970,2,1,3,80,2.8619
1970,2,1,4,99,3.7070
1970,2,1,5,112,2.9325
1970,2,2,1,33,5.2221
1970,2,2,2,49,7.2227
1970,2,2,3,37,3.6402
1970,2,2,4,55,3.6833
1970,2,2,5,84,4.4406
1970,2,3,1,84,4.1404
1970,2,3,2,87,6.9685
1970,2,3,3,107,5.3984
1970,2,3,4,82,6.3323
1970,2,3,5,82,5.4897
1970,3,1,1,150,-0.2360
1970,3,1,2,71,-2.3680
1970,3,1,3,80,-4.0495
1970,3,1,4,99,-5.2619
1970,3,1,5,112,-4.2310
1970,3,2,1,33,-0.2863
1970,3,2,2,49,-2.5331
1970,3,2,3,38,0.8699
1970,3,2,4,55,-1.1531
1970,3,2,5,84,-4.7386
1970,3,3,1,84,-0.5637
1970,3,3,2,87,0.4575
1970,3,3,3,107,0.2732
1970,3,3,4,83,-0.4679
1970,3,3,5,82,-2.0940
1970,4,1,1,150,-17.1426
1970,4,1,2,71,-14.0997
1970,4,1,3,80,-17.5182
1970,4,1,4,99,-16.3428
1970,4,1,5,112,-20.6618
1970,4,2,1,33,-15.4247
1970,4,2,2,49,-12.4168
1970,4,2,3,38,-12.3254
1970,4,2,4,55,-14.7283
1970,4,2,5,84,-20.5608
1970,4,3,1,84,-10.0041
1970,4,3,2,87,-7.2781
1970,4,3,3,107,-9.0418
1970,4,3,4,83,-10.2168
1970,4,3,5,82,-13.7937
1970,5,1,1,150,-9.6572
1970,5,1,2,71,-9.9013
1970,5,1,3,80,-8.8716
1970,5,1,4,99,-10.0757
1970,5,1,5,111,-9.0909
1970,5,2,1,33,-8.9139
1970,5,2,2,49,-9.1484
1970,5,2,3,38,-8.4122
1970,5,2,4,55,-11.3640
1970,5,2,5,84,-13.2264
1970,5,3,1,84,-6.2129
1970,5,3,2,87,-4.4331
1970,5,3,3,107,-4.6432
1970,5,3,4,83,-7.4380
1970,5,3,5,82,-9.0310
1970,6,1,1,150,-8.0280
1970,6,1,2,71,-7.9729
1970,6,1,3,80,-7.0244
1970,6,1,4,99,-9.6542
1970,6,1,5,111,-10.2286
1970,6,2,1,33,-4.8770
1970,6,2,2,49,-7.2570
1970,6,2,3,38,-6.8493
1970,6,2,4,55,-5.3675
1970,6,2,5,83,-9.1684
1970,6,3,1,84,-5.8057
1970,6,3,2,87,-2.4997
1970,6,3,3,107,-5.8473
1970,6,3,4,83,-3.7922
1970,6,3,5,82,-8.3505
1970,7,1,1,181,4.2906
1970,7,1,2,58,9.1208
1970,7,1,3,75,4.0865
1970,7,1,4,107,6.3902
1970,7,1,5,189,3.4430
1970,7,2,1,56,6.8765
1970,7,2,2,38,10.0088
1970,7,2,3,62,9.8668
1970,7,2,4,53,8.3244
1970,7,2,5,82,7.7333
1970,7,3,1,65,9.0668
1970,7,3,2,111,8.9488
1970,7,3,3,99,8.0758
1970,7,3,4,90,4.7322
1970,7,3,5,81,4.7378
1970,8,1,1,181,6.2452
1970,8,1,2,58,6.9506
1970,8,1,3,75,5.5812
1970,8,1,4,107,6.2043
1970,8,1,5,189,7.4045
1970,8,2,1,56,9.5893
1970,8,2,2,38,5.6966
1970,8,2,3,62,7.2698
1970,8,2,4,53,5.9943
1970,8,2,5,82,7.8357
1970,8,3,1,65,4.1937
1970,8,3,2,111,5.6329
1970,8,3,3,99,3.6165
1970,8,3,4,90,5.2882
1970,8,3,5,81,6.1474
1970,9,1,1,181,14.4744
1970,9,1,2,57,10.7440
1970,9,1,3,75,13.1636
1970,9,1,4,107,11.2538
1970,9,1,5,189,20.4432
1970,9,2,1,56,9.9785
1970,9,2,2,38,9.1792
1970,9,2,3,62,10.0257
1970,9,2,4,53,13.1211
1970,9,2,5,82,15.8199
1970,9,3,1,65,4.2769
1970,9,3,2,111,1.8907
1970,9,3,3,99,2.4935
1970,9,3,4,90,6.6387
1970,9,3,5,80,8.2428
1970,10,1,1,181,-6.8260
1970,10,1,2,58,-4.4772
1970,10,1,3,75,-8.5799
1970,10,1,4,107,-7.0983
1970,10,1,5,189,-10.4922
1970,10,2,1,56,-5.2148
1970,10,2,2,38,-5.6097
1970,10,2,3,62,-3.6737
1970,10,2,4,53,-5.0673
1970,10,2,5,82,-6.3155
1970,10,3,1,65,-1.0961
1970,10,3,2,111,-0.2278
1970,10,3,3,99,-1.9301
1970,10,3,4,90,-0.8265
1970,10,3,5,80,-1.5028
1970,11,1,1,181,-1.2909
1970,11,1,2,58,0.5296
1970,11,1,3,75,-1.8775
1970,11,1,4,107,-1.2783
1970,11,1,5,189,-2.5387
1970,11,2,1,56,1.1142
1970,11,2,2,38,5.1783
1970,11,2,3,62,3.4614
1970,11,2,4,53,3.8867
1970,11,2,5,82,0.4227
1970,11,3,1,65,4.8574
1970,11,3,2,111,6.2341
1970,11,3,3,99,5.3376
1970,11,3,4,90,4.2944
1970,11,3,5,80,3.8798
1970,12,1,1,181,9.6694
1970,12,1,2,58,11.3291
1970,12,1,3,75,11.2448
1970,12,1,4,107,11.1796
1970,12,1,5,188,8.5668
1970,12,2,1,56,9.3851
1970,12,2,2,38,7.4301
1970,12,2,3,62,9.9525
1970,12,2,4,53,8.7828
1970,12,2,5,82,7.8095
1970,12,3,1,65,7.4884
1970,12,3,2,111,5.1452
1970,12,3,3,99,6.9403
1970,12,3,4,90,5.5182
1970,12,3,5,80,5.0769
1971,1,1,1,181,16.6411
1971,1,1,2,58,10.8270
1971,1,1,3,75,14.5243
1971,1,1,4,107,13.8904
1971,1,1,5,187,16.1387
1971,1,2,1,56,13.1225
1971,1,2,2,38,14.7458
1971,1,2,3,62,8.7566
1971,1,2,4,53,11.3825
1971,1,2,5,82,9.7303
1971,1,3,1,65,6.0453
1971,1,3,2,111,2.3392
1971,1,3,3,99,5.9557
1971,1,3,4,90,3.7841
1971,1,3,5,80,7.1981
1971,2,1,1,181,4.2001
1971,2,1,2,58,3.7565
1971,2,1,3,75,3.9512
1971,2,1,4,107,4.5850
1971,2,1,5,187,5.8678
1971,2,2,1,56,2.9475
1971,2,2,2,38,1.1260
1971,2,2,3,62,3.9785
1971,2,2,4,53,2.7566
1971,2,2,5,82,2.1253
1971,2,3,1,65,3.2770
1971,2,3,2,111,2.0203
1971,2,3,3,99,-0.3811
1971,2,3,4,90,3.8558
1971,2,3,5,80,1.2854
1971,3,1,1,181,7.7794
1971,3,1,2,58,5.7805
1971,3,1,3,75,7.7406
1971,3,1,4,107,7.0214
1971,3,1,5,187,5.1290
1971,3,2,1,56,4.8565
1971,3,2,2,38,8.4227
1971,3,2,3,62,5.5309
1971,3,2,4,53,7.1334
1971,3,2,5,82,8.3697
1971,3,3,1,65,3.4161
1971,3,3,2,111,3.8919
1971,3,3,3,99,2.6174
1971,3,3,4,90,5.3738
1971,3,3,5,80,6.8440
1971,4,1,1,181,1.8962
1971,4,1,2,58,0.5652
1971,4,1,3,75,3.2141
1971,4,1,4,107,2.8354
1971,4,1,5,187,2.7352
1971,4,2,1,56,4.0012
1971,4,2,2,38,11.4493
1971,4,2,3,62,3.5554
1971,4,2,4,52,3.0567
1971,4,2,5,82,2.7443
1971,4,3,1,65,5.4402
1971,4,3,2,111,4.7939
1971,4,3,3,99,4.1097
1971,4,3,4,90,3.2968
1971,4,3,5,80,4.6714
1971,5,1,1,181,-5.2253
1971,5,1,2,58,-6.4526
1971,5,1,3,75,-5.3951
1971,5,1,4,107,-5.8001
1971,5,1,5,187,-8.0154
1971,5,2,1,56,-3.0371
1971,5,2,2,38,-3.6057
1971,5,2,3,62,-4.2909
1971,5,2,4,53,-6.0381
1971,5,2,5,82,-4.6280
1971,5,3,1,65,-2.8463
1971,5,3,2,111,-3.8147
1971,5,3,3,99,-2.8871
1971,5,3,4,90,-4.7545
1971,5,3,5,80,-2.8526
1971,6,1,1,181,-2.0158
1971,6,1,2,58,-2.2915
1971,6,1,3,75,-1.3680
1971,6,1,4,107,-2.4167
1971,6,1,5,187,-2.5438
1971,6,2,1,56,-1.1508
1971,6,2,2,38,-2.5518
1971,6,2,3,62,0.3853
1971,6,2,4,53,0.2040
1971,6,2,5,81,-2.1108
1971,6,3,1,65,-0.1247
1971,6,3,2,111,-0.8830
1971,6,3,3,99,0.8970
1971,6,3,4,90,-0.0927
1971,6,3,5,80,2.2473
1971,7,1,1,256,-7.0910
1971,7,1,2,106,-4.7173
1971,7,1,3,75,-5.5423
1971,7,1,4,97,-7.3365
1971,7,1,5,178,-7.8772
1971,7,2,1,71,-4.7159
1971,7,2,2,63,-3.0553
1971,7,2,3,54,-5.2603
1971,7,2,4,54,-4.8506
1971,7,2,5,79,-6.2406
1971,7,3,1,43,-3.4209
1971,7,3,2,88,-4.1216
1971,7,3,3,118,-3.5331
1971,7,3,4,126,-5.0982
1971,7,3,5,116,-4.5717
1971,8,1,1,256,4.8934
1971,8,1,2,106,4.5167
1971,8,1,3,75,6.4169
1971,8,1,4,97,6.4585
1971,8,1,5,178,2.1989
1971,8,2,1,71,5.1985
1971,8,2,2,63,5.8199
1971,8,2,3,54,4.6232
1971,8,2,4,54,4.0451
1971,8,2,5,79,4.7000
1971,8,3,1,43,4.5445
1971,8,3,2,88,3.4499
1971,8,3,3,118,5.9449
1971,8,3,4,126,3.8034
1971,8,3,5,115,4.4272
1971,9,1,1,256,-1.1631
1971,9,1,2,106,1.5705
1971,9,1,3,75,-2.5902
