year,month,rank_ME,rank_dCOA,nstocks,ret_vw
1970,12,1,5,231,9.5523
1970,12,2,1,58,6.2768
1970,12,2,2,54,10.4370
1970,12,2,3,65,10.3414
1970,12,2,4,72,9.3148
1970,12,2,5,78,7.8253
1970,12,3,1,84,4.8748
1970,12,3,2,104,6.0945
1970,12,3,3,93,5.2935
1970,12,3,4,84,8.2271
1970,12,3,5,96,4.9336
1971,1,1,1,189,15.5061
1971,1,1,2,72,15.4209
1971,1,1,3,109,12.8671
1971,1,1,4,115,13.4845
1971,1,1,5,231,15.9314
1971,1,2,1,58,15.7329
1971,1,2,2,53,11.0964
1971,1,2,3,65,9.5489
1971,1,2,4,72,9.4935
1971,1,2,5,77,10.5685
1971,1,3,1,84,4.6764
1971,1,3,2,104,2.9049
1971,1,3,3,93,4.7967
1971,1,3,4,84,4.2032
1971,1,3,5,96,7.8723
1971,2,1,1,189,4.3715
1971,2,1,2,71,5.1678
1971,2,1,3,109,3.3596
1971,2,1,4,114,7.1328
1971,2,1,5,229,4.7192
1971,2,2,1,58,1.5255
1971,2,2,2,53,2.1488
1971,2,2,3,64,5.2560
1971,2,2,4,72,2.1101
1971,2,2,5,77,2.1555
1971,2,3,1,84,1.6283
1971,2,3,2,104,1.5922
1971,2,3,3,93,2.2017
1971,2,3,4,84,2.9837
1971,2,3,5,95,1.0643
1971,3,1,1,189,8.0080
1971,3,1,2,71,5.6365
1971,3,1,3,109,6.1997
1971,3,1,4,114,6.9816
1971,3,1,5,228,5.5153
1971,3,2,1,58,5.3590
1971,3,2,2,53,4.6008
1971,3,2,3,64,6.9146
1971,3,2,4,72,7.2703
1971,3,2,5,77,8.3239
1971,3,3,1,83,2.8195
1971,3,3,2,104,3.2523
1971,3,3,3,93,5.1634
1971,3,3,4,84,4.8681
1971,3,3,5,94,6.1111
1971,4,1,1,187,1.6352
1971,4,1,2,71,2.1763
1971,4,1,3,109,4.0343
1971,4,1,4,114,1.7214
1971,4,1,5,228,2.5009
1971,4,2,1,57,5.1540
1971,4,2,2,53,7.1602
1971,4,2,3,64,3.0862
1971,4,2,4,71,5.9962
1971,4,2,5,76,2.1969
1971,4,3,1,83,3.6222
1971,4,3,2,104,4.9190
1971,4,3,3,93,3.8014
1971,4,3,4,84,3.2661
1971,4,3,5,94,6.4480
1971,5,1,1,184,-4.6507
1971,5,1,2,70,-7.5086
1971,5,1,3,109,-6.8172
1971,5,1,4,113,-6.5975
1971,5,1,5,228,-7.5264
1971,5,2,1,57,-3.4011
1971,5,2,2,53,-5.2614
1971,5,2,3,64,-3.1836
1971,5,2,4,71,-4.8288
1971,5,2,5,76,-5.3688
1971,5,3,1,83,-4.3522
1971,5,3,2,104,-3.3241
1971,5,3,3,93,-4.0187
1971,5,3,4,84,-2.7763
1971,5,3,5,94,-2.6320
1971,6,1,1,183,-2.1787
1971,6,1,2,70,-1.5606
1971,6,1,3,108,-1.0943
1971,6,1,4,112,-3.0563
1971,6,1,5,225,-3.0557
1971,6,2,1,57,-1.5378
1971,6,2,2,53,-1.0329
1971,6,2,3,64,-2.7889
1971,6,2,4,70,0.1581
1971,6,2,5,76,-0.0553
1971,6,3,1,82,0.8056
1971,6,3,2,104,-1.0530
1971,6,3,3,93,-1.2113
1971,6,3,4,84,2.4707
1971,6,3,5,94,1.2895
1971,7,1,1,275,-7.2716
1971,7,1,2,102,-5.9637
1971,7,1,3,92,-4.4289
1971,7,1,4,112,-6.7045
1971,7,1,5,200,-7.6503
1971,7,2,1,72,-5.3189
1971,7,2,2,62,-4.2570
1971,7,2,3,56,-4.2605
1971,7,2,4,61,-5.4968
1971,7,2,5,91,-5.7984
1971,7,3,1,57,-5.0995
1971,7,3,2,105,-4.6306
1971,7,3,3,118,-4.1385
1971,7,3,4,118,-3.7505
1971,7,3,5,99,-4.2413
1971,8,1,1,274,4.1203
1971,8,1,2,102,4.9950
1971,8,1,3,92,5.9346
1971,8,1,4,112,4.9142
1971,8,1,5,200,3.0898
1971,8,2,1,72,6.0756
1971,8,2,2,62,3.3218
1971,8,2,3,56,5.4641
1971,8,2,4,61,5.6125
1971,8,2,5,91,4.9167
1971,8,3,1,57,4.9828
1971,8,3,2,105,4.7690
1971,8,3,3,117,4.0615
1971,8,3,4,118,5.3339
1971,8,3,5,98,4.4486
1971,9,1,1,274,-0.8507
1971,9,1,2,102,-0.2880
1971,9,1,3,92,-0.5847
