year,month,rank_ME,rank_dPIA,nstocks,ret_vw
1971,3,1,1,237,7.6459
1971,3,1,2,81,5.5242
1971,3,1,3,81,7.0838
1971,3,1,4,139,6.3903
1971,3,1,5,173,5.4180
1971,3,2,1,61,6.1014
1971,3,2,2,66,5.7710
1971,3,2,3,51,5.1793
1971,3,2,4,60,6.8843
1971,3,2,5,86,8.5459
1971,3,3,1,66,5.3933
1971,3,3,2,92,3.0704
1971,3,3,3,110,2.7024
1971,3,3,4,91,5.8417
1971,3,3,5,99,5.7839
1971,4,1,1,236,1.8024
1971,4,1,2,81,3.1370
1971,4,1,3,80,0.4833
1971,4,1,4,139,4.8476
1971,4,1,5,173,1.4267
1971,4,2,1,61,4.7600
1971,4,2,2,66,7.5093
1971,4,2,3,49,3.1054
1971,4,2,4,60,5.3362
1971,4,2,5,85,2.3233
1971,4,3,1,66,4.2314
1971,4,3,2,92,4.6178
1971,4,3,3,110,4.8981
1971,4,3,4,91,2.3320
1971,4,3,5,99,5.2568
1971,5,1,1,231,-5.1253
1971,5,1,2,81,-6.0663
1971,5,1,3,80,-7.7617
1971,5,1,4,139,-6.0350
1971,5,1,5,173,-8.3483
1971,5,2,1,61,-5.1503
1971,5,2,2,65,-2.9797
1971,5,2,3,50,-4.7008
1971,5,2,4,60,-5.2423
1971,5,2,5,85,-4.4649
1971,5,3,1,66,-3.2421
1971,5,3,2,92,-3.9684
1971,5,3,3,110,-3.0909
1971,5,3,4,91,-5.0036
1971,5,3,5,99,-2.5628
1971,6,1,1,229,-2.3852
1971,6,1,2,81,-0.8473
1971,6,1,3,80,-2.1035
1971,6,1,4,139,-2.4153
1971,6,1,5,169,-3.1991
1971,6,2,1,61,-2.3990
1971,6,2,2,64,-1.2747
1971,6,2,3,50,-0.5956
1971,6,2,4,60,0.0678
1971,6,2,5,85,-0.8109
1971,6,3,1,65,-0.3446
1971,6,3,2,92,0.2349
1971,6,3,3,110,-0.0907
1971,6,3,4,91,-0.3059
1971,6,3,5,99,1.1105
1971,7,1,1,275,-6.4317
1971,7,1,2,149,-7.2064
1971,7,1,3,94,-4.8418
1971,7,1,4,107,-6.2619
1971,7,1,5,155,-8.1712
1971,7,2,1,66,-5.8707
1971,7,2,2,76,-5.2756
1971,7,2,3,59,-5.6378
1971,7,2,4,61,-4.1508
1971,7,2,5,80,-4.7129
1971,7,3,1,54,-9.0636
1971,7,3,2,83,-3.9502
1971,7,3,3,114,-2.5366
1971,7,3,4,128,-3.8245
1971,7,3,5,118,-5.6419
1971,8,1,1,274,4.9317
1971,8,1,2,149,4.5482
1971,8,1,3,94,4.2544
1971,8,1,4,107,5.6870
1971,8,1,5,155,2.2882
1971,8,2,1,66,5.4854
1971,8,2,2,76,5.4744
1971,8,2,3,59,6.4397
1971,8,2,4,61,3.3096
1971,8,2,5,80,4.6839
1971,8,3,1,54,10.3630
1971,8,3,2,83,6.5534
1971,8,3,3,113,2.5116
1971,8,3,4,128,4.4984
1971,8,3,5,117,4.8110
1971,9,1,1,274,-1.4032
1971,9,1,2,149,1.3674
1971,9,1,3,94,-2.3480
1971,9,1,4,107,0.8039
