year,month,rank_ME,rank_PDA,nstocks,ret_vw
1969,11,1,2,52,-5.5407
1969,11,1,3,66,-8.0942
1969,11,1,4,64,-6.0475
1969,11,1,5,152,-6.9383
1969,11,2,1,40,-5.7749
1969,11,2,2,49,-4.2135
1969,11,2,3,39,-4.8390
1969,11,2,4,61,-3.7038
1969,11,2,5,66,-5.3166
1969,11,3,1,80,-2.3863
1969,11,3,2,102,-2.9714
1969,11,3,3,102,-3.0474
1969,11,3,4,85,-2.1075
1969,11,3,5,59,-1.9993
1969,12,1,1,157,-9.5023
1969,12,1,2,53,-6.7820
1969,12,1,3,66,-5.3652
1969,12,1,4,64,-7.7586
1969,12,1,5,152,-7.3717
1969,12,2,1,40,-4.7428
1969,12,2,2,49,-1.2880
1969,12,2,3,39,-3.5008
1969,12,2,4,61,-5.0873
1969,12,2,5,66,-5.9346
1969,12,3,1,80,-0.9944
1969,12,3,2,102,-0.4183
1969,12,3,3,102,-1.1409
1969,12,3,4,85,-3.4636
1969,12,3,5,59,-0.6041
1970,1,1,1,157,-3.1855
1970,1,1,2,53,-1.9849
1970,1,1,3,66,-4.6213
1970,1,1,4,64,-4.0723
1970,1,1,5,152,-3.1643
1970,1,2,1,40,-6.2448
1970,1,2,2,49,-6.7942
1970,1,2,3,39,-3.4305
1970,1,2,4,61,-5.6959
1970,1,2,5,66,-7.3887
1970,1,3,1,80,-8.2432
1970,1,3,2,102,-7.6471
1970,1,3,3,102,-9.9194
1970,1,3,4,85,-7.4866
1970,1,3,5,59,-6.1030
1970,2,1,1,157,2.3532
1970,2,1,2,53,2.9477
1970,2,1,3,66,2.7065
1970,2,1,4,64,2.2220
1970,2,1,5,152,4.1714
1970,2,2,1,40,3.8944
1970,2,2,2,49,5.6519
1970,2,2,3,39,3.4720
1970,2,2,4,61,5.3132
1970,2,2,5,66,4.6512
1970,2,3,1,80,2.8953
1970,2,3,2,102,7.1154
1970,2,3,3,102,6.5907
1970,2,3,4,85,5.8423
1970,2,3,5,58,5.7538
1970,3,1,1,157,-2.1856
1970,3,1,2,53,-1.6780
1970,3,1,3,66,-3.7873
1970,3,1,4,64,-2.9635
1970,3,1,5,152,-4.6124
1970,3,2,1,41,-2.6245
1970,3,2,2,49,-2.4042
1970,3,2,3,39,-2.0324
1970,3,2,4,61,-0.9690
1970,3,2,5,66,-2.9830
1970,3,3,1,80,-0.1209
1970,3,3,2,102,-0.0635
1970,3,3,3,102,-1.2865
1970,3,3,4,85,1.1240
1970,3,3,5,59,-1.6624
1970,4,1,1,157,-17.8405
1970,4,1,2,53,-13.1143
1970,4,1,3,66,-17.3959
1970,4,1,4,64,-18.3420
1970,4,1,5,152,-17.8953
1970,4,2,1,41,-17.4117
