year,month,rank_ME,rank_EP,nstocks,ret_vw
1969,12,1,4,89,-5.3020
1969,12,1,5,90,-5.1847
1969,12,2,1,101,-4.3714
1969,12,2,2,71,-4.7724
1969,12,2,3,65,-3.3306
1969,12,2,4,54,-5.1042
1969,12,2,5,64,-4.6528
1969,12,3,1,117,1.2597
1969,12,3,2,108,-1.4220
1969,12,3,3,102,-2.5590
1969,12,3,4,114,-3.4419
1969,12,3,5,112,-2.4101
1970,1,1,1,274,-4.0535
1970,1,1,2,113,-5.1012
1970,1,1,3,109,-3.5254
1970,1,1,4,89,-2.6617
1970,1,1,5,90,-2.6871
1970,1,2,1,102,-6.9319
1970,1,2,2,71,-6.4264
1970,1,2,3,65,-6.5362
1970,1,2,4,54,-5.1588
1970,1,2,5,64,-1.4041
1970,1,3,1,117,-8.4153
1970,1,3,2,108,-7.5681
1970,1,3,3,102,-7.1652
1970,1,3,4,114,-6.8568
1970,1,3,5,112,-8.4612
1970,2,1,1,274,3.7073
1970,2,1,2,112,3.6890
1970,2,1,3,109,1.5389
1970,2,1,4,89,3.7538
1970,2,1,5,90,1.8803
1970,2,2,1,100,4.1822
1970,2,2,2,71,1.6736
1970,2,2,3,65,4.5791
1970,2,2,4,54,6.4846
1970,2,2,5,64,4.8423
1970,2,3,1,116,2.8063
1970,2,3,2,108,5.8271
1970,2,3,3,102,8.0315
1970,2,3,4,114,7.8395
1970,2,3,5,112,6.7475
1970,3,1,1,274,-6.3416
1970,3,1,2,112,-5.5146
1970,3,1,3,109,-2.4738
1970,3,1,4,89,-0.2240
1970,3,1,5,90,0.1662
1970,3,2,1,102,-5.5811
1970,3,2,2,71,-1.2971
1970,3,2,3,65,-0.7471
1970,3,2,4,54,-0.2854
1970,3,2,5,64,0.6590
1970,3,3,1,117,-3.2226
1970,3,3,2,108,-0.4522
1970,3,3,3,102,0.1051
1970,3,3,4,114,2.3107
1970,3,3,5,112,2.3333
1970,4,1,1,273,-23.1800
1970,4,1,2,112,-17.2030
1970,4,1,3,109,-16.7770
1970,4,1,4,89,-11.3485
1970,4,1,5,90,-11.0109
1970,4,2,1,102,-22.7261
1970,4,2,2,71,-13.5806
1970,4,2,3,65,-12.7327
1970,4,2,4,54,-11.6514
1970,4,2,5,64,-9.3771
1970,4,3,1,117,-11.3389
1970,4,3,2,108,-9.0422
1970,4,3,3,102,-10.5514
1970,4,3,4,114,-8.5905
1970,4,3,5,112,-7.3697
1970,5,1,1,273,-8.4918
1970,5,1,2,110,-9.8553
1970,5,1,3,109,-9.7632
1970,5,1,4,89,-7.9169
1970,5,1,5,90,-9.0963
1970,5,2,1,102,-11.3787
1970,5,2,2,71,-12.6994
1970,5,2,3,65,-8.2899
1970,5,2,4,54,-9.2833
1970,5,2,5,64,-7.7921
1970,5,3,1,117,-8.7759
1970,5,3,2,108,-5.7989
1970,5,3,3,102,-7.0396
1970,5,3,4,114,-4.7663
1970,5,3,5,112,-1.7098
1970,6,1,1,272,-10.4155
1970,6,1,2,110,-10.6999
1970,6,1,3,109,-9.3066
1970,6,1,4,88,-5.8264
1970,6,1,5,90,-4.9381
1970,6,2,1,101,-9.1545
1970,6,2,2,70,-8.8908
1970,6,2,3,64,-6.7327
1970,6,2,4,54,-5.6455
1970,6,2,5,64,-3.1610
1970,6,3,1,117,-7.6817
1970,6,3,2,108,-2.8721
1970,6,3,3,102,-3.7585
1970,6,3,4,114,-5.8932
1970,6,3,5,112,-3.5826
1970,7,1,1,200,3.8753
1970,7,1,2,152,7.9191
1970,7,1,3,118,5.6416
1970,7,1,4,104,3.1792
1970,7,1,5,178,6.0918
1970,7,2,1,97,5.4222
1970,7,2,2,82,8.4911
1970,7,2,3,71,7.7437
1970,7,2,4,60,7.8086
1970,7,2,5,70,7.4208
1970,7,3,1,138,4.0245
1970,7,3,2,117,8.4859
1970,7,3,3,110,9.9113
1970,7,3,4,117,9.7777
1970,7,3,5,87,7.6346
1970,8,1,1,200,5.9561
1970,8,1,2,152,5.3929
1970,8,1,3,118,6.9167
1970,8,1,4,104,7.7016
1970,8,1,5,178,5.4635
1970,8,2,1,97,7.3833
1970,8,2,2,81,5.2120
1970,8,2,3,71,5.4417
1970,8,2,4,60,8.7870
1970,8,2,5,70,6.4229
1970,8,3,1,138,4.0686
1970,8,3,2,117,4.2673
1970,8,3,3,110,4.2575
1970,8,3,4,117,6.7222
1970,8,3,5,86,5.6679
1970,9,1,1,199,20.3960
1970,9,1,2,152,15.6876
1970,9,1,3,117,13.5085
1970,9,1,4,104,10.9283
1970,9,1,5,178,12.6819
1970,9,2,1,96,15.7840
