year,month,rank_ME,rank_DP,nstocks,ret_vw
1970,4,1,1,108,-21.9362
1970,4,1,2,106,-16.6618
1970,4,1,3,90,-13.9049
1970,4,1,4,79,-10.9101
1970,4,1,5,75,-6.2656
1970,4,2,1,75,-17.9065
1970,4,2,2,65,-16.6803
1970,4,2,3,68,-12.4441
1970,4,2,4,57,-9.8391
1970,4,2,5,49,-7.3849
1970,4,3,1,121,-11.1302
1970,4,3,2,112,-10.9175
1970,4,3,3,94,-8.7305
1970,4,3,4,100,-7.6932
1970,4,3,5,112,-6.7231
1970,5,1,1,107,-12.1927
1970,5,1,2,105,-9.4898
1970,5,1,3,90,-8.3962
1970,5,1,4,78,-8.1140
1970,5,1,5,75,-7.5152
1970,5,2,1,75,-11.8634
1970,5,2,2,65,-11.8552
1970,5,2,3,68,-8.4262
1970,5,2,4,57,-8.9747
1970,5,2,5,49,-6.0168
1970,5,3,1,121,-8.6620
1970,5,3,2,112,-7.5770
1970,5,3,3,94,-6.0770
1970,5,3,4,100,-2.6834
1970,5,3,5,112,-2.6709
1970,6,1,1,107,-8.9544
1970,6,1,2,105,-6.2043
1970,6,1,3,89,-7.3544
1970,6,1,4,78,-6.9525
1970,6,1,5,75,-4.1681
1970,6,2,1,75,-6.6833
1970,6,2,2,64,-7.0870
1970,6,2,3,68,-5.6297
1970,6,2,4,57,-6.2236
1970,6,2,5,48,-4.2548
1970,6,3,1,121,-7.6980
1970,6,3,2,112,-3.7981
1970,6,3,3,94,-0.1274
1970,6,3,4,100,-5.7817
1970,6,3,5,112,-4.6131
1970,7,1,1,88,3.4745
1970,7,1,2,97,7.9452
1970,7,1,3,102,5.7094
1970,7,1,4,82,5.6321
1970,7,1,5,96,5.0447
1970,7,2,1,77,9.2237
1970,7,2,2,73,9.9418
1970,7,2,3,71,10.8330
1970,7,2,4,57,7.6159
1970,7,2,5,60,6.2752
1970,7,3,1,144,3.6086
1970,7,3,2,112,8.8563
1970,7,3,3,96,8.5324
1970,7,3,4,103,11.1993
1970,7,3,5,98,7.5220
1970,8,1,1,88,5.8729
1970,8,1,2,97,5.7483
1970,8,1,3,102,5.2940
1970,8,1,4,82,6.3406
1970,8,1,5,96,5.3369
1970,8,2,1,76,4.9281
1970,8,2,2,73,7.0944
1970,8,2,3,71,5.0288
1970,8,2,4,57,7.2876
1970,8,2,5,60,8.2131
1970,8,3,1,143,4.4184
1970,8,3,2,112,3.1898
1970,8,3,3,96,5.2008
1970,8,3,4,103,5.9047
1970,8,3,5,98,6.2364
1970,9,1,1,88,14.9739
1970,9,1,2,97,13.1171
1970,9,1,3,102,13.5846
1970,9,1,4,82,10.3221
1970,9,1,5,96,6.5074
1970,9,2,1,75,11.1274
1970,9,2,2,73,12.4421
1970,9,2,3,71,7.6608
1970,9,2,4,57,8.0800
1970,9,2,5,60,7.9462
1970,9,3,1,143,7.4726
1970,9,3,2,111,2.9651
1970,9,3,3,96,2.2519
1970,9,3,4,103,0.1050
1970,9,3,5,98,1.6745
1970,10,1,1,88,-6.8996
1970,10,1,2,97,-5.7640
1970,10,1,3,102,-5.2930
1970,10,1,4,82,-6.3588
1970,10,1,5,96,-3.8662
1970,10,2,1,75,-4.9774
1970,10,2,2,73,-2.6455
1970,10,2,3,71,-4.6107
1970,10,2,4,57,-5.3906
1970,10,2,5,60,-4.0786
1970,10,3,1,143,-0.2145
1970,10,3,2,111,-0.8031
1970,10,3,3,96,-1.6870
1970,10,3,4,103,-0.5249
1970,10,3,5,98,-3.4061
1970,11,1,1,88,-1.1394
1970,11,1,2,97,-2.0710
1970,11,1,3,102,-0.8673
1970,11,1,4,81,0.3616
1970,11,1,5,96,2.5401
1970,11,2,1,75,2.5224
1970,11,2,2,73,3.9599
1970,11,2,3,70,4.2677
1970,11,2,4,57,4.9999
1970,11,2,5,60,3.4015
1970,11,3,1,143,4.8064
1970,11,3,2,111,4.3806
1970,11,3,3,96,5.2572
