year,month,rank_ME,rank_OP,nstocks,ret_vw
1976,11,2,4,91,4.8783
1976,11,2,5,90,3.2847
1976,11,3,1,165,-1.3933
1976,11,3,2,143,-0.3907
1976,11,3,3,118,1.3712
1976,11,3,4,111,2.0466
1976,11,3,5,91,1.7132
1976,12,1,1,304,9.4274
1976,12,1,2,215,9.1972
1976,12,1,3,203,9.5795
1976,12,1,4,213,8.7034
1976,12,1,5,269,8.7792
1976,12,2,1,106,9.1402
1976,12,2,2,99,9.2300
1976,12,2,3,94,11.6493
1976,12,2,4,91,7.7751
1976,12,2,5,90,7.2946
1976,12,3,1,165,3.3312
1976,12,3,2,143,4.9852
1976,12,3,3,119,7.1127
1976,12,3,4,111,6.2106
1976,12,3,5,91,6.2294
1977,1,1,1,300,2.0414
1977,1,1,2,214,3.9589
1977,1,1,3,202,3.6019
1977,1,1,4,212,3.0748
1977,1,1,5,268,4.9310
1977,1,2,1,104,0.6260
1977,1,2,2,99,0.5746
1977,1,2,3,94,0.5544
1977,1,2,4,91,2.6698
1977,1,2,5,90,3.0121
1977,1,3,1,164,-9.0657
1977,1,3,2,143,-5.2368
1977,1,3,3,119,-3.0488
1977,1,3,4,111,0.0347
1977,1,3,5,91,1.2521
1977,2,1,1,297,0.0529
1977,2,1,2,211,-0.3330
1977,2,1,3,200,0.3075
1977,2,1,4,209,0.0664
1977,2,1,5,264,-0.1390
1977,2,2,1,101,-1.7276
1977,2,2,2,98,-0.8489
1977,2,2,3,93,1.8236
1977,2,2,4,91,-1.1076
1977,2,2,5,90,-2.2294
1977,2,3,1,164,-2.7120
1977,2,3,2,143,-0.3069
1977,2,3,3,116,-2.5875
