year,month,rank_ME,rank_OCP,nstocks,ret_vw
1975,8,1,1,207,-7.1791
1975,8,1,2,245,-5.1884
1975,8,1,3,261,-6.8474
1975,8,1,4,284,-5.7307
1975,8,1,5,401,-6.6328
1975,8,2,1,104,-4.3368
1975,8,2,2,117,-3.5259
1975,8,2,3,115,-4.4414
1975,8,2,4,103,-3.1419
1975,8,2,5,82,-4.7696
1975,8,3,1,197,-2.5191
1975,8,3,2,157,-0.3601
1975,8,3,3,129,-2.0751
1975,8,3,4,97,0.7950
1975,8,3,5,75,-2.9050
1975,9,1,1,208,-3.5799
1975,9,1,2,245,-2.4480
1975,9,1,3,262,-2.6993
1975,9,1,4,284,-3.8625
1975,9,1,5,401,-3.8691
1975,9,2,1,104,-4.1690
1975,9,2,2,117,-3.1198
1975,9,2,3,114,-4.4920
1975,9,2,4,103,-3.0825
1975,9,2,5,82,-2.3180
1975,9,3,1,197,-4.1956
1975,9,3,2,157,-3.3319
1975,9,3,3,129,-1.6470
1975,9,3,4,97,-2.9491
1975,9,3,5,75,-3.1038
1975,10,1,1,208,2.3074
1975,10,1,2,244,1.6042
1975,10,1,3,262,2.2997
1975,10,1,4,283,4.0772
1975,10,1,5,399,0.1562
1975,10,2,1,104,1.8912
1975,10,2,2,117,3.3406
1975,10,2,3,115,2.0924
1975,10,2,4,103,5.9672
1975,10,2,5,82,1.0600
1975,10,3,1,197,9.3072
1975,10,3,2,157,2.8749
1975,10,3,3,129,6.4168
1975,10,3,4,97,4.0206
1975,10,3,5,75,4.9694
1975,11,1,1,208,0.2322
1975,11,1,2,243,3.5902
1975,11,1,3,262,3.4624
1975,11,1,4,284,3.2107
1975,11,1,5,399,3.3583
1975,11,2,1,104,2.5509
1975,11,2,2,117,2.2993
1975,11,2,3,115,2.3109
1975,11,2,4,103,5.9245
1975,11,2,5,82,2.6745
1975,11,3,1,196,4.0496
1975,11,3,2,157,0.5078
1975,11,3,3,128,2.5844
1975,11,3,4,97,2.2436
1975,11,3,5,75,6.4557
1975,12,1,1,208,-0.8610
1975,12,1,2,244,-1.7553
1975,12,1,3,262,-1.0935
1975,12,1,4,284,-0.6282
1975,12,1,5,396,-2.5977
1975,12,2,1,104,-2.6605
1975,12,2,2,117,-2.7367
1975,12,2,3,115,-0.3004
1975,12,2,4,103,-0.2532
1975,12,2,5,82,-0.3951
1975,12,3,1,197,-3.3138
1975,12,3,2,157,0.0273
1975,12,3,3,129,0.5745
1975,12,3,4,97,0.8303
1975,12,3,5,75,0.6364
1976,1,1,1,207,20.3638
1976,1,1,2,244,20.4406
1976,1,1,3,260,23.0337
1976,1,1,4,284,22.6221
1976,1,1,5,398,25.4732
1976,1,2,1,104,14.7671
1976,1,2,2,116,18.8610
1976,1,2,3,115,19.0316
1976,1,2,4,103,19.0704
1976,1,2,5,82,20.2000
1976,1,3,1,197,11.2703
1976,1,3,2,156,11.9257
1976,1,3,3,129,11.2027
1976,1,3,4,97,15.3017
1976,1,3,5,75,15.6425
1976,2,1,1,200,10.1511
1976,2,1,2,234,10.2846
1976,2,1,3,251,10.6351
1976,2,1,4,270,12.2458
1976,2,1,5,388,12.1266
1976,2,2,1,104,7.2601
1976,2,2,2,115,4.8078
1976,2,2,3,115,6.4540
1976,2,2,4,102,9.0444
