year,month,rank_ME,rank_CP,nstocks,ret_vw
1971,5,2,5,68,-5.2385
1971,5,3,1,143,-2.5456
1971,5,3,2,114,-3.3130
1971,5,3,3,112,-4.1564
1971,5,3,4,111,-4.2003
1971,5,3,5,86,-4.3482
1971,6,1,1,211,-3.8864
1971,6,1,2,163,-1.3954
1971,6,1,3,128,-0.1394
1971,6,1,4,121,-3.5282
1971,6,1,5,149,-1.1545
1971,6,2,1,103,1.3587
1971,6,2,2,72,-0.6816
1971,6,2,3,69,-0.5965
1971,6,2,4,66,-0.5858
1971,6,2,5,68,-1.8982
1971,6,3,1,142,1.1245
1971,6,3,2,114,1.3000
1971,6,3,3,112,0.0876
1971,6,3,4,111,-0.3552
1971,6,3,5,86,-0.5811
1971,7,1,1,171,-8.1160
1971,7,1,2,130,-7.2162
1971,7,1,3,148,-7.2686
1971,7,1,4,124,-5.2571
1971,7,1,5,211,-5.7104
1971,7,2,1,86,-6.5021
1971,7,2,2,67,-4.2642
1971,7,2,3,78,-4.2869
1971,7,2,4,74,-5.0411
1971,7,2,5,90,-4.2248
1971,7,3,1,161,-4.5917
1971,7,3,2,138,-3.1701
1971,7,3,3,102,-3.4261
1971,7,3,4,105,-3.5643
1971,7,3,5,75,-5.8924
1971,8,1,1,171,2.2317
1971,8,1,2,130,3.0693
1971,8,1,3,148,5.2002
1971,8,1,4,124,5.1471
1971,8,1,5,211,5.6677
1971,8,2,1,86,3.5951
1971,8,2,2,67,5.4996
1971,8,2,3,78,5.2037
1971,8,2,4,74,3.8224
1971,8,2,5,90,4.8558
1971,8,3,1,161,5.3889
1971,8,3,2,137,5.5649
1971,8,3,3,101,1.7008
1971,8,3,4,105,0.5743
1971,8,3,5,75,6.9932
1971,9,1,1,171,-0.4480
1971,9,1,2,130,0.2200
1971,9,1,3,148,0.4243
1971,9,1,4,124,0.4064
