year,month,rank_ME,rank_Rev_12,nstocks,ret_vw
1971,6,1,5,320,-2.7561
1971,6,2,1,127,-2.2282
1971,6,2,2,175,0.6408
1971,6,2,3,206,-0.8851
1971,6,2,4,202,-1.5668
1971,6,2,5,168,0.1297
1971,6,3,1,207,-0.3079
1971,6,3,2,312,0.0195
1971,6,3,3,326,0.6786
1971,6,3,4,280,0.8199
1971,6,3,5,197,0.7353
1971,7,1,1,264,-7.9489
1971,7,1,2,335,-4.9248
1971,7,1,3,353,-4.1520
1971,7,1,4,366,-4.1957
1971,7,1,5,304,-6.3660
1971,7,2,1,125,-6.4315
1971,7,2,2,184,-4.1172
1971,7,2,3,210,-3.7613
1971,7,2,4,201,-3.0348
1971,7,2,5,170,-5.2439
1971,7,3,1,206,-5.9433
1971,7,3,2,306,-3.0610
1971,7,3,3,322,-3.0506
1971,7,3,4,287,-3.2134
1971,7,3,5,203,-5.7191
1971,8,1,1,273,8.3704
1971,8,1,2,341,4.1584
1971,8,1,3,351,3.1065
1971,8,1,4,362,2.8338
1971,8,1,5,298,3.0387
1971,8,2,1,126,8.1228
1971,8,2,2,185,4.8535
1971,8,2,3,206,4.0838
1971,8,2,4,201,4.3089
1971,8,2,5,170,5.7457
1971,8,3,1,202,6.9750
1971,8,3,2,305,2.4934
1971,8,3,3,328,2.6715
1971,8,3,4,298,4.5563
1971,8,3,5,209,4.7430
1971,9,1,1,281,-2.5306
1971,9,1,2,353,-1.1203
1971,9,1,3,344,-0.2669
