year,month,rank_ME,rank_EM,nstocks,ret_vw
1971,5,1,3,113,-6.2608
1971,5,1,4,117,-6.8825
1971,5,1,5,168,-7.3671
1971,5,2,1,60,-4.5489
1971,5,2,2,55,-4.6130
1971,5,2,3,71,-6.3290
1971,5,2,4,62,-2.2843
1971,5,2,5,84,-2.9051
1971,5,3,1,69,-4.5348
1971,5,3,2,94,-4.2078
1971,5,3,3,87,-3.6299
1971,5,3,4,97,-2.9759
1971,5,3,5,123,-2.8949
1971,6,1,1,185,-2.6066
1971,6,1,2,117,0.1025
1971,6,1,3,113,-2.4158
1971,6,1,4,117,-2.2918
1971,6,1,5,168,-3.3268
1971,6,2,1,60,-1.7648
1971,6,2,2,55,-0.7247
1971,6,2,3,71,-1.7861
1971,6,2,4,62,1.7256
1971,6,2,5,83,0.3373
1971,6,3,1,69,-1.8396
1971,6,3,2,94,0.2964
1971,6,3,3,87,-0.5609
1971,6,3,4,97,1.0804
1971,6,3,5,123,0.7031
1971,7,1,1,282,-5.8785
1971,7,1,2,105,-5.4899
1971,7,1,3,101,-7.1129
1971,7,1,4,117,-9.2664
1971,7,1,5,162,-7.1922
1971,7,2,1,88,-5.0548
1971,7,2,2,86,-4.1622
1971,7,2,3,53,-6.3026
1971,7,2,4,69,-5.3432
1971,7,2,5,62,-6.8703
1971,7,3,1,56,-2.6875
1971,7,3,2,80,-5.1369
1971,7,3,3,121,-3.8453
1971,7,3,4,123,-4.1460
1971,7,3,5,125,-4.8687
1971,8,1,1,282,5.2811
1971,8,1,2,105,4.6187
1971,8,1,3,101,5.2733
1971,8,1,4,117,3.4544
1971,8,1,5,162,3.5208
1971,8,2,1,88,6.1566
1971,8,2,2,86,5.2846
1971,8,2,3,53,6.7017
1971,8,2,4,69,5.0539
1971,8,2,5,62,3.1707
1971,8,3,1,56,0.4989
1971,8,3,2,80,7.3428
1971,8,3,3,119,2.6476
1971,8,3,4,123,6.4325
1971,8,3,5,125,5.3688
1971,9,1,1,282,1.1351
1971,9,1,2,105,-0.9020
1971,9,1,3,101,-1.6977
1971,9,1,4,117,1.2948
