year,month,rank_ME,rank_BM,nstocks,ret_vw
1971,4,2,5,66,5.5100
1971,4,3,1,158,3.4864
1971,4,3,2,115,5.3795
1971,4,3,3,111,1.8459
1971,4,3,4,111,2.6302
1971,4,3,5,67,6.5197
1971,5,1,1,144,-6.5022
1971,5,1,2,143,-5.9508
1971,5,1,3,144,-7.4395
1971,5,1,4,157,-4.7395
1971,5,1,5,198,-6.3798
1971,5,2,1,101,-2.6168
1971,5,2,2,80,-4.7871
1971,5,2,3,65,-5.8764
1971,5,2,4,55,-3.3723
1971,5,2,5,66,-4.6510
1971,5,3,1,158,-2.4828
1971,5,3,2,115,-3.7741
1971,5,3,3,111,-3.8833
1971,5,3,4,111,-4.6514
1971,5,3,5,67,-4.3759
1971,6,1,1,143,-1.1327
1971,6,1,2,142,-3.4127
1971,6,1,3,143,-2.4678
1971,6,1,4,156,-1.0719
1971,6,1,5,198,-2.6312
1971,6,2,1,100,1.6372
1971,6,2,2,80,-0.5042
1971,6,2,3,65,-0.7274
1971,6,2,4,55,-1.9770
1971,6,2,5,66,-1.7793
1971,6,3,1,158,1.0263
1971,6,3,2,115,-0.3495
1971,6,3,3,111,0.4793
1971,6,3,4,111,0.6868
1971,6,3,5,67,-1.7521
1971,7,1,1,83,-8.1083
1971,7,1,2,131,-8.2734
1971,7,1,3,135,-7.7008
1971,7,1,4,179,-5.7716
1971,7,1,5,333,-6.0117
1971,7,2,1,84,-6.3065
1971,7,2,2,84,-4.0293
1971,7,2,3,86,-3.4925
1971,7,2,4,81,-5.5971
1971,7,2,5,67,-5.1730
1971,7,3,1,184,-4.0137
1971,7,3,2,148,-4.7541
1971,7,3,3,112,-3.4846
1971,7,3,4,89,-3.7757
1971,7,3,5,50,-6.4995
1971,8,1,1,83,2.5380
1971,8,1,2,131,3.8001
1971,8,1,3,135,3.1373
1971,8,1,4,179,4.8609
1971,8,1,5,332,5.6009
1971,8,2,1,84,2.6118
1971,8,2,2,84,5.3068
1971,8,2,3,86,3.0131
1971,8,2,4,81,5.1365
1971,8,2,5,67,7.2264
1971,8,3,1,183,5.5175
1971,8,3,2,148,4.6764
1971,8,3,3,111,-1.2044
1971,8,3,4,89,2.4193
1971,8,3,5,50,11.7772
1971,9,1,1,83,-0.0211
1971,9,1,2,131,2.3235
1971,9,1,3,135,0.0008
1971,9,1,4,179,-0.5230
