year,month,rank_ME,rank_DTV_12,nstocks,ret_vw
1969,8,3,3,248,3.4250
1969,8,3,4,308,4.6291
1969,8,3,5,292,5.1760
1969,9,1,1,768,-1.9908
1969,9,1,2,491,-3.4066
1969,9,1,3,285,-3.3481
1969,9,1,4,110,-3.7912
1969,9,1,5,8,-8.2475
1969,9,2,1,180,-1.7504
1969,9,2,2,282,0.4197
1969,9,2,3,293,-0.4643
1969,9,2,4,210,-1.7872
1969,9,2,5,77,-2.5738
1969,9,3,1,62,0.1735
1969,9,3,2,139,-2.7743
1969,9,3,3,249,-1.9110
1969,9,3,4,318,-1.1031
1969,9,3,5,292,-3.0442
1969,10,1,1,780,8.9017
1969,10,1,2,486,11.3787
1969,10,1,3,270,12.1550
1969,10,1,4,102,14.0148
1969,10,1,5,10,16.3571
1969,10,2,1,184,5.1222
1969,10,2,2,289,8.4160
1969,10,2,3,296,8.5523
1969,10,2,4,207,9.6288
1969,10,2,5,68,6.1424
1969,10,3,1,59,3.1890
1969,10,3,2,141,5.9184
1969,10,3,3,247,7.3379
1969,10,3,4,321,7.2697
1969,10,3,5,296,4.2998
1969,11,1,1,799,-5.4904
1969,11,1,2,480,-7.5409
1969,11,1,3,253,-7.6788
1969,11,1,4,99,-8.2836
1969,11,1,5,10,-17.0906
1969,11,2,1,190,-3.3814
1969,11,2,2,301,-3.5587
1969,11,2,3,300,-4.6839
1969,11,2,4,208,-5.7139
1969,11,2,5,69,-7.3466
1969,11,3,1,59,-2.7251
1969,11,3,2,141,-4.4172
1969,11,3,3,245,-2.9737
1969,11,3,4,331,-2.9487
1969,11,3,5,305,-2.7548
1969,12,1,1,802,-7.3264
1969,12,1,2,471,-8.0609
1969,12,1,3,258,-8.1524
1969,12,1,4,94,-7.5570
1969,12,1,5,11,-11.2407
1969,12,2,1,187,-4.8328
1969,12,2,2,309,-3.2445
1969,12,2,3,296,-4.4782
1969,12,2,4,205,-6.6274
1969,12,2,5,74,-9.0870
1969,12,3,1,61,-1.6312
1969,12,3,2,140,-1.5889
1969,12,3,3,248,-1.4666
1969,12,3,4,340,-1.2865
1969,12,3,5,308,-1.5334
1970,1,1,1,820,-1.2203
1970,1,1,2,457,-4.2415
1970,1,1,3,236,-5.9651
1970,1,1,4,91,-10.5054
1970,1,1,5,11,-5.1174
1970,1,2,1,187,-1.8287
1970,1,2,2,315,-5.1865
1970,1,2,3,302,-6.1042
1970,1,2,4,204,-9.4057
1970,1,2,5,76,-11.2421
1970,1,3,1,60,-2.8578
1970,1,3,2,139,-3.5398
1970,1,3,3,252,-4.1937
1970,1,3,4,346,-6.7859
1970,1,3,5,311,-8.4764
1970,2,1,1,827,2.7726
1970,2,1,2,458,2.8745
1970,2,1,3,243,2.7346
1970,2,1,4,96,1.0798
1970,2,1,5,14,6.0872
1970,2,2,1,193,3.2028
1970,2,2,2,322,3.6530
1970,2,2,3,303,5.1512
1970,2,2,4,208,3.1072
1970,2,2,5,79,1.8655
1970,2,3,1,60,-3.5105
1970,2,3,2,135,4.4694
1970,2,3,3,258,5.2546
1970,2,3,4,346,7.2703
1970,2,3,5,316,5.5444
1970,3,1,1,839,-2.3344
1970,3,1,2,451,-5.4923
1970,3,1,3,244,-5.0912
1970,3,1,4,92,-6.2444
1970,3,1,5,15,-9.8557
1970,3,2,1,194,1.5721
1970,3,2,2,327,-1.1772
1970,3,2,3,313,-2.7847
1970,3,2,4,206,-4.9815
1970,3,2,5,82,-7.1976
1970,3,3,1,56,0.9975
1970,3,3,2,131,1.2636
1970,3,3,3,256,1.2687
1970,3,3,4,347,-0.2738
1970,3,3,5,314,-0.3074
1970,4,1,1,841,-15.4734
1970,4,1,2,427,-19.7457
