year,month,rank_ME,rank_ISq_1,nstocks,ret_vw
1970,11,2,3,92,3.0786
1970,11,2,4,107,1.1032
1970,11,2,5,101,3.0758
1970,11,3,1,121,5.7242
1970,11,3,2,133,5.6818
1970,11,3,3,143,5.8177
1970,11,3,4,108,4.1650
1970,11,3,5,119,4.6254
1970,12,1,1,238,10.4882
1970,12,1,2,219,9.8552
1970,12,1,3,166,10.4666
1970,12,1,4,201,8.3111
1970,12,1,5,203,8.2949
1970,12,2,1,98,11.0599
1970,12,2,2,92,6.8571
1970,12,2,3,91,8.1245
1970,12,2,4,97,8.9969
1970,12,2,5,94,9.3028
1970,12,3,1,133,4.6578
1970,12,3,2,113,6.7490
1970,12,3,3,130,6.0134
1970,12,3,4,112,6.9159
1970,12,3,5,135,4.7307
1971,1,1,1,138,15.8602
1971,1,1,2,180,19.3734
1971,1,1,3,226,14.7301
1971,1,1,4,199,15.8526
1971,1,1,5,292,15.3203
1971,1,2,1,85,9.9627
1971,1,2,2,93,9.5395
1971,1,2,3,87,10.6513
1971,1,2,4,94,10.0444
1971,1,2,5,109,9.6152
1971,1,3,1,138,4.1264
1971,1,3,2,137,4.6673
1971,1,3,3,126,4.7144
1971,1,3,4,122,3.8540
1971,1,3,5,99,6.1853
1971,2,1,1,135,5.9921
1971,2,1,2,187,8.6093
1971,2,1,3,188,7.2371
1971,2,1,4,229,6.8196
1971,2,1,5,296,5.3267
1971,2,2,1,84,2.0826
1971,2,2,2,93,3.8323
1971,2,2,3,82,2.8817
1971,2,2,4,105,2.9495
1971,2,2,5,102,3.0338
1971,2,3,1,144,1.0454
1971,2,3,2,125,2.4479
1971,2,3,3,130,0.8629
1971,2,3,4,120,1.7975
1971,2,3,5,101,2.0041
1971,3,1,1,141,4.8130
1971,3,1,2,180,7.4953
1971,3,1,3,198,7.5099
1971,3,1,4,196,4.6530
1971,3,1,5,308,5.5966
1971,3,2,1,84,5.0296
1971,3,2,2,103,5.6645
1971,3,2,3,93,5.1755
1971,3,2,4,93,5.9043
1971,3,2,5,101,8.3707
1971,3,3,1,144,3.4016
1971,3,3,2,132,4.7588
1971,3,3,3,122,3.0483
1971,3,3,4,114,5.1888
1971,3,3,5,111,3.9666
1971,4,1,1,151,3.0987
1971,4,1,2,165,1.9844
1971,4,1,3,183,2.0527
1971,4,1,4,224,2.9141
1971,4,1,5,303,1.9432
1971,4,2,1,91,2.6953
1971,4,2,2,91,2.2907
1971,4,2,3,84,4.4703
1971,4,2,4,105,3.7097
1971,4,2,5,105,2.8268
1971,4,3,1,143,3.8074
1971,4,3,2,138,4.6214
1971,4,3,3,114,4.0240
1971,4,3,4,117,2.8042
1971,4,3,5,111,2.6271
1971,5,1,1,154,-7.5111
1971,5,1,2,189,-5.2809
1971,5,1,3,189,-5.9086
1971,5,1,4,217,-5.2337
1971,5,1,5,277,-6.4985
1971,5,2,1,87,-2.9731
1971,5,2,2,90,-6.2412
1971,5,2,3,105,-4.9895
1971,5,2,4,99,-3.1507
1971,5,2,5,95,-5.2306
1971,5,3,1,134,-3.4152
1971,5,3,2,132,-4.7958
1971,5,3,3,125,-1.5607
1971,5,3,4,120,-3.5760
1971,5,3,5,113,-2.1604
1971,6,1,1,202,-2.6514
1971,6,1,2,167,-2.5369
1971,6,1,3,218,-1.8683
1971,6,1,4,198,-2.7020
1971,6,1,5,238,-3.4729
1971,6,2,1,87,-0.9682
1971,6,2,2,85,0.7834
1971,6,2,3,94,-1.7399
1971,6,2,4,98,-1.1477
1971,6,2,5,113,-1.9923
1971,6,3,1,135,0.3021
1971,6,3,2,137,1.1785
1971,6,3,3,131,-1.5401
1971,6,3,4,111,1.0548
1971,6,3,5,114,1.1935
1971,7,1,1,206,-5.9668
1971,7,1,2,183,-6.5961
1971,7,1,3,183,-5.4458
1971,7,1,4,198,-8.0032
1971,7,1,5,257,-7.3792
1971,7,2,1,89,-5.6282
1971,7,2,2,77,-4.8656
1971,7,2,3,96,-4.8483
1971,7,2,4,104,-3.7287
1971,7,2,5,108,-4.5068
1971,7,3,1,124,-3.7912
1971,7,3,2,138,-3.1882
1971,7,3,3,121,-4.9057
1971,7,3,4,126,-5.2990
1971,7,3,5,116,-3.5419
1971,8,1,1,192,4.4745
1971,8,1,2,189,4.1554
1971,8,1,3,201,4.2296
1971,8,1,4,195,5.7412
1971,8,1,5,259,2.6358
1971,8,2,1,85,4.4335
1971,8,2,2,97,5.3418
