year,month,rank_ME,rank_ADM,nstocks,ret_vw
1977,6,2,2,46,7.1265
1977,6,2,3,48,7.4517
1977,6,2,4,43,9.1809
1977,6,2,5,45,7.4498
1977,6,3,1,92,4.7742
1977,6,3,2,90,5.6325
1977,6,3,3,66,5.1366
1977,6,3,4,50,3.6916
1977,6,3,5,23,5.6613
1977,7,1,1,203,0.5643
1977,7,1,2,197,1.9402
1977,7,1,3,158,1.3860
1977,7,1,4,206,1.4316
1977,7,1,5,255,-0.3848
1977,7,2,1,67,-1.5390
1977,7,2,2,49,-0.5299
1977,7,2,3,49,-0.3127
1977,7,2,4,42,1.0927
1977,7,2,5,44,-0.6647
1977,7,3,1,88,-2.7579
1977,7,3,2,74,-1.4836
1977,7,3,3,71,-1.3595
1977,7,3,4,45,0.5679
1977,7,3,5,30,0.7200
1977,8,1,1,202,1.2978
1977,8,1,2,197,-0.5169
1977,8,1,3,158,-0.5576
1977,8,1,4,206,-0.4125
1977,8,1,5,253,-1.5659
1977,8,2,1,66,-0.5110
1977,8,2,2,48,0.5139
1977,8,2,3,49,0.7313
1977,8,2,4,40,0.7609
1977,8,2,5,43,0.5322
1977,8,3,1,88,-0.2293
1977,8,3,2,74,2.5321
1977,8,3,3,71,0.5752
1977,8,3,4,44,-0.0016
1977,8,3,5,29,0.4651
1977,9,1,1,203,1.9744
1977,9,1,2,196,1.2482
1977,9,1,3,157,1.7931
1977,9,1,4,205,2.7572
1977,9,1,5,251,1.6275
1977,9,2,1,66,2.0370
1977,9,2,2,48,0.5921
1977,9,2,3,49,2.1722
1977,9,2,4,38,-0.8056
1977,9,2,5,42,0.0215
1977,9,3,1,88,-0.8866
1977,9,3,2,74,-1.5164
1977,9,3,3,71,-0.8619
1977,9,3,4,44,-0.1690
1977,9,3,5,29,-0.6299
1977,10,1,1,202,-4.5472
1977,10,1,2,194,-1.6705
1977,10,1,3,157,-2.0625
1977,10,1,4,205,-2.4197
1977,10,1,5,251,-1.8783
1977,10,2,1,66,-2.5358
1977,10,2,2,48,-2.1469
1977,10,2,3,49,-3.4398
1977,10,2,4,38,-3.2382
1977,10,2,5,42,-2.7001
1977,10,3,1,88,-5.7925
1977,10,3,2,74,-3.3214
1977,10,3,3,71,-3.6880
1977,10,3,4,44,-4.7692
1977,10,3,5,29,-4.4941
1977,11,1,1,201,7.9648
1977,11,1,2,193,10.0763
1977,11,1,3,157,9.9012
1977,11,1,4,204,9.2961
1977,11,1,5,249,7.9814
1977,11,2,1,66,9.8474
1977,11,2,2,48,8.9588
1977,11,2,3,49,8.4172
1977,11,2,4,38,8.5943
1977,11,2,5,42,8.3421
1977,11,3,1,88,2.9240
1977,11,3,2,74,4.1293
1977,11,3,3,71,5.0289
1977,11,3,4,44,5.6809
1977,11,3,5,29,4.8313
1977,12,1,1,199,7.0677
1977,12,1,2,195,3.9943
1977,12,1,3,157,2.5295
1977,12,1,4,203,1.1093
1977,12,1,5,248,-0.0760
1977,12,2,1,66,3.0839
1977,12,2,2,48,1.4908
1977,12,2,3,49,2.0565
1977,12,2,4,38,0.5141
1977,12,2,5,42,2.2618
1977,12,3,1,88,-0.2468
1977,12,3,2,74,-0.9067
1977,12,3,3,70,-0.1403
1977,12,3,4,44,0.0487
1977,12,3,5,29,0.2535
1978,1,1,1,198,-2.0606
1978,1,1,2,192,-1.7403
1978,1,1,3,157,0.1602
1978,1,1,4,202,-1.8431
1978,1,1,5,245,-0.0408
1978,1,2,1,66,-5.3728
1978,1,2,2,48,-5.6250
1978,1,2,3,49,-5.1877
1978,1,2,4,38,-3.7472
1978,1,2,5,41,-1.6680
1978,1,3,1,88,-6.7991
1978,1,3,2,74,-6.5716
1978,1,3,3,70,-5.2235
1978,1,3,4,44,-4.5600
1978,1,3,5,29,-3.9068
1978,2,1,1,195,2.8187
1978,2,1,2,190,3.8248
1978,2,1,3,157,3.9115
1978,2,1,4,202,3.2189
1978,2,1,5,243,5.3535
1978,2,2,1,63,0.9445
1978,2,2,2,48,1.0872
1978,2,2,3,49,3.4820
1978,2,2,4,38,1.0090
1978,2,2,5,41,1.0761
1978,2,3,1,88,-4.3649
1978,2,3,2,74,-1.3446
1978,2,3,3,70,-1.4339
1978,2,3,4,44,-1.8843
1978,2,3,5,29,-2.1503
