year,month,rank_ME,rank_ETR,nstocks,ret_vw
1971,1,2,2,41,10.4231
1971,1,2,3,40,10.4549
1971,1,2,4,65,9.4349
1971,1,2,5,58,8.1669
1971,1,3,1,76,4.5624
1971,1,3,2,119,2.6259
1971,1,3,3,121,3.3852
1971,1,3,4,90,6.3790
1971,1,3,5,85,7.3831
1971,2,1,1,135,3.7063
1971,2,1,2,47,4.7693
1971,2,1,3,48,3.9292
1971,2,1,4,60,4.8771
1971,2,1,5,133,5.3906
1971,2,2,1,47,3.0668
1971,2,2,2,40,1.6409
1971,2,2,3,40,3.6506
1971,2,2,4,65,3.2446
1971,2,2,5,58,2.3145
1971,2,3,1,76,2.5734
1971,2,3,2,119,0.9582
1971,2,3,3,120,1.9285
1971,2,3,4,90,0.3390
1971,2,3,5,85,1.6327
1971,3,1,1,135,7.1739
1971,3,1,2,47,7.2793
1971,3,1,3,48,7.5979
1971,3,1,4,60,5.9119
1971,3,1,5,133,4.5697
1971,3,2,1,47,3.6658
1971,3,2,2,40,5.7143
1971,3,2,3,40,5.8987
1971,3,2,4,65,6.5384
1971,3,2,5,58,6.5586
1971,3,3,1,76,2.5068
1971,3,3,2,119,2.7667
1971,3,3,3,120,5.1042
1971,3,3,4,90,3.7950
1971,3,3,5,84,4.6308
1971,4,1,1,135,3.4971
1971,4,1,2,46,3.8935
1971,4,1,3,48,2.5861
1971,4,1,4,60,1.1487
1971,4,1,5,133,1.1972
1971,4,2,1,47,1.9864
1971,4,2,2,40,3.3015
1971,4,2,3,39,5.2746
1971,4,2,4,64,4.0134
1971,4,2,5,57,5.8950
1971,4,3,1,76,3.8292
1971,4,3,2,119,3.0880
1971,4,3,3,120,3.3755
1971,4,3,4,90,3.2033
1971,4,3,5,84,7.1387
1971,5,1,1,134,-5.4761
1971,5,1,2,46,-5.5391
1971,5,1,3,48,-6.1461
1971,5,1,4,59,-4.5012
1971,5,1,5,133,-6.3476
1971,5,2,1,47,-5.1422
1971,5,2,2,39,-4.9680
1971,5,2,3,40,-2.7214
1971,5,2,4,64,-3.9146
1971,5,2,5,57,-3.6616
1971,5,3,1,76,-2.9183
1971,5,3,2,119,-3.8465
1971,5,3,3,120,-3.9381
1971,5,3,4,90,-3.4497
1971,5,3,5,84,-2.7838
1971,6,1,1,133,-0.2909
1971,6,1,2,46,-5.1065
1971,6,1,3,47,-1.4880
1971,6,1,4,59,-1.2346
1971,6,1,5,133,-2.8861
1971,6,2,1,47,-2.2623
1971,6,2,2,39,-1.6717
1971,6,2,3,40,-1.3942
1971,6,2,4,64,1.1441
1971,6,2,5,57,1.9586
1971,6,3,1,76,-1.1417
1971,6,3,2,119,-0.1498
1971,6,3,3,119,0.4296
1971,6,3,4,90,2.5189
1971,6,3,5,84,-0.4458
1971,7,1,1,133,-5.2869
1971,7,1,2,54,-4.3393
1971,7,1,3,43,-5.8047
1971,7,1,4,56,-5.1285
1971,7,1,5,107,-6.0741
1971,7,2,1,64,-3.8386
1971,7,2,2,50,-3.2213
1971,7,2,3,52,-5.6016
1971,7,2,4,54,-2.4883
1971,7,2,5,56,-5.5855
1971,7,3,1,76,-5.4462
1971,7,3,2,110,-4.5950
1971,7,3,3,112,-3.7048
1971,7,3,4,111,-2.3463
1971,7,3,5,88,-5.1517
1971,8,1,1,133,5.6392
1971,8,1,2,54,3.2264
1971,8,1,3,43,7.3528
1971,8,1,4,56,5.1516
1971,8,1,5,107,4.9196
1971,8,2,1,64,6.4836
1971,8,2,2,50,4.0668
1971,8,2,3,52,2.8516
1971,8,2,4,54,4.5223
1971,8,2,5,56,7.5077
1971,8,3,1,76,4.6446
1971,8,3,2,110,4.7374
1971,8,3,3,111,4.0226
1971,8,3,4,111,0.9531
1971,8,3,5,88,6.9213
1971,9,1,1,133,0.3834
1971,9,1,2,54,-0.3938
1971,9,1,3,43,2.0621
1971,9,1,4,56,-2.1764
1971,9,1,5,107,0.5405
