year,month,rank_ME,rank_EPRD,nstocks,ret_vw
1970,8,2,4,18,11.7807
1970,8,2,5,23,6.4516
1970,8,3,1,68,4.6669
1970,8,3,2,66,4.5089
1970,8,3,3,48,4.5249
1970,8,3,4,47,5.8156
1970,8,3,5,35,2.6877
1970,9,1,1,0,
1970,9,1,2,6,14.5618
1970,9,1,3,9,8.0626
1970,9,1,4,10,12.0406
1970,9,1,5,17,7.9963
1970,9,2,1,8,8.6468
1970,9,2,2,3,19.9039
1970,9,2,3,19,5.1621
1970,9,2,4,18,8.2496
1970,9,2,5,22,13.0382
1970,9,3,1,68,5.2953
1970,9,3,2,66,2.1904
1970,9,3,3,48,3.4812
1970,9,3,4,47,0.2088
1970,9,3,5,35,2.0803
1970,10,1,1,0,
1970,10,1,2,6,-8.5886
1970,10,1,3,9,-5.7019
1970,10,1,4,10,-6.9880
1970,10,1,5,17,-3.9023
1970,10,2,1,8,-2.0740
1970,10,2,2,3,-9.4860
1970,10,2,3,19,-2.9524
1970,10,2,4,18,-6.0978
1970,10,2,5,22,-7.3756
1970,10,3,1,68,1.5165
1970,10,3,2,66,-0.2616
1970,10,3,3,48,-1.1061
1970,10,3,4,47,-4.1022
1970,10,3,5,35,-5.4388
1970,11,1,1,0,
1970,11,1,2,6,-3.2738
1970,11,1,3,9,-2.8559
1970,11,1,4,10,0.6347
1970,11,1,5,17,1.7054
1970,11,2,1,8,3.4346
1970,11,2,2,3,2.9625
1970,11,2,3,19,3.0240
1970,11,2,4,18,2.2792
1970,11,2,5,21,1.1815
1970,11,3,1,68,5.0905
1970,11,3,2,66,5.6504
1970,11,3,3,48,3.5341
1970,11,3,4,47,7.1158
1970,11,3,5,35,2.8222
1970,12,1,1,0,
1970,12,1,2,6,11.8292
1970,12,1,3,9,16.1062
1970,12,1,4,10,9.9968
1970,12,1,5,17,12.1033
1970,12,2,1,8,7.4554
1970,12,2,2,3,4.3194
1970,12,2,3,19,9.9578
1970,12,2,4,18,10.3590
1970,12,2,5,21,10.3561
1970,12,3,1,68,3.9947
1970,12,3,2,66,6.8411
1970,12,3,3,48,8.0155
1970,12,3,4,46,6.3151
1970,12,3,5,35,8.9425
1971,1,1,1,0,
1971,1,1,2,6,10.2987
1971,1,1,3,9,19.4684
1971,1,1,4,10,6.4015
1971,1,1,5,17,16.7790
1971,1,2,1,8,7.2109
1971,1,2,2,3,18.0352
1971,1,2,3,19,10.0738
1971,1,2,4,17,11.6394
1971,1,2,5,21,16.9295
1971,1,3,1,68,2.5869
1971,1,3,2,66,3.5467
1971,1,3,3,48,5.1019
1971,1,3,4,46,6.4899
1971,1,3,5,35,6.1609
1971,2,1,1,0,
1971,2,1,2,6,9.1142
1971,2,1,3,9,9.9066
1971,2,1,4,10,5.4604
1971,2,1,5,17,3.4391
1971,2,2,1,8,4.9598
1971,2,2,2,3,4.8883
1971,2,2,3,18,3.4045
1971,2,2,4,17,-0.5618
1971,2,2,5,21,1.0352
1971,2,3,1,68,3.5372
1971,2,3,2,66,2.6635
1971,2,3,3,47,1.8637
1971,2,3,4,46,-3.2464
1971,2,3,5,35,1.1696
1971,3,1,1,0,
1971,3,1,2,6,1.8816
1971,3,1,3,9,1.9399
1971,3,1,4,10,1.7123
1971,3,1,5,17,4.0574
1971,3,2,1,8,6.2560
1971,3,2,2,3,10.5080
1971,3,2,3,18,2.0254
1971,3,2,4,17,6.7913
1971,3,2,5,21,2.4584
1971,3,3,1,68,4.5654
1971,3,3,2,66,3.8071
1971,3,3,3,47,3.5577
1971,3,3,4,46,1.8831
1971,3,3,5,35,2.1560
1971,4,1,1,0,
1971,4,1,2,6,1.8057
1971,4,1,3,9,4.2622
1971,4,1,4,10,-0.9068
1971,4,1,5,17,2.2331
1971,4,2,1,8,1.1667
1971,4,2,2,3,9.6024
1971,4,2,3,18,8.3134
1971,4,2,4,17,7.0213
1971,4,2,5,21,10.0383
1971,4,3,1,68,3.3401
1971,4,3,2,66,5.7841
1971,4,3,3,47,5.4596
1971,4,3,4,46,4.9409
1971,4,3,5,35,4.9576
1971,5,1,1,0,
1971,5,1,2,6,-5.4110
1971,5,1,3,9,-9.2104
1971,5,1,4,10,-6.6934
1971,5,1,5,17,-6.6285
1971,5,2,1,8,-1.5991
1971,5,2,2,3,-11.4094
1971,5,2,3,18,-3.1669
1971,5,2,4,17,-2.7694
1971,5,2,5,21,-6.4423
1971,5,3,1,68,-4.6034
1971,5,3,2,66,-2.6812
1971,5,3,3,47,-3.6125
1971,5,3,4,46,-5.0578
1971,5,3,5,35,-3.6687
1971,6,1,1,0,
1971,6,1,2,6,-3.1602
1971,6,1,3,8,-1.5875
1971,6,1,4,10,-0.4675
1971,6,1,5,17,2.2949
1971,6,2,1,8,-0.9953
1971,6,2,2,3,3.4865
1971,6,2,3,18,-3.5285
1971,6,2,4,17,-2.9620
1971,6,2,5,21,-4.9564
1971,6,3,1,68,0.7126
1971,6,3,2,66,-0.0682
1971,6,3,3,47,-1.0715
1971,6,3,4,46,-1.7233
1971,6,3,5,35,-3.6860
1971,7,1,1,2,0.5416
1971,7,1,2,3,-4.7341
1971,7,1,3,21,-2.8334
1971,7,1,4,15,-6.2152
1971,7,1,5,30,-6.0284
1971,7,2,1,16,-0.2821
1971,7,2,2,11,-1.7147
