year,month,rank_ME,rank_DLS_1,nstocks,ret_vw
1985,8,3,2,165,-0.2205
1985,8,3,3,165,-0.1564
1985,8,3,4,129,-0.6308
1985,8,3,5,94,-2.2823
1985,9,1,1,198,-7.2166
1985,9,1,2,67,-5.0355
1985,9,1,3,55,-5.1582
1985,9,1,4,67,-4.8894
1985,9,1,5,157,-7.0583
1985,9,2,1,130,-6.3028
1985,9,2,2,112,-4.9998
1985,9,2,3,83,-5.0327
1985,9,2,4,110,-4.7527
1985,9,2,5,126,-8.2036
1985,9,3,1,101,-3.3313
1985,9,3,2,154,-4.0091
1985,9,3,3,162,-3.5881
1985,9,3,4,135,-2.1773
1985,9,3,5,92,-4.8647
1985,10,1,1,191,2.2765
1985,10,1,2,73,3.2349
1985,10,1,3,43,2.5681
1985,10,1,4,68,1.4591
1985,10,1,5,177,0.7026
1985,10,2,1,130,6.4234
1985,10,2,2,115,5.0940
1985,10,2,3,97,2.9544
1985,10,2,4,100,3.0067
1985,10,2,5,122,1.6103
1985,10,3,1,103,3.5846
1985,10,3,2,151,5.0279
1985,10,3,3,156,4.7037
1985,10,3,4,139,4.3242
1985,10,3,5,89,1.3271
1985,11,1,1,182,7.6377
1985,11,1,2,65,8.5480
1985,11,1,3,44,5.1071
1985,11,1,4,61,5.9718
1985,11,1,5,178,8.1411
1985,11,2,1,139,8.8714
1985,11,2,2,116,7.7919
1985,11,2,3,90,7.1666
1985,11,2,4,104,8.5800
1985,11,2,5,112,7.5926
1985,11,3,1,102,7.7803
1985,11,3,2,159,7.1426
1985,11,3,3,162,5.9678
1985,11,3,4,127,7.2666
1985,11,3,5,87,8.3445
1985,12,1,1,175,3.6994
1985,12,1,2,64,4.5028
1985,12,1,3,46,7.3481
1985,12,1,4,58,5.1085
1985,12,1,5,182,6.1946
1985,12,2,1,139,3.2743
1985,12,2,2,111,6.4037
1985,12,2,3,106,4.9149
1985,12,2,4,97,4.3108
1985,12,2,5,117,3.5180
1985,12,3,1,109,4.6408
1985,12,3,2,164,4.3641
1985,12,3,3,145,3.8892
1985,12,3,4,133,5.5438
1985,12,3,5,88,4.1632
1986,1,1,1,169,3.2493
1986,1,1,2,61,2.9852
1986,1,1,3,53,1.7819
1986,1,1,4,71,-0.0036
1986,1,1,5,173,-0.0368
1986,1,2,1,142,2.5532
1986,1,2,2,113,-0.0872
1986,1,2,3,84,2.5125
1986,1,2,4,108,0.6322
1986,1,2,5,111,-1.0114
1986,1,3,1,108,1.5004
1986,1,3,2,164,0.4812
1986,1,3,3,149,-0.1987
1986,1,3,4,125,0.4925
1986,1,3,5,87,1.2397
1986,2,1,1,159,6.9417
1986,2,1,2,64,5.8482
1986,2,1,3,52,6.0311
1986,2,1,4,69,5.0896
1986,2,1,5,169,3.5436
1986,2,2,1,142,5.8950
1986,2,2,2,119,7.7223
1986,2,2,3,87,7.3149
1986,2,2,4,103,8.0831
1986,2,2,5,113,5.5473
1986,2,3,1,107,6.7449
1986,2,3,2,165,8.4429
1986,2,3,3,148,7.9728
1986,2,3,4,127,7.1388
1986,2,3,5,85,7.2579
1986,3,1,1,143,4.7774
1986,3,1,2,83,4.1522
1986,3,1,3,39,4.2001
1986,3,1,4,63,6.1560
1986,3,1,5,187,3.5186
1986,3,2,1,119,4.7050
1986,3,2,2,124,7.2453
1986,3,2,3,89,5.7438
1986,3,2,4,111,4.8572
1986,3,2,5,129,4.5305
1986,3,3,1,105,3.8254
1986,3,3,2,135,4.7583
1986,3,3,3,159,6.7676
1986,3,3,4,138,4.1377
1986,3,3,5,92,6.2717
1986,4,1,1,181,1.8549
1986,4,1,2,82,1.6450
1986,4,1,3,41,2.2344
1986,4,1,4,70,1.8545
1986,4,1,5,162,0.9055
1986,4,2,1,119,2.6395
1986,4,2,2,131,2.0730
1986,4,2,3,98,2.3927
1986,4,2,4,96,0.4025
1986,4,2,5,118,1.3726
1986,4,3,1,97,-1.4589
1986,4,3,2,129,-0.0224
1986,4,3,3,155,0.2142
1986,4,3,4,152,-1.2697
1986,4,3,5,107,-0.9109
1986,5,1,1,192,4.0521
1986,5,1,2,85,2.3307
1986,5,1,3,44,4.8391
1986,5,1,4,71,4.7635
1986,5,1,5,155,2.0341
1986,5,2,1,122,2.5946
1986,5,2,2,144,3.9758
1986,5,2,3,89,3.4634
1986,5,2,4,103,3.0276
1986,5,2,5,127,3.4890
1986,5,3,1,96,3.7974
1986,5,3,2,121,6.3477
1986,5,3,3,164,7.2884
1986,5,3,4,156,3.5157
1986,5,3,5,101,5.4348
1986,6,1,1,185,-3.0497
1986,6,1,2,96,-0.0036
1986,6,1,3,39,-2.0523
1986,6,1,4,67,1.1001
1986,6,1,5,152,-3.6344
1986,6,2,1,124,-2.1830
1986,6,2,2,144,0.3017
1986,6,2,3,87,1.7628
1986,6,2,4,112,0.8386
1986,6,2,5,116,-4.1183
1986,6,3,1,95,-2.6601
1986,6,3,2,122,1.9191
1986,6,3,3,170,5.2213
1986,6,3,4,144,1.2007
1986,6,3,5,108,-0.9852
1986,7,1,1,179,-9.7609
1986,7,1,2,102,-8.4280
1986,7,1,3,48,-10.8459
1986,7,1,4,58,-6.8313
1986,7,1,5,159,-11.4240
1986,7,2,1,122,-13.5513
1986,7,2,2,138,-9.3267
1986,7,2,3,92,-9.5108
1986,7,2,4,116,-7.3749
1986,7,2,5,112,-10.7068
1986,7,3,1,86,-7.2396
1986,7,3,2,124,-6.2061
1986,7,3,3,178,-4.6848
1986,7,3,4,138,-4.4929
1986,7,3,5,112,-6.2883
1986,8,1,1,177,3.2877
1986,8,1,2,105,0.4915
1986,8,1,3,39,0.3855
1986,8,1,4,58,1.9863
1986,8,1,5,168,2.2235
1986,8,2,1,129,4.9452
1986,8,2,2,133,5.4009
1986,8,2,3,87,4.5909
1986,8,2,4,121,2.3785
1986,8,2,5,117,6.7467
1986,8,3,1,87,8.4081
1986,8,3,2,127,5.0572
1986,8,3,3,167,4.6497
1986,8,3,4,153,6.9673
1986,8,3,5,100,12.5055
1986,9,1,1,180,-6.7617
