year,month,rank_ME,rank_RER,nstocks,ret_vw
1973,4,1,4,108,-4.9666
1973,4,1,5,138,-10.0673
1973,4,2,1,56,-9.0102
1973,4,2,2,39,-5.1973
1973,4,2,3,45,-4.4446
1973,4,2,4,60,-9.7849
1973,4,2,5,48,-9.3270
1973,4,3,1,65,-4.4592
1973,4,3,2,67,-5.0053
1973,4,3,3,65,-6.2941
1973,4,3,4,58,-7.3451
1973,4,3,5,73,-5.6968
1973,5,1,1,141,-10.9043
1973,5,1,2,105,-9.3328
1973,5,1,3,91,-9.5371
1973,5,1,4,107,-8.2134
1973,5,1,5,138,-9.6274
1973,5,2,1,56,-8.8456
1973,5,2,2,39,-9.7604
1973,5,2,3,45,-8.8029
1973,5,2,4,60,-8.7974
1973,5,2,5,48,-9.4196
1973,5,3,1,65,-2.0170
1973,5,3,2,67,-2.3015
1973,5,3,3,66,-2.3481
1973,5,3,4,58,1.2758
1973,5,3,5,73,0.1986
1973,6,1,1,141,-3.7710
1973,6,1,2,105,-3.7431
1973,6,1,3,91,-3.7267
1973,6,1,4,107,-3.5439
1973,6,1,5,138,-2.8550
1973,6,2,1,56,-5.2971
1973,6,2,2,39,-3.4870
1973,6,2,3,45,-2.7535
1973,6,2,4,60,-6.6599
1973,6,2,5,48,-4.2745
1973,6,3,1,65,0.9581
1973,6,3,2,67,-0.7245
1973,6,3,3,66,-2.9452
1973,6,3,4,58,-2.3411
1973,6,3,5,73,-4.1145
1973,7,1,1,199,15.4810
1973,7,1,2,128,14.5883
1973,7,1,3,138,18.0113
1973,7,1,4,129,13.1699
1973,7,1,5,232,14.7551
1973,7,2,1,67,14.3197
1973,7,2,2,43,12.6188
1973,7,2,3,61,12.3745
1973,7,2,4,73,16.6726
1973,7,2,5,57,14.5225
1973,7,3,1,67,3.3094
1973,7,3,2,71,5.4173
1973,7,3,3,62,6.8495
1973,7,3,4,61,9.9031
1973,7,3,5,81,6.8958
1973,8,1,1,199,-7.8539
1973,8,1,2,128,-6.4611
1973,8,1,3,137,-8.3249
1973,8,1,4,129,-5.3063
1973,8,1,5,232,-5.5175
1973,8,2,1,67,-4.6638
1973,8,2,2,43,-4.1739
1973,8,2,3,61,-3.6306
1973,8,2,4,73,-4.6262
1973,8,2,5,57,-3.2472
1973,8,3,1,67,-3.3941
1973,8,3,2,71,-2.7493
1973,8,3,3,62,-2.9518
1973,8,3,4,61,-2.1487
1973,8,3,5,81,-2.5451
1973,9,1,1,198,10.0773
1973,9,1,2,128,8.0466
1973,9,1,3,138,9.3308
1973,9,1,4,128,8.9182
1973,9,1,5,231,8.7586
1973,9,2,1,67,12.3672
1973,9,2,2,43,11.2898
1973,9,2,3,61,10.6989
1973,9,2,4,73,12.1004
1973,9,2,5,57,11.6713
1973,9,3,1,67,-4.3907
1973,9,3,2,71,4.3518
1973,9,3,3,62,4.0862
1973,9,3,4,61,5.0332
1973,9,3,5,81,5.5241
1973,10,1,1,198,-0.4073
1973,10,1,2,128,-0.1430
1973,10,1,3,138,0.0361
1973,10,1,4,128,-0.4999
1973,10,1,5,231,0.5803
1973,10,2,1,67,-1.6266
1973,10,2,2,43,0.0969
1973,10,2,3,61,-0.7033
1973,10,2,4,73,0.1369
1973,10,2,5,57,-1.2441
1973,10,3,1,66,3.8034
1973,10,3,2,71,-2.8358
1973,10,3,3,62,-0.8581
1973,10,3,4,61,-1.1611
1973,10,3,5,81,-2.6233
1973,11,1,1,198,-20.8632
1973,11,1,2,128,-21.9251
1973,11,1,3,138,-23.3447
1973,11,1,4,128,-22.0332
1973,11,1,5,232,-19.8122
1973,11,2,1,67,-21.2316
1973,11,2,2,43,-17.5317
1973,11,2,3,61,-20.1015
1973,11,2,4,73,-24.4732
1973,11,2,5,57,-20.7474
1973,11,3,1,66,-10.1678
