year,month,rank_ME,rank_r10n,nstocks,ret_vw
1970,6,2,4,25,-3.9527
1970,6,2,5,32,-9.8767
1970,6,3,1,63,-5.9466
1970,6,3,2,78,-2.5832
1970,6,3,3,89,-7.2090
1970,6,3,4,98,-4.6061
1970,6,3,5,86,-3.7052
1970,7,1,1,46,9.1201
1970,7,1,2,20,2.2683
1970,7,1,3,16,5.0879
1970,7,1,4,17,9.2905
1970,7,1,5,20,1.8465
1970,7,2,1,37,3.5753
1970,7,2,2,39,7.4992
1970,7,2,3,36,7.0368
1970,7,2,4,26,4.2652
1970,7,2,5,28,11.5472
1970,7,3,1,58,6.3930
1970,7,3,2,82,5.8276
1970,7,3,3,88,6.4203
1970,7,3,4,96,10.3563
1970,7,3,5,91,9.2524
1970,8,1,1,44,5.5544
1970,8,1,2,22,7.4287
1970,8,1,3,15,8.0375
1970,8,1,4,17,4.8688
1970,8,1,5,27,8.8444
1970,8,2,1,33,9.6314
1970,8,2,2,41,5.8637
1970,8,2,3,37,5.9944
1970,8,2,4,23,9.2536
1970,8,2,5,30,9.6384
1970,8,3,1,64,6.2494
1970,8,3,2,79,4.1399
1970,8,3,3,86,3.7241
1970,8,3,4,100,5.1885
1970,8,3,5,82,6.2420
1970,9,1,1,43,13.8681
1970,9,1,2,22,3.6169
1970,9,1,3,21,9.7450
1970,9,1,4,15,13.4750
1970,9,1,5,21,11.5709
1970,9,2,1,35,14.9207
1970,9,2,2,42,5.8049
1970,9,2,3,33,10.4527
1970,9,2,4,27,8.4142
1970,9,2,5,30,9.7292
1970,9,3,1,64,1.5098
1970,9,3,2,76,3.6777
1970,9,3,3,88,2.9643
1970,9,3,4,98,2.3016
1970,9,3,5,89,6.1435
1970,10,1,1,47,-7.7396
1970,10,1,2,21,-0.7702
1970,10,1,3,17,-5.0731
1970,10,1,4,15,-7.3562
1970,10,1,5,30,-8.6629
1970,10,2,1,36,-5.9530
1970,10,2,2,30,-3.3787
1970,10,2,3,41,-3.9623
1970,10,2,4,28,-2.7671
1970,10,2,5,26,-4.1848
1970,10,3,1,60,-2.5538
1970,10,3,2,90,-1.9037
1970,10,3,3,81,0.0072
1970,10,3,4,97,-0.4234
1970,10,3,5,86,-1.7572
1970,11,1,1,49,0.8871
1970,11,1,2,21,2.3107
1970,11,1,3,16,4.4251
1970,11,1,4,21,0.6566
1970,11,1,5,23,-1.2508
1970,11,2,1,29,4.1033
1970,11,2,2,33,4.1746
1970,11,2,3,35,3.8687
1970,11,2,4,27,0.6399
1970,11,2,5,38,2.6585
1970,11,3,1,64,4.6735
1970,11,3,2,87,5.3440
1970,11,3,3,88,5.3841
1970,11,3,4,95,5.9513
