year,month,rank_ME,rank_RDMq_6,nstocks,ret_vw
1994,7,1,1,250,4.2670
1994,7,1,2,272,1.4400
1994,7,1,3,348,1.2537
1994,7,1,4,443,-0.2165
1994,7,1,5,546,-0.8524
1994,7,2,1,114,0.6352
1994,7,2,2,127,1.4090
1994,7,2,3,118,3.7849
1994,7,2,4,107,3.4081
1994,7,2,5,98,1.1430
1994,7,3,1,91,2.9960
1994,7,3,2,109,2.7288
1994,7,3,3,97,3.8235
1994,7,3,4,70,2.8636
1994,7,3,5,63,4.2259
1994,8,1,1,271,4.1094
1994,8,1,2,309,5.9096
1994,8,1,3,374,5.8026
1994,8,1,4,521,7.4924
1994,8,1,5,644,7.6801
1994,8,2,1,116,9.0582
1994,8,2,2,126,12.2964
1994,8,2,3,125,11.5883
1994,8,2,4,131,10.2888
1994,8,2,5,112,8.0314
1994,8,3,1,92,7.5189
1994,8,3,2,110,6.9738
1994,8,3,3,106,5.7022
1994,8,3,4,72,7.7381
1994,8,3,5,66,8.8288
1994,9,1,1,268,1.7713
1994,9,1,2,302,4.0316
