year,month,rank_ME,rank_RDSq_6,nstocks,ret_vw
1993,3,1,2,149,0.2055
1993,3,1,3,212,0.4201
1993,3,1,4,263,0.0974
1993,3,1,5,482,1.1892
1993,3,2,1,50,2.1002
1993,3,2,2,33,0.2463
1993,3,2,3,51,1.3468
1993,3,2,4,77,-1.6781
1993,3,2,5,187,-0.7972
1993,3,3,1,33,1.8565
1993,3,3,2,52,3.8979
1993,3,3,3,49,1.6457
1993,3,3,4,47,1.4054
1993,3,3,5,67,0.6242
1993,4,1,1,144,-3.3425
1993,4,1,2,135,-4.8193
1993,4,1,3,193,-4.9411
1993,4,1,4,240,-5.1638
1993,4,1,5,461,-4.9611
1993,4,2,1,43,-2.7302
1993,4,2,2,32,-1.1454
1993,4,2,3,49,-4.2462
1993,4,2,4,78,-7.4899
1993,4,2,5,167,-4.7597
1993,4,3,1,34,-4.1265
1993,4,3,2,50,-0.6219
1993,4,3,3,47,-0.7418
1993,4,3,4,48,0.8210
1993,4,3,5,64,-0.7396
1993,5,1,1,191,5.4789
1993,5,1,2,182,4.6245
1993,5,1,3,270,6.1107
1993,5,1,4,285,5.6107
1993,5,1,5,549,6.9080
1993,5,2,1,52,3.5267
1993,5,2,2,49,3.3509
1993,5,2,3,72,6.8893
1993,5,2,4,104,11.0874
1993,5,2,5,192,12.4540
1993,5,3,1,60,1.4548
1993,5,3,2,82,2.5550
1993,5,3,3,72,6.5409
1993,5,3,4,82,5.0830
1993,5,3,5,93,5.6068
1993,6,1,1,199,1.0209
1993,6,1,2,190,0.7236
1993,6,1,3,278,1.3248
1993,6,1,4,282,0.5765
1993,6,1,5,543,-0.4243
1993,6,2,1,54,2.8478
1993,6,2,2,49,-2.3419
1993,6,2,3,73,0.6436
1993,6,2,4,105,0.2263
1993,6,2,5,196,-0.1013
1993,6,3,1,63,-0.5413
1993,6,3,2,80,-0.0047
1993,6,3,3,75,1.2093
1993,6,3,4,83,-1.6786
1993,6,3,5,94,-1.8697
1993,7,1,1,178,0.2251
1993,7,1,2,170,0.8897
1993,7,1,3,247,-0.1651
1993,7,1,4,272,0.9506
1993,7,1,5,501,-2.5147
1993,7,2,1,51,-2.2899
1993,7,2,2,45,-0.2311
1993,7,2,3,67,1.1852
1993,7,2,4,104,2.6300
1993,7,2,5,179,-0.5063
1993,7,3,1,61,-1.3361
1993,7,3,2,73,-0.8942
1993,7,3,3,73,-0.6795
1993,7,3,4,79,-3.2636
1993,7,3,5,87,-6.0311
1993,8,1,1,191,3.4797
1993,8,1,2,195,5.2378
1993,8,1,3,260,4.4836
1993,8,1,4,324,4.9619
1993,8,1,5,572,6.3768
1993,8,2,1,53,1.4732
1993,8,2,2,46,3.8149
1993,8,2,3,66,2.5284
1993,8,2,4,114,5.0532
1993,8,2,5,196,7.8843
1993,8,3,1,62,4.0919
1993,8,3,2,72,3.6926
1993,8,3,3,74,2.2209
1993,8,3,4,84,4.8533
1993,8,3,5,94,5.1665
1993,9,1,1,191,2.3734
1993,9,1,2,191,3.4455
1993,9,1,3,263,1.7978
1993,9,1,4,320,2.2223
1993,9,1,5,578,3.0806
1993,9,2,1,51,-1.0764
1993,9,2,2,46,-0.2450
1993,9,2,3,66,2.7331
1993,9,2,4,113,4.3514
1993,9,2,5,196,4.3494
1993,9,3,1,63,-0.3574
1993,9,3,2,73,-1.4111
1993,9,3,3,73,-2.6752
1993,9,3,4,85,-0.4616
1993,9,3,5,94,0.8073
1993,10,1,1,184,5.6906
1993,10,1,2,169,5.6281
1993,10,1,3,245,4.7533
1993,10,1,4,283,6.1100
1993,10,1,5,555,7.8870
1993,10,2,1,54,5.3205
1993,10,2,2,46,3.6656
1993,10,2,3,61,4.2594
1993,10,2,4,105,4.0708
1993,10,2,5,192,2.0585
1993,10,3,1,61,1.9434
1993,10,3,2,69,5.9735
1993,10,3,3,71,-0.5502
1993,10,3,4,81,3.8440
1993,10,3,5,89,2.1962
1993,11,1,1,203,-4.5406
1993,11,1,2,177,-3.0354
1993,11,1,3,276,-2.0925
1993,11,1,4,314,-3.0428
1993,11,1,5,592,-3.6387
1993,11,2,1,55,-0.0829
1993,11,2,2,47,1.5029
1993,11,2,3,68,-3.1449
1993,11,2,4,116,-1.9729
1993,11,2,5,206,-3.9562
1993,11,3,1,63,1.8665
1993,11,3,2,70,-0.1358
1993,11,3,3,71,-2.6960
1993,11,3,4,86,0.8133
1993,11,3,5,95,2.2019
1993,12,1,1,203,0.8338
1993,12,1,2,171,2.4164
1993,12,1,3,269,2.4377
1993,12,1,4,311,1.3314
1993,12,1,5,604,-1.4048
1993,12,2,1,53,3.1638
1993,12,2,2,45,5.3131
1993,12,2,3,66,1.2149
1993,12,2,4,111,3.1729
1993,12,2,5,203,0.8523
1993,12,3,1,62,0.9852
1993,12,3,2,71,3.1646
1993,12,3,3,71,0.4465
1993,12,3,4,80,1.9199
1993,12,3,5,99,1.9462
1994,1,1,1,143,4.3196
1994,1,1,2,122,5.1251
1994,1,1,3,188,5.1372
1994,1,1,4,236,4.9919
1994,1,1,5,528,4.3906
1994,1,2,1,40,-0.7467
1994,1,2,2,32,3.1793
1994,1,2,3,43,5.0470
1994,1,2,4,74,1.9015
1994,1,2,5,183,6.1758
1994,1,3,1,33,5.1620
1994,1,3,2,44,6.8308
1994,1,3,3,41,5.5337
1994,1,3,4,53,2.6580
1994,1,3,5,78,2.8685
1994,2,1,1,164,-1.2460
1994,2,1,2,148,0.5996
1994,2,1,3,219,0.7870
1994,2,1,4,275,-0.5035
1994,2,1,5,575,-2.9218
1994,2,2,1,41,0.3239
1994,2,2,2,34,0.4915
1994,2,2,3,47,5.4214
1994,2,2,4,89,1.3235
1994,2,2,5,196,-1.8880
1994,2,3,1,34,0.6307
1994,2,3,2,47,0.2645
1994,2,3,3,46,-4.2583
1994,2,3,4,58,-1.0588
1994,2,3,5,84,-3.5860
1994,3,1,1,165,-5.7432
1994,3,1,2,144,-3.2584
1994,3,1,3,229,-6.5075
1994,3,1,4,274,-3.6945
1994,3,1,5,570,-6.8452
1994,3,2,1,44,-6.3219
1994,3,2,2,37,-6.6862
1994,3,2,3,51,-6.4508
1994,3,2,4,91,-7.1934
1994,3,2,5,202,-8.9766
1994,3,3,1,35,-6.7154
1994,3,3,2,48,-2.6878
1994,3,3,3,47,-2.1816
1994,3,3,4,61,-3.5192
1994,3,3,5,88,-4.5761
1994,4,1,1,156,-0.9916
1994,4,1,2,130,-2.5670
1994,4,1,3,229,-0.4584
1994,4,1,4,230,-2.4195
1994,4,1,5,544,-4.8509
1994,4,2,1,40,-1.2934
1994,4,2,2,33,-1.2185
1994,4,2,3,52,-1.3598
1994,4,2,4,90,2.7182
1994,4,2,5,189,-3.0263
1994,4,3,1,33,-1.0446
1994,4,3,2,46,-0.9942
1994,4,3,3,44,0.5492
1994,4,3,4,58,0.3140
1994,4,3,5,83,0.8424
1994,5,1,1,206,-0.3790
1994,5,1,2,186,-1.0572
1994,5,1,3,292,-1.6389
1994,5,1,4,306,-0.8480
1994,5,1,5,668,-1.7165
1994,5,2,1,61,1.9076
1994,5,2,2,53,-4.3917
1994,5,2,3,78,-1.1504
1994,5,2,4,114,-2.8369
1994,5,2,5,211,-3.3066
1994,5,3,1,61,0.2972
1994,5,3,2,82,-0.7983
1994,5,3,3,66,3.3747
1994,5,3,4,93,3.5613
1994,5,3,5,108,4.8349
1994,6,1,1,202,-1.0984
1994,6,1,2,190,-4.4342
1994,6,1,3,293,-3.6909
1994,6,1,4,318,-3.4798
1994,6,1,5,661,-6.5675
1994,6,2,1,65,-2.0593
1994,6,2,2,55,-0.6652
1994,6,2,3,80,-4.5005
1994,6,2,4,119,-5.7137
1994,6,2,5,204,-6.2085
1994,6,3,1,59,-3.9446
1994,6,3,2,80,-3.1636
1994,6,3,3,66,-0.5890
1994,6,3,4,94,-3.9787
1994,6,3,5,109,-3.4210
1994,7,1,1,176,2.0180
1994,7,1,2,176,5.0286
1994,7,1,3,264,2.0444
1994,7,1,4,278,2.3420
1994,7,1,5,614,-1.2815
1994,7,2,1,58,1.3875
1994,7,2,2,53,1.6416
1994,7,2,3,73,1.6633
1994,7,2,4,110,2.2314
1994,7,2,5,186,2.3229
1994,7,3,1,59,5.2217
1994,7,3,2,74,3.7953
1994,7,3,3,65,2.2167
1994,7,3,4,88,4.4191
1994,7,3,5,96,1.8055
1994,8,1,1,191,4.1925
1994,8,1,2,196,4.8083
1994,8,1,3,298,6.5014
1994,8,1,4,339,8.6355
1994,8,1,5,686,6.3898
1994,8,2,1,62,6.2924
1994,8,2,2,56,7.3112
1994,8,2,3,83,10.3071
1994,8,2,4,115,10.5637
1994,8,2,5,198,12.9031
1994,8,3,1,60,4.9747
1994,8,3,2,76,5.4218
1994,8,3,3,71,2.9386
1994,8,3,4,94,7.6072
1994,8,3,5,98,10.1861
1994,9,1,1,190,3.0000
1994,9,1,2,194,0.2983
