year,month,rank_ME,rank_RCA,nstocks,ret_vw
1984,4,1,4,166,-1.5390
1984,4,1,5,236,-2.7375
1984,4,2,1,55,-1.0365
1984,4,2,2,42,-0.2909
1984,4,2,3,56,-0.4798
1984,4,2,4,54,3.4049
1984,4,2,5,70,-0.1143
1984,4,3,1,54,1.9198
1984,4,3,2,68,1.8996
1984,4,3,3,58,2.7081
1984,4,3,4,65,0.5651
1984,4,3,5,82,0.8365
1984,5,1,1,149,-3.5337
1984,5,1,2,136,-7.2679
1984,5,1,3,155,-4.4001
1984,5,1,4,165,-5.6084
1984,5,1,5,236,-7.3307
1984,5,2,1,55,-5.5443
1984,5,2,2,42,-7.7571
1984,5,2,3,55,-6.1928
1984,5,2,4,54,-7.5772
1984,5,2,5,69,-7.8269
1984,5,3,1,54,-4.6715
1984,5,3,2,68,-4.5802
1984,5,3,3,58,-5.7456
1984,5,3,4,65,-5.9056
1984,5,3,5,82,-5.4906
1984,6,1,1,148,1.4929
1984,6,1,2,135,2.9470
1984,6,1,3,156,2.6693
1984,6,1,4,163,4.0598
1984,6,1,5,233,3.5499
1984,6,2,1,55,0.7124
1984,6,2,2,42,5.4486
1984,6,2,3,55,2.3397
1984,6,2,4,54,5.3684
1984,6,2,5,69,3.9672
1984,6,3,1,54,0.5563
1984,6,3,2,68,2.6983
1984,6,3,3,58,1.9623
1984,6,3,4,65,2.8526
1984,6,3,5,82,2.2568
1984,7,1,1,179,-3.5762
1984,7,1,2,197,-7.0905
1984,7,1,3,185,-8.0458
1984,7,1,4,199,-5.8454
1984,7,1,5,288,-8.0412
1984,7,2,1,52,-8.1195
1984,7,2,2,61,-5.6577
1984,7,2,3,49,-2.9600
1984,7,2,4,60,-7.4119
1984,7,2,5,57,-7.2298
1984,7,3,1,60,-3.7930
1984,7,3,2,64,-4.9583
1984,7,3,3,58,-2.8386
1984,7,3,4,69,-1.7562
1984,7,3,5,80,0.4734
1984,8,1,1,177,10.3216
1984,8,1,2,197,11.1973
1984,8,1,3,185,10.9842
1984,8,1,4,199,12.0001
1984,8,1,5,286,12.1518
1984,8,2,1,52,15.3863
1984,8,2,2,61,14.0854
1984,8,2,3,48,12.5574
1984,8,2,4,60,13.8963
1984,8,2,5,56,18.4581
1984,8,3,1,60,12.8604
1984,8,3,2,64,11.6993
1984,8,3,3,58,12.6009
1984,8,3,4,69,11.0047
1984,8,3,5,80,11.8661
1984,9,1,1,178,-2.2916
1984,9,1,2,197,-2.0395
1984,9,1,3,185,-2.0873
1984,9,1,4,198,-2.7984
1984,9,1,5,286,-2.7883
1984,9,2,1,51,-0.0374
1984,9,2,2,61,-4.5267
1984,9,2,3,49,-3.5062
1984,9,2,4,60,-3.4906
1984,9,2,5,56,-7.6296
1984,9,3,1,60,1.9434
1984,9,3,2,64,1.3283
1984,9,3,3,58,-2.5833
1984,9,3,4,69,-2.2291
