year,month,rank_ME,rank_IM_1,nstocks,ret_vw
1971,2,3,1,109,1.4286
1971,2,3,2,230,0.3022
1971,2,3,3,91,2.8368
1971,2,3,4,122,4.3146
1971,2,3,5,69,6.6847
1971,3,1,1,146,5.3896
1971,3,1,2,261,5.9443
1971,3,1,3,214,5.2722
1971,3,1,4,279,5.6718
1971,3,1,5,127,6.9963
1971,3,2,1,98,5.6237
1971,3,2,2,108,8.4759
1971,3,2,3,92,6.6576
1971,3,2,4,118,5.1606
1971,3,2,5,65,6.1017
1971,3,3,1,184,2.8672
1971,3,3,2,175,4.2112
1971,3,3,3,107,6.7112
1971,3,3,4,97,4.6003
1971,3,3,5,60,7.0565
1971,4,1,1,163,1.9402
1971,4,1,2,155,0.0475
1971,4,1,3,285,4.0959
1971,4,1,4,270,2.7207
1971,4,1,5,155,1.0778
1971,4,2,1,79,1.2319
1971,4,2,2,98,2.3030
1971,4,2,3,133,3.5683
1971,4,2,4,103,3.0380
1971,4,2,5,66,2.9801
1971,4,3,1,91,2.8299
1971,4,3,2,216,3.3224
1971,4,3,3,152,4.5089
1971,4,3,4,99,6.2582
1971,4,3,5,66,8.0198
1971,5,1,1,132,-5.6454
1971,5,1,2,207,-4.1574
1971,5,1,3,258,-6.6929
1971,5,1,4,213,-6.7779
1971,5,1,5,225,-6.8005
1971,5,2,1,114,-4.7080
1971,5,2,2,96,-6.6450
1971,5,2,3,106,-1.9480
1971,5,2,4,78,-6.0566
1971,5,2,5,83,-7.8775
1971,5,3,1,187,-3.1733
1971,5,3,2,132,-2.8335
1971,5,3,3,142,-3.2180
1971,5,3,4,88,-0.6077
1971,5,3,5,75,-2.7325
1971,6,1,1,173,-2.3363
1971,6,1,2,148,-2.2218
1971,6,1,3,328,-2.8573
1971,6,1,4,210,-1.9909
1971,6,1,5,171,-3.2375
1971,6,2,1,117,-2.7010
1971,6,2,2,85,-1.7382
1971,6,2,3,129,-0.7573
1971,6,2,4,81,-0.9517
1971,6,2,5,69,-2.7057
1971,6,3,1,207,0.2867
1971,6,3,2,119,1.0059
1971,6,3,3,138,1.2268
1971,6,3,4,96,-0.1075
1971,6,3,5,70,0.8464
1971,7,1,1,267,-5.3730
1971,7,1,2,170,-7.1597
1971,7,1,3,118,-4.0225
1971,7,1,4,334,-6.8527
1971,7,1,5,142,-7.5817
1971,7,2,1,158,-4.5381
1971,7,2,2,64,-5.5329
1971,7,2,3,73,-3.1991
1971,7,2,4,129,-7.3488
1971,7,2,5,51,-7.4604
1971,7,3,1,231,-3.5790
1971,7,3,2,124,-5.6343
1971,7,3,3,79,-5.7372
1971,7,3,4,147,-5.0407
1971,7,3,5,46,-10.6863
1971,8,1,1,203,3.7695
1971,8,1,2,199,1.9609
1971,8,1,3,253,2.6425
1971,8,1,4,300,2.5277
1971,8,1,5,86,2.2719
1971,8,2,1,88,5.4453
1971,8,2,2,93,3.7272
1971,8,2,3,115,6.1654
1971,8,2,4,135,3.3401
1971,8,2,5,37,3.3356
1971,8,3,1,99,5.2174
1971,8,3,2,147,4.9089
1971,8,3,3,147,5.4253
1971,8,3,4,194,6.0175
1971,8,3,5,44,5.2344
1971,9,1,1,119,-0.2962
1971,9,1,2,249,-2.7667
1971,9,1,3,222,-1.2385
