year,month,rank_ME,rank_CM_12,nstocks,ret_vw
1983,4,2,5,104,6.8765
1983,4,3,1,62,7.8525
1983,4,3,2,57,7.9882
1983,4,3,3,53,7.3482
1983,4,3,4,55,8.6689
1983,4,3,5,52,9.5472
1983,5,1,1,366,12.0050
1983,5,1,2,300,9.7084
1983,5,1,3,303,11.0383
1983,5,1,4,299,11.6737
1983,5,1,5,327,11.5819
1983,5,2,1,110,5.5478
1983,5,2,2,92,6.2988
1983,5,2,3,91,5.5802
1983,5,2,4,95,5.2588
1983,5,2,5,98,5.6700
1983,5,3,1,62,5.6547
1983,5,3,2,51,6.1599
1983,5,3,3,52,5.2669
1983,5,3,4,56,4.7692
1983,5,3,5,49,3.2617
1983,6,1,1,342,4.3808
1983,6,1,2,290,5.2465
1983,6,1,3,298,4.4594
1983,6,1,4,305,4.1944
1983,6,1,5,317,5.2154
1983,6,2,1,107,4.3473
1983,6,2,2,95,5.5802
1983,6,2,3,92,5.5759
1983,6,2,4,93,4.3731
1983,6,2,5,88,6.9875
1983,6,3,1,57,5.7809
1983,6,3,2,50,4.2654
1983,6,3,3,51,4.6293
1983,6,3,4,52,4.0056
1983,6,3,5,43,7.1429
1983,7,1,1,349,-3.0867
1983,7,1,2,315,-2.3127
1983,7,1,3,314,-3.0547
1983,7,1,4,326,-2.9901
1983,7,1,5,328,-3.4834
1983,7,2,1,113,-2.6949
1983,7,2,2,108,-3.3031
1983,7,2,3,93,-2.3104
1983,7,2,4,96,-2.2505
1983,7,2,5,92,-1.4344
1983,7,3,1,62,-2.8122
1983,7,3,2,56,-1.4994
1983,7,3,3,50,-0.1589
1983,7,3,4,53,-3.8716
1983,7,3,5,45,-3.6692
1983,8,1,1,376,-4.0043
1983,8,1,2,326,-3.7617
1983,8,1,3,340,-3.9643
1983,8,1,4,334,-4.5033
1983,8,1,5,341,-4.5633
1983,8,2,1,118,-2.5006
1983,8,2,2,111,-2.2085
1983,8,2,3,99,-1.5927
1983,8,2,4,100,-2.2862
1983,8,2,5,93,-2.7830
1983,8,3,1,66,1.0552
1983,8,3,2,58,-0.0020
1983,8,3,3,51,0.8973
1983,8,3,4,53,0.0076
1983,8,3,5,49,0.3527
1983,9,1,1,382,-1.9570
1983,9,1,2,333,-0.6405
1983,9,1,3,362,0.3953
1983,9,1,4,360,-0.7675
1983,9,1,5,355,-1.2568
1983,9,2,1,119,2.3430
1983,9,2,2,108,2.8974
1983,9,2,3,102,1.7330
1983,9,2,4,106,3.0929
1983,9,2,5,96,3.9133
1983,9,3,1,62,0.6332
1983,9,3,2,56,3.1894
1983,9,3,3,57,3.3410
1983,9,3,4,59,3.0961
1983,9,3,5,49,0.6936
1983,10,1,1,390,-8.4444
1983,10,1,2,346,-8.6466
1983,10,1,3,365,-8.4999
1983,10,1,4,349,-8.2841
1983,10,1,5,361,-7.9141
1983,10,2,1,124,-8.7920
1983,10,2,2,105,-7.7145
1983,10,2,3,107,-9.5214
1983,10,2,4,96,-7.2725
1983,10,2,5,101,-6.9047
1983,10,3,1,61,-4.0177
1983,10,3,2,57,-1.8649
1983,10,3,3,57,-3.3575
1983,10,3,4,58,-1.9747
1983,10,3,5,53,-2.6276
1983,11,1,1,398,3.5846
1983,11,1,2,365,4.1562
1983,11,1,3,363,4.0771
1983,11,1,4,345,2.2583
1983,11,1,5,369,3.7500
1983,11,2,1,120,7.4756
1983,11,2,2,107,6.8176
1983,11,2,3,104,3.1512
1983,11,2,4,93,5.9587
1983,11,2,5,104,6.6639
1983,11,3,1,60,4.6415
1983,11,3,2,61,3.9883
1983,11,3,3,57,5.3608
1983,11,3,4,60,4.9142
1983,11,3,5,53,5.4016
1983,12,1,1,407,-3.6648
1983,12,1,2,371,-2.0180
1983,12,1,3,375,-2.4123
1983,12,1,4,370,-2.1052
1983,12,1,5,383,-2.8524
1983,12,2,1,121,-2.1329
1983,12,2,2,106,-2.8780
1983,12,2,3,110,-1.5645
1983,12,2,4,102,-0.7995
1983,12,2,5,104,-2.2419
1983,12,3,1,62,-0.6540
