year,month,rank_ME,rank_COP,nstocks,ret_vw
1969,8,1,5,97,3.6171
1969,8,2,1,85,9.0104
1969,8,2,2,47,6.8464
1969,8,2,3,55,4.7203
1969,8,2,4,57,5.3500
1969,8,2,5,46,6.4333
1969,8,3,1,58,9.0393
1969,8,3,2,71,2.8686
1969,8,3,3,97,6.7137
1969,8,3,4,99,3.9745
1969,8,3,5,101,5.7048
1969,9,1,1,204,-4.2359
1969,9,1,2,144,-4.0432
1969,9,1,3,96,-0.8231
1969,9,1,4,82,-1.4333
1969,9,1,5,97,-4.9933
1969,9,2,1,85,-2.7540
1969,9,2,2,46,0.0606
1969,9,2,3,54,-1.7899
1969,9,2,4,56,1.3417
1969,9,2,5,46,3.5842
1969,9,3,1,57,-4.0779
1969,9,3,2,71,-1.5696
1969,9,3,3,97,-4.8623
1969,9,3,4,99,-3.2057
1969,9,3,5,101,-0.2733
1969,10,1,1,204,12.0221
1969,10,1,2,144,10.0123
1969,10,1,3,96,10.2899
1969,10,1,4,82,8.7177
1969,10,1,5,96,9.4792
1969,10,2,1,84,10.1787
1969,10,2,2,46,7.1782
1969,10,2,3,54,8.0249
1969,10,2,4,56,9.4496
1969,10,2,5,46,5.6833
1969,10,3,1,57,6.9599
1969,10,3,2,71,6.7891
1969,10,3,3,97,4.0025
1969,10,3,4,99,2.2048
1969,10,3,5,101,6.0832
1969,11,1,1,204,-8.2840
1969,11,1,2,144,-6.9728
1969,11,1,3,96,-6.2527
1969,11,1,4,82,-6.8117
1969,11,1,5,96,-3.6020
1969,11,2,1,83,-5.9823
1969,11,2,2,46,-6.2747
1969,11,2,3,55,-5.6487
1969,11,2,4,56,-4.1824
1969,11,2,5,46,-1.8946
1969,11,3,1,58,-3.3904
1969,11,3,2,71,-4.2715
1969,11,3,3,97,-3.8673
1969,11,3,4,99,-2.3579
1969,11,3,5,101,-1.8819
1969,12,1,1,204,-8.4958
1969,12,1,2,144,-7.4616
1969,12,1,3,96,-7.5389
1969,12,1,4,82,-6.9135
1969,12,1,5,97,-7.6215
1969,12,2,1,83,-7.3202
1969,12,2,2,46,-4.0390
1969,12,2,3,55,-4.4829
1969,12,2,4,56,-2.9485
1969,12,2,5,46,-2.5143
1969,12,3,1,58,-2.6073
1969,12,3,2,71,-2.7140
1969,12,3,3,97,-2.5654
1969,12,3,4,99,-3.3872
1969,12,3,5,101,0.9496
1970,1,1,1,204,-4.1237
1970,1,1,2,144,-1.5492
1970,1,1,3,96,-1.3615
1970,1,1,4,82,-4.3186
1970,1,1,5,97,-3.7423
1970,1,2,1,84,-9.4175
1970,1,2,2,46,-5.8545
1970,1,2,3,55,-3.1447
1970,1,2,4,56,-5.9579
1970,1,2,5,45,-5.4084
1970,1,3,1,58,-12.8782
1970,1,3,2,70,-7.4485
1970,1,3,3,97,-10.5097
1970,1,3,4,99,-6.9941
1970,1,3,5,101,-7.2705
1970,2,1,1,204,2.9785
1970,2,1,2,143,5.0325
1970,2,1,3,96,3.3381
1970,2,1,4,82,2.2362
1970,2,1,5,97,1.4164
1970,2,2,1,84,3.3842
1970,2,2,2,45,6.7445
1970,2,2,3,55,4.9141
1970,2,2,4,56,4.1405
1970,2,2,5,45,4.9055
1970,2,3,1,58,6.1767
1970,2,3,2,70,8.2105
1970,2,3,3,97,7.1433
1970,2,3,4,99,5.6332
1970,2,3,5,101,3.9116
1970,3,1,1,203,-4.6167
1970,3,1,2,143,-3.1814
1970,3,1,3,96,-3.7745
1970,3,1,4,82,-3.6992
1970,3,1,5,97,-0.7392
1970,3,2,1,85,-4.4077
1970,3,2,2,45,-1.2884
1970,3,2,3,55,-0.7818
1970,3,2,4,56,-2.8883
1970,3,2,5,46,-0.9046
1970,3,3,1,58,-3.1901
1970,3,3,2,71,0.0302
1970,3,3,3,97,-1.0045
1970,3,3,4,99,2.2386
1970,3,3,5,101,-0.9845
1970,4,1,1,202,-20.6513
1970,4,1,2,143,-17.5409
1970,4,1,3,96,-16.4447
1970,4,1,4,81,-15.5822
1970,4,1,5,97,-16.1067
1970,4,2,1,84,-19.4359
1970,4,2,2,46,-13.8922
1970,4,2,3,55,-14.2442
1970,4,2,4,56,-16.0950
1970,4,2,5,46,-13.5638
1970,4,3,1,58,-14.1948
1970,4,3,2,71,-12.0293
1970,4,3,3,97,-9.6290
1970,4,3,4,99,-8.9522
1970,4,3,5,101,-8.4197
1970,5,1,1,202,-9.7523
1970,5,1,2,143,-10.1862
1970,5,1,3,95,-7.6785
1970,5,1,4,81,-10.0282
1970,5,1,5,97,-6.8784
1970,5,2,1,84,-12.7703
1970,5,2,2,46,-10.3657
1970,5,2,3,55,-9.8753
1970,5,2,4,56,-11.6784
1970,5,2,5,46,-6.8705
1970,5,3,1,58,-8.4594
1970,5,3,2,71,-8.2684
1970,5,3,3,97,-4.9479
1970,5,3,4,99,-3.7124
1970,5,3,5,101,-6.5806
1970,6,1,1,200,-11.3994
1970,6,1,2,143,-6.4299
1970,6,1,3,94,-8.7180
1970,6,1,4,80,-9.2830
1970,6,1,5,97,-6.8971
1970,6,2,1,83,-10.2045
1970,6,2,2,46,-5.9088
1970,6,2,3,55,-7.0384
1970,6,2,4,55,-6.1893
1970,6,2,5,46,-5.7734
1970,6,3,1,58,-6.9997
1970,6,3,2,71,-4.9377
1970,6,3,3,97,-3.9740
1970,6,3,4,99,-5.3388
1970,6,3,5,101,-4.6022
1970,7,1,1,296,2.2821
1970,7,1,2,113,5.4884
1970,7,1,3,98,6.2525
1970,7,1,4,100,7.8043
1970,7,1,5,101,5.1545
1970,7,2,1,82,6.9499
1970,7,2,2,67,6.2311
1970,7,2,3,52,9.0870
1970,7,2,4,51,6.9629
1970,7,2,5,58,10.4604
1970,7,3,1,52,6.4472
1970,7,3,2,74,8.5179
1970,7,3,3,86,8.5343
1970,7,3,4,108,10.5055
1970,7,3,5,109,4.2491
1970,8,1,1,294,5.6091
1970,8,1,2,113,7.9486
1970,8,1,3,97,7.7624
1970,8,1,4,100,6.3672
1970,8,1,5,101,6.1426
1970,8,2,1,81,7.3555
1970,8,2,2,67,7.2858
1970,8,2,3,52,6.7569
1970,8,2,4,51,4.1412
1970,8,2,5,58,7.2466
1970,8,3,1,52,7.5708
1970,8,3,2,74,5.5194
1970,8,3,3,86,6.4127
1970,8,3,4,108,3.6624
1970,8,3,5,109,4.8710
1970,9,1,1,293,17.5834
1970,9,1,2,113,14.2070
1970,9,1,3,96,12.8221
1970,9,1,4,100,13.8302
1970,9,1,5,101,13.9404
1970,9,2,1,80,15.4136
1970,9,2,2,67,12.9452
1970,9,2,3,52,12.8549
1970,9,2,4,51,6.9403
1970,9,2,5,58,9.3286
1970,9,3,1,51,9.6825
1970,9,3,2,74,5.0392
1970,9,3,3,86,3.2177
1970,9,3,4,108,2.6869
1970,9,3,5,109,4.3465
1970,10,1,1,292,-11.3297
1970,10,1,2,113,-6.9366
1970,10,1,3,97,-6.8825
1970,10,1,4,99,-5.0665
1970,10,1,5,101,-5.4180
1970,10,2,1,80,-6.5769
1970,10,2,2,67,-5.5196
1970,10,2,3,52,-6.8782
1970,10,2,4,51,-4.6857
1970,10,2,5,57,-4.2991
1970,10,3,1,51,-4.0738
1970,10,3,2,74,-2.1889
1970,10,3,3,86,-2.3097
1970,10,3,4,108,-0.7586
1970,10,3,5,109,0.0721
1970,11,1,1,290,-3.5502
1970,11,1,2,112,0.1399
1970,11,1,3,97,-2.3881
1970,11,1,4,99,0.0019
1970,11,1,5,101,1.4481
1970,11,2,1,80,0.6754
1970,11,2,2,67,0.4810
1970,11,2,3,52,2.5599
1970,11,2,4,50,4.8147
1970,11,2,5,57,4.1661
1970,11,3,1,51,2.7898
1970,11,3,2,74,6.0831
1970,11,3,3,86,3.7563
1970,11,3,4,108,4.6321
1970,11,3,5,109,5.4798
1970,12,1,1,289,7.8428
1970,12,1,2,112,10.5818
1970,12,1,3,97,10.8695
1970,12,1,4,98,11.5540
1970,12,1,5,101,10.4727
1970,12,2,1,80,8.0634
1970,12,2,2,67,11.1728
1970,12,2,3,52,5.9990
1970,12,2,4,50,8.9424
1970,12,2,5,57,10.0064
1970,12,3,1,51,6.6206
1970,12,3,2,74,5.1967
1970,12,3,3,85,6.7771
1970,12,3,4,108,6.3432
1970,12,3,5,109,5.0957
1971,1,1,1,287,16.9396
1971,1,1,2,111,15.7250
1971,1,1,3,97,13.8992
1971,1,1,4,99,11.3701
1971,1,1,5,101,15.4675
1971,1,2,1,78,13.1259
1971,1,2,2,67,8.1665
