year,month,rank_ME,rank_CLA,nstocks,ret_vw
1970,10,1,3,84,-7.3334
1970,10,1,4,108,-6.0252
1970,10,1,5,94,-4.9076
1970,10,2,1,84,-6.4679
1970,10,2,2,62,-5.4191
1970,10,2,3,52,-6.8744
1970,10,2,4,45,-4.4481
1970,10,2,5,64,-4.6120
1970,10,3,1,51,-4.0721
1970,10,3,2,68,-1.6227
1970,10,3,3,91,-1.7125
1970,10,3,4,108,-1.3110
1970,10,3,5,110,0.1937
1970,11,1,1,290,-3.6717
1970,11,1,2,122,-0.8178
1970,11,1,3,84,-1.6052
1970,11,1,4,108,-0.3060
1970,11,1,5,94,2.0561
1970,11,2,1,84,0.4930
1970,11,2,2,62,0.5963
1970,11,2,3,52,2.9810
1970,11,2,4,44,4.0098
1970,11,2,5,64,4.3731
1970,11,3,1,51,2.6130
1970,11,3,2,68,6.0924
1970,11,3,3,91,4.3131
1970,11,3,4,108,4.4345
1970,11,3,5,110,5.5691
1970,12,1,1,289,7.6831
1970,12,1,2,122,10.4100
1970,12,1,3,84,12.5742
1970,12,1,4,107,10.9031
1970,12,1,5,94,10.1649
1970,12,2,1,84,8.4998
1970,12,2,2,62,9.8601
1970,12,2,3,52,7.6123
1970,12,2,4,44,8.3936
1970,12,2,5,64,9.9403
1970,12,3,1,51,6.1889
1970,12,3,2,68,5.3071
1970,12,3,3,90,6.1216
1970,12,3,4,108,6.9977
1970,12,3,5,110,4.7653
1971,1,1,1,287,16.7463
1971,1,1,2,121,16.0184
1971,1,1,3,84,14.2299
1971,1,1,4,107,12.5656
1971,1,1,5,95,13.9060
1971,1,2,1,82,13.1380
1971,1,2,2,62,9.8858
1971,1,2,3,52,10.9804
1971,1,2,4,44,10.5310
1971,1,2,5,64,9.4943
1971,1,3,1,51,7.6726
1971,1,3,2,68,5.2660
1971,1,3,3,90,4.7379
1971,1,3,4,108,4.4522
1971,1,3,5,110,3.5234
1971,2,1,1,285,6.1183
1971,2,1,2,120,5.2199
1971,2,1,3,84,4.1033
1971,2,1,4,106,3.4842
1971,2,1,5,95,3.8925
1971,2,2,1,82,2.3064
1971,2,2,2,62,1.7630
1971,2,2,3,51,3.3531
1971,2,2,4,44,4.3757
1971,2,2,5,64,3.5782
1971,2,3,1,51,3.4937
1971,2,3,2,68,0.5502
1971,2,3,3,90,4.1304
1971,2,3,4,107,0.9335
1971,2,3,5,110,1.9182
1971,3,1,1,284,5.4633
1971,3,1,2,120,5.2211
1971,3,1,3,84,7.1696
1971,3,1,4,106,7.8230
1971,3,1,5,95,8.3632
1971,3,2,1,81,7.2127
1971,3,2,2,62,5.6015
1971,3,2,3,51,6.4266
1971,3,2,4,44,5.0313
1971,3,2,5,64,9.8694
1971,3,3,1,51,6.8011
1971,3,3,2,68,4.6268
1971,3,3,3,90,2.6136
1971,3,3,4,107,2.5239
1971,3,3,5,109,5.1205
1971,4,1,1,283,2.9088
1971,4,1,2,120,1.2919
1971,4,1,3,84,4.2759
1971,4,1,4,106,2.0875
1971,4,1,5,94,2.9464
1971,4,2,1,80,2.9595
1971,4,2,2,62,5.1500
1971,4,2,3,51,5.3075
1971,4,2,4,44,4.9570
1971,4,2,5,64,4.4913
1971,4,3,1,51,4.7656
1971,4,3,2,68,6.7357
1971,4,3,3,90,7.5779
1971,4,3,4,107,3.3167
1971,4,3,5,109,3.2093
1971,5,1,1,279,-7.6822
1971,5,1,2,119,-6.5393
1971,5,1,3,83,-4.2443
1971,5,1,4,106,-7.1920
1971,5,1,5,93,-4.7559
1971,5,2,1,80,-6.4966
1971,5,2,2,62,-5.5541
1971,5,2,3,51,-3.2578
1971,5,2,4,44,-3.0146
1971,5,2,5,64,-2.6901
1971,5,3,1,51,-3.1034
1971,5,3,2,68,-3.2542
1971,5,3,3,90,-3.4547
1971,5,3,4,107,-4.4232
1971,5,3,5,109,-3.1204
1971,6,1,1,274,-2.7498
1971,6,1,2,118,-3.1145
1971,6,1,3,83,-2.2707
1971,6,1,4,106,-1.1564
1971,6,1,5,93,-2.7662
1971,6,2,1,80,-0.9939
1971,6,2,2,62,-0.5470
1971,6,2,3,51,-0.6485
1971,6,2,4,44,-1.9617
1971,6,2,5,63,-0.9436
1971,6,3,1,51,-2.0338
1971,6,3,2,68,-0.6511
1971,6,3,3,90,-0.7180
1971,6,3,4,107,0.4120
1971,6,3,5,108,0.6164
1971,7,1,1,272,-7.1901
1971,7,1,2,140,-6.0854
1971,7,1,3,121,-5.0185
1971,7,1,4,126,-7.0421
1971,7,1,5,103,-7.8141
1971,7,2,1,66,-6.0088
1971,7,2,2,66,-4.9412
1971,7,2,3,64,-6.7789
1971,7,2,4,69,-5.5676
1971,7,2,5,58,-2.9982
1971,7,3,1,61,-8.0412
1971,7,3,2,81,-5.1994
1971,7,3,3,101,-3.3956
1971,7,3,4,93,-3.1243
1971,7,3,5,126,-4.2643
1971,8,1,1,271,4.3233
1971,8,1,2,140,3.8204
1971,8,1,3,121,5.0581
1971,8,1,4,126,4.1549
1971,8,1,5,103,4.2815
1971,8,2,1,66,5.0427
1971,8,2,2,66,6.9167
1971,8,2,3,64,4.2827
1971,8,2,4,69,5.5336
1971,8,2,5,58,5.0674
1971,8,3,1,61,7.6635
1971,8,3,2,81,8.7553
1971,8,3,3,101,1.8899
1971,8,3,4,92,2.5929
1971,8,3,5,125,5.4451
1971,9,1,1,271,-1.7937
1971,9,1,2,140,-1.4111
1971,9,1,3,121,0.5020
1971,9,1,4,126,-0.7126
