year,month,rank_ME,rank_Oq_1,nstocks,ret_vw
1979,9,2,1,47,-0.2785
1979,9,2,2,54,0.4253
1979,9,2,3,52,1.0949
1979,9,2,4,58,-1.0753
1979,9,2,5,71,1.0404
1979,9,3,1,126,3.3943
1979,9,3,2,103,1.3436
1979,9,3,3,82,-1.3484
1979,9,3,4,70,-1.9281
1979,9,3,5,40,-3.2618
1979,10,1,1,57,-11.1499
1979,10,1,2,51,-11.2272
1979,10,1,3,81,-10.0922
1979,10,1,4,106,-11.1468
1979,10,1,5,252,-11.2975
1979,10,2,1,48,-9.9752
1979,10,2,2,50,-8.9901
1979,10,2,3,56,-10.9616
1979,10,2,4,56,-8.8838
1979,10,2,5,72,-11.0460
1979,10,3,1,127,-4.7503
1979,10,3,2,105,-7.9288
1979,10,3,3,79,-5.0984
1979,10,3,4,70,-6.2689
1979,10,3,5,41,-8.8577
1979,11,1,1,59,10.4458
1979,11,1,2,57,5.2666
1979,11,1,3,63,8.5938
1979,11,1,4,116,7.1843
1979,11,1,5,246,8.7416
1979,11,2,1,37,7.4553
1979,11,2,2,49,5.8359
1979,11,2,3,58,8.7342
1979,11,2,4,63,8.8019
1979,11,2,5,73,10.3053
1979,11,3,1,134,5.3271
1979,11,3,2,104,5.2617
1979,11,3,3,81,6.6698
1979,11,3,4,68,7.9924
1979,11,3,5,44,7.3753
1979,12,1,1,56,7.8291
1979,12,1,2,56,9.8125
1979,12,1,3,64,5.2517
1979,12,1,4,117,7.4016
1979,12,1,5,242,6.4735
1979,12,2,1,40,6.1870
1979,12,2,2,52,6.0540
1979,12,2,3,59,4.0624
1979,12,2,4,62,5.3542
1979,12,2,5,75,5.4527
1979,12,3,1,136,2.0311
1979,12,3,2,100,4.8612
1979,12,3,3,79,1.1443
1979,12,3,4,70,-0.2076
1979,12,3,5,43,0.4159
1980,1,1,1,55,9.3495
1980,1,1,2,53,10.2486
1980,1,1,3,70,9.8464
1980,1,1,4,110,10.7258
1980,1,1,5,235,10.1851
1980,1,2,1,40,4.7550
1980,1,2,2,53,6.0891
1980,1,2,3,61,7.6968
1980,1,2,4,66,6.6545
1980,1,2,5,75,5.1037
1980,1,3,1,137,9.4064
1980,1,3,2,99,9.4443
1980,1,3,3,78,2.8296
1980,1,3,4,67,3.7909
1980,1,3,5,45,1.4260
1980,2,1,1,54,-1.4174
1980,2,1,2,52,-2.2607
1980,2,1,3,77,-3.7201
1980,2,1,4,105,-1.3269
1980,2,1,5,239,-2.6548
1980,2,2,1,42,-1.0864
1980,2,2,2,52,-3.9166
1980,2,2,3,59,-3.9885
1980,2,2,4,63,-3.0929
1980,2,2,5,75,-2.6328
1980,2,3,1,139,6.9813
1980,2,3,2,99,0.0918
1980,2,3,3,82,0.8109
1980,2,3,4,74,-2.5006
1980,2,3,5,38,-0.9885
1980,3,1,1,54,-17.1467
1980,3,1,2,51,-17.0024
1980,3,1,3,79,-16.6045
1980,3,1,4,100,-19.0921
1980,3,1,5,233,-17.9559
1980,3,2,1,43,-15.2636
1980,3,2,2,50,-16.1730
1980,3,2,3,62,-15.5269
1980,3,2,4,62,-14.6483
1980,3,2,5,80,-13.9901
1980,3,3,1,138,-14.0471
1980,3,3,2,101,-13.4898
1980,3,3,3,78,-9.2230
1980,3,3,4,77,-9.0779
1980,3,3,5,36,-9.1533
1980,4,1,1,56,6.6215
1980,4,1,2,50,6.0510
1980,4,1,3,76,3.5831
1980,4,1,4,99,4.2128
1980,4,1,5,235,6.5683
1980,4,2,1,40,2.5299
1980,4,2,2,54,5.5638
1980,4,2,3,60,3.2857
1980,4,2,4,62,8.3344
1980,4,2,5,77,8.4146
1980,4,3,1,140,4.2773
1980,4,3,2,98,3.5747
1980,4,3,3,77,8.6513
1980,4,3,4,77,12.2099
1980,4,3,5,39,12.1003
1980,5,1,1,59,11.8866
1980,5,1,2,44,5.2548
1980,5,1,3,81,5.8445
1980,5,1,4,106,7.4439
1980,5,1,5,242,6.8177
1980,5,2,1,43,7.4717
1980,5,2,2,52,10.6510
1980,5,2,3,66,8.7023
1980,5,2,4,70,8.1413
1980,5,2,5,78,6.9893
1980,5,3,1,146,5.1311
1980,5,3,2,110,7.3580
1980,5,3,3,82,5.9509
1980,5,3,4,77,4.0931
1980,5,3,5,51,5.7018
1980,6,1,1,59,4.3078
1980,6,1,2,44,6.0679
1980,6,1,3,76,5.7345
1980,6,1,4,108,1.4672
1980,6,1,5,242,4.1806
1980,6,2,1,45,4.0671
1980,6,2,2,48,2.8140
1980,6,2,3,73,3.1131
1980,6,2,4,70,5.3494
1980,6,2,5,80,5.3600
1980,6,3,1,144,3.7100
1980,6,3,2,115,2.7205
1980,6,3,3,78,1.9963
1980,6,3,4,78,5.7464
1980,6,3,5,49,5.8631
1980,7,1,1,57,15.8527
1980,7,1,2,43,10.9048
1980,7,1,3,80,11.3672
1980,7,1,4,104,10.5553
1980,7,1,5,236,9.6603
1980,7,2,1,45,11.5439
1980,7,2,2,53,10.6493
1980,7,2,3,71,12.8060
1980,7,2,4,71,11.1067
1980,7,2,5,82,6.4904
1980,7,3,1,143,5.1900
1980,7,3,2,112,8.7374
1980,7,3,3,77,4.9319
1980,7,3,4,80,-0.0220
1980,7,3,5,51,3.3110
1980,8,1,1,56,6.8922
1980,8,1,2,48,10.9295
1980,8,1,3,74,8.4360
1980,8,1,4,94,7.7674
1980,8,1,5,242,5.1279
1980,8,2,1,38,4.0478
1980,8,2,2,51,4.9596
1980,8,2,3,67,4.9043
1980,8,2,4,72,3.9431
1980,8,2,5,70,2.9267
1980,8,3,1,130,1.7990
1980,8,3,2,106,1.1803
1980,8,3,3,72,3.9921
1980,8,3,4,66,-0.1203
1980,8,3,5,43,0.0228
1980,9,1,1,51,3.3308
1980,9,1,2,53,4.6654
1980,9,1,3,75,2.7784
1980,9,1,4,90,1.1861
1980,9,1,5,243,1.3734
1980,9,2,1,41,5.3270
1980,9,2,2,49,1.8364
1980,9,2,3,64,6.4442
